Title,Authors,DOI,DOI link,Venue,Citation count,Year
Consistency of Drinker Status Over Time: Drinking Patterns of Ex-Drinkers Who Describe Themselves as Lifetime Abstainers.,"S. Callinan, T. Chikritzhs, M. Livingston",10.15288/jsad.2019.80.552,https://doi.org/10.15288/jsad.2019.80.552,Journal of Studies on Alcohol and Drugs,13,2019
Influence of Religiosity and Alcohol Use on Personal Well-Being,"F. Alexander, R. W. Duff",10.1300/J078V08N02_02,https://doi.org/10.1300/J078V08N02_02,-,17,1992
Smoking and Alcohol Consumption Following a New Dementia Diagnosis.,"K. Arora, D. Bhagianadh",10.1093/geronb/gbz127,https://doi.org/10.1093/geronb/gbz127,"The journals of gerontology. Series B, Psychological sciences and social sciences",6,2019
Association Between Moderate Alcohol Consumption and Mortality Benefits: Dwindling Evidence?,"P. Mueller, Facp.",10.1056/NEJM-JW.NA37014,https://doi.org/10.1056/NEJM-JW.NA37014,-,0,2015
"Short term and long term effects of alcohol on blood pressure, cardiovascular risk and all cause mortality.",P. Sleight,10.3109/08037059609079671,https://doi.org/10.3109/08037059609079671,Blood Pressure,6,1996
Well-being in Australia--findings from the National Survey of Mental Health and Well-being.,"K. Dear, S. Henderson, A. Korten",-,-,Social Psychiatry and Psychiatric Epidemiology,57,2002
Long-term effect of brief intervention in at-risk alcohol drinkers: a 9-year follow-up study.,O. Nilssen,10.1093/ALCALC/AGH095,https://doi.org/10.1093/ALCALC/AGH095,Alcohol and Alcoholism,28,2004
The association between meaning in life and harmful drinking is mediated by individual differences in self-control and alcohol value,"Amber Copeland, Andrew Jones, M. Field",10.1016/j.abrep.2020.100258,https://doi.org/10.1016/j.abrep.2020.100258,Addictive Behaviors Reports,17,2019
Excessive alcohol consumption is associated with reduced quality of life among methadone patients.,"R. Senbanjo, K. Wolff, J. Marshall",10.1111/J.1360-0443.2006.01683.X,https://doi.org/10.1111/J.1360-0443.2006.01683.X,Addiction,77,2007
IS ???????LIGHT ALCOHOL DRINKING????? ASSOCIATED WITH THE HEALTH-RELATED QUALITY OF LIFE (HRQOL)?: A POPULATION-BASED NESTED CASE-CONTROL DESIGN,"P. Vichitkunakorn, A. Geater, S. Assanangkornchai",-,-,-,1,2018
Economic Living Standard Indices mediate the apparent health benefits of alcohol consumption among older adults.,"Philipp Michael, T. Andy",10.6084/M9.FIGSHARE.850375.V1,https://doi.org/10.6084/M9.FIGSHARE.850375.V1,-,0,2013
"Effectiveness of a smartphone app (Drink Less) versus usual digital care for reducing alcohol consumption among increasing-and-higher-risk adult drinkers in the UK: a two-arm, parallel-group, double-blind, randomised controlled trial.","Melissa Oldham, E. Beard, Gemma Loebenberg, Larisa Dinu, C. Angus, Robyn Burton, Matt Field, Felix Greaves, Matthew Hickman, Eileen Kaner, Susan Michie, Marcus R. Munafò, Elena Pizzo, Jamie Brown, C. Garnett",10.1016/j.eclinm.2024.102534,https://doi.org/10.1016/j.eclinm.2024.102534,EClinicalMedicine,9,2024
Population impact of reducing alcohol positive expectations on risky consumption and heavy episodic drinking among young people.,"Lucía Moure-Rodríguez, C. Carbia, M. Corral, F. Cadaveira, F. Caamaño-Isorna",10.20882/adicciones.1648,https://doi.org/10.20882/adicciones.1648,Adicciones,1,2021
Assessment of the Efficacy of a Mobile Phone–Delivered Just-in-Time Planning Intervention to Reduce Alcohol Use in Adolescents: Randomized Controlled Crossover Trial (Preprint),"S. Haug, R. Paz Castro, U. Scholz, T. Kowatsch, M. Schaub, T. Radtke",10.2196/preprints.16937,https://doi.org/10.2196/preprints.16937,-,0,2019
Beyond Abstinence: Changes in Indices of Quality of Life with Time in Recovery in a Nationally Representative Sample of U.S. Adults,"J. Kelly, M. Greene, B. Bergman",10.1111/acer.13604,https://doi.org/10.1111/acer.13604,Alcoholism: Clinical and Experimental Research,112,2018
Reduced Alcohol Consumption and Major Adverse Cardiovascular Events Among Individuals With Previously High Alcohol Consumption,"D. O. Kang, Dae-In Lee, Seung-Young Roh, J. Na, Cheol Ung Choi, Jin Won Kim, E. Kim, S. Rha, C. Park, Ye-seul Kim, Yonghwan Kim, Hyo-Sun You, Hee-Taik Kang, E. Jo, Jinseob Kim, Jae-woo Lee, Jin-Man Jung",10.1001/jamanetworkopen.2024.4013,https://doi.org/10.1001/jamanetworkopen.2024.4013,JAMA Network Open,7,2024
Self-reported alcohol consumption during participation in a text messaging-based online drinking moderation platform.,"N. Vadhan, H. T. Padovano, Frederick Muench, Svetlana Levak, Nicholas Allen",10.1111/acer.15414,https://doi.org/10.1111/acer.15414,"Alcohol, clinical & experimental research",1,2024
Participation in alcohol abstinence challenges can lead to improvements in general well-being,"E. Robinson, R. Visser",-,-,-,0,2017
"Alcohol consumption, abstaining, health utility, and quality of life--a general population survey in Finland.","S. Saarni, K. Joutsenniemi, S. Koskinen, J. Suvisaari, S. Pirkola, H. Sintonen, K. Poikolainen, J. Lönnqvist",10.1093/alcalc/agn003,https://doi.org/10.1093/alcalc/agn003,Alcohol and Alcoholism,89,2008
"Alcohol consumption and well-being among 25,000 Danish high school students","Anne Sofie Plum Christensen, V. Pisinger, Anne Friis Krarup, P. Dalum, Lau Caspar Thygesen, Janne Schurmann Tolstrup",10.1016/j.pmedr.2022.102072,https://doi.org/10.1016/j.pmedr.2022.102072,Preventive medicine reports,3,2022
The epidemiology of alcohol consumption across the life course,D. Du,-,-,-,0,2019
"Big gains in life expectancy in Ireland, major EU study finds.",Patrick Smith,-,-,-,0,2017
Is early alcohol consumption related to adult alcohol use? Longitudinal analyses based on the Northern Sweden Cohort,"P. Delfabbro, A. Hammarström",10.7895/IJADR.V3I4.187,https://doi.org/10.7895/IJADR.V3I4.187,-,2,2014
[Relationship between healthy lifestyle behaviours and subjective wellbeing: an european observational study.],"Ana María Mateos-Lardiés, P. López-García, D. Morillo, B. Olaya, B. Tobiasz–Adamczyk, S. Koskinen, M. Leonardi, Josep María Haro, S. Chatterji, J. Ayuso-Mateos, M. Cabello, M. Miret",-,-,Revista Española de Salud Pública,5,2022
A Randomized Trial of a Personalized Feedback Intervention for Nonstudent Emerging Adult At‐Risk Drinkers,"C. Lau-Barraco, Abby L. Braitman, A. Stamates",10.1111/acer.13606,https://doi.org/10.1111/acer.13606,Alcoholism: Clinical and Experimental Research,17,2018
Randomized controlled trial of a smartphone app designed to reduce unhealthy alcohol consumption,"John A Cunningham, A. Godinho, C. Schell, Joseph Studer, J. Wardell, C. Garnett, N. Bertholet",10.1016/j.invent.2024.100747,https://doi.org/10.1016/j.invent.2024.100747,Internet Interventions,3,2024
Does Reducing Alcohol Use Reduce Harm,S. Dubovsky,10.1056/NEJM-JW.NA51889,https://doi.org/10.1056/NEJM-JW.NA51889,-,0,2020
Balance--a pragmatic randomized controlled trial of an online intensive self-help alcohol intervention.,"Håvar Brendryen, I. Lund, Ayna B Johansen, Marianne Riksheim, Sverre Nesvåg, F. Duckert",10.1111/add.12383,https://doi.org/10.1111/add.12383,Addiction,40,2014
Gender as Predictor of Subjective Well-Being and Happiness in Adult Peoples With Respect To Nature of Drinking.,Sunil D Kumar,-,-,-,1,2014
Smoking Ban and Life Satisfaction: Evidence from the UK,"T. Hinks, Andreas Katsaros",-,-,-,5,2012
A brief psychological intervention that reduces adolescent alcohol consumption.,"C. Armitage, R. Rowe, M. Arden, P. Harris",10.1037/a0035802,https://doi.org/10.1037/a0035802,Journal of Consulting and Clinical Psychology,48,2014
The Auckland alcohol detoxification outcome study: Measuring changes in quality of life in individuals completing a medicated withdrawal from alcohol in a detoxification unit.,"Vicki Macfarlane, D. Prentice, Michael Walsh",10.1016/j.drugalcdep.2018.11.035,https://doi.org/10.1016/j.drugalcdep.2018.11.035,Drug and Alcohol Dependence,3,2019
P9 The impact of an adjunctive group-based exercise programme on alcohol consumption and psychological outcomes among adults attending UK alcohol treatment services: a randomised controlled pilot study,"D. Leighton, Graham Foster, Wendy Wills, Lindsay Bottoms",10.1136/gutjnl-2023-basl.25,https://doi.org/10.1136/gutjnl-2023-basl.25,Poster presentations,0,2023
Exploration of the relationship between drinking intensity and quality of life.,"S. Stewart, A. Hutson, G. Connors",10.1080/10550490600860122,https://doi.org/10.1080/10550490600860122,American Journal on Addictions,10,2006
Alcohol consumption as a maladaptive coping strategy to face low life satisfaction,"Stefano Tartaglia, Elisa Bergagna",10.1080/09687637.2019.1685938,https://doi.org/10.1080/09687637.2019.1685938,"Drugs: Education, Prevention and Policy",6,2019
Treatment outcome following day care for alcohol dependency: the effects of reducing programme length.,"Z. Bamford, P. Booth, J. Mcguire, P. Salmon",10.1046/J.1365-2524.2003.00447.X,https://doi.org/10.1046/J.1365-2524.2003.00447.X,Health and Social Care in the community,11,2003
"Purpose in life, Neural Alcohol Cue Reactivity, and Daily Alcohol Use in Social Drinkers.","Yoona Kang, Danielle Cosme, D. Lydon‐Staley, Jeesung Ahn, Mia Jovanova, Faustine Corbani, Silicia Lomax, Ovidia Stanoi, V. Strecher, Peter J. Mucha, K. Ochsner, D. Bassett, E. Falk",10.1111/add.16012,https://doi.org/10.1111/add.16012,Addiction,7,2022
Psychological distance intervention reminders reduce alcohol consumption frequency in daily life,"Mia Jovanova, Dani Cosme, B. Doré, Yoona Kang, Ovidia Stanoi, N. Cooper, C. Helion, Silicia Lomax, A. McGowan, Z. Boyd, D. Bassett, Peter J. Mucha, K. Ochsner, D. Lydon‐Staley, E. Falk",10.1038/s41598-023-38478-y,https://doi.org/10.1038/s41598-023-38478-y,Scientific Reports,5,2023
Cheers to tomorrow? Alcohol use predicts poorer mood and well-being the next day in young adults.,"Jenna Gawn, Jack R. H. Cooper, Benjamin D. Fletcher, Tamlin S. Conner",10.1111/aphw.12632,https://doi.org/10.1111/aphw.12632,Applied Psychology: Health and Well-Being,0,2024
Alcohol administration reduces attentional bias to alcohol-related but not food-related cues: Evidence for a satiety hypothesis.,"Ramey G. Monem, M. Fillmore",10.1037/adb0000522,https://doi.org/10.1037/adb0000522,Psychology of Addictive Behaviors,19,2019
Decline in alcohol consumption during two years of daily reporting.,"J. Helzer, G. Badger, G. Rose, Joan A. Mongeon, J. Searles",10.15288/JSA.2002.63.551,https://doi.org/10.15288/JSA.2002.63.551,Journal of Studies on Alcohol,81,2002
EFEITO DE INTERVENÇÕES BREVES NA REDUÇÃO DO CONSUMO DE ÁLCOOL EM ADULTOS: REVISÃO SISTEMÁTICA,"Larissa Alves Lima, Fernando José Guedes da Silva Júnior, C. Monteiro, Giovanna Vitória Aragão de Almeida Santos, Ana Paula R. Costa, J. C. Sales",10.5380/ce.v27i0.80768,https://doi.org/10.5380/ce.v27i0.80768,Cogitare Enfermagem,0,2022
Valuing the Relationship Between Drug and Alcohol Use and Life Satisfaction: Findings from the Crime Survey for England and Wales,"Anna Maccagnan, T. Taylor, M. White",10.1007/s10902-019-00110-0,https://doi.org/10.1007/s10902-019-00110-0,Journal of Happiness Studies,0,2019
Quality of life and alcohol consumption: a review of the literature,"A. Černe, L. Zaletel-Kragelj, P. Selič",10.2478/v10152-012-0017-9,https://doi.org/10.2478/v10152-012-0017-9,-,5,2012
"Satisfaction With Life, Mental Health Problems and Potential Alcohol-Related Problems Among Norwegian University Students","P. Jensen, E. Haug, Borge Sivertsen, J. Skogen",10.3389/fpsyt.2021.578180,https://doi.org/10.3389/fpsyt.2021.578180,Frontiers in Psychiatry,15,2021
The costs of negative affect attributable to alcohol consumption in later life: A within-between random longitudinal econometric model using UK Biobank,"Chenlu Li, S. Moore, Jesse Smith, S. Bauermeister, J. Gallacher",10.1371/journal.pone.0211357,https://doi.org/10.1371/journal.pone.0211357,PLoS ONE,2,2019
Maritally distressed women with alcohol problems: the impact of a short-term alcohol-focused intervention on drinking behaviour and marital satisfaction.,"Adrian B. Kelly, W. Halford, Ross McD. Young",10.1046/J.1360-0443.2000.951015378.X,https://doi.org/10.1046/J.1360-0443.2000.951015378.X,Addiction,59,2000
Variations in risk and protective factors for life satisfaction and mental wellbeing with deprivation: a cross-sectional study,"M. Bellis, H. Lowey, K. Hughes, L. Deacon, J. Stansfield, Clare Perkins",10.1186/1471-2458-12-492,https://doi.org/10.1186/1471-2458-12-492,BMC Public Health,42,2012
Drinking Risk Level Reductions Associated with Improvements in Physical Health and Quality of Life Among Individuals with Alcohol Use Disorder,"K. Witkiewitz, H. Kranzler, Kevin A. Hallgren, S. O'Malley, Daniel E. Falk, R. Litten, D. Hasin, K. Mann, R. Anton",10.1111/acer.13897,https://doi.org/10.1111/acer.13897,Alcoholism: Clinical and Experimental Research,96,2018
Bidirectional associations between alcohol consumption and health‐related quality of life amongst young and middle‐aged women,"I. C. Schrieks, I. C. Schrieks, Melissa Y. Wei, E. B. Rimm, E. B. Rimm, O. I. Okereke, O. I. Okereke, Ichiro Kawachi, Henk F. J. Hendriks, K. Mukamal, K. Mukamal",10.1111/joim.12453,https://doi.org/10.1111/joim.12453,Journal of Internal Medicine,17,2016
Clinical question: Can brief interventions reduce risky alcohol consumption in adolescents and adults who have experienced harm due to excessive drinking?,"J. Burch, P. Magalhães",-,-,-,0,2018
Elevating Subjective Well-Being Through Physical Exercises: An Intervention Study,"Katarzyna Iwon, Julia Skibinska, Dorota Jasielska, Sonia Kalwarczyk",10.3389/fpsyg.2021.702678,https://doi.org/10.3389/fpsyg.2021.702678,Frontiers in Psychology,38,2021
The predicted impact of reducing the nicotine content in cigarettes on alcohol use.,"Sarah S. Dermody, E. Donny",10.1093/ntr/ntu037,https://doi.org/10.1093/ntr/ntu037,Nicotine & Tobacco Research,12,2014
The Onset of Falls Reduces Subjective Well-Being. Findings of a Nationally Representative Longitudinal Study,"A. Hajek, H. König",10.3389/fpsyt.2021.599905,https://doi.org/10.3389/fpsyt.2021.599905,Frontiers in Psychiatry,1,2021
Brief physician advice reduced drinking in older adults,P. Sudbury,10.1136/ebmh.2.4.110,https://doi.org/10.1136/ebmh.2.4.110,Western Journal of Medicine,1,1999
An experimental analysis of acquired impulse control among adult humans intolerant to alcohol,"Jianxin Wang, Yulei Rao, Daniel Houser",10.1073/pnas.1610902114,https://doi.org/10.1073/pnas.1610902114,Proceedings of the National Academy of Sciences of the United States of America,67,2017
Quality of Life as Medicine. II. A Pilot Study of a Five-Day “Quality of Life and Health” Cure for Patients with Alcoholism,"S. Ventegodt,, J. Merrick, N. Andersen",10.1100/tsw.2003.67,https://doi.org/10.1100/tsw.2003.67,TheScientificWorldJournal,60,2003
Self-reported life satisfaction and alcohol use: a 15-year follow-up of healthy adult twins.,"H. Koivumaa-Honkanen, Jaakko Kaprio, Jaakko Kaprio, T. Korhonen, T. Korhonen, R. Honkanen, K. Heikkilä, M. Koskenvuo",10.1093/alcalc/agr151,https://doi.org/10.1093/alcalc/agr151,Alcohol and Alcoholism,62,2012
A Systematic Review on the Effectiveness of Brief Interventions for Alcohol Misuse among Adults in Emergency Departments.,"Meredith S. H. Landy, C. Davey, David Quintero, Amanda Pecora, K. McShane",10.1016/j.jsat.2015.08.004,https://doi.org/10.1016/j.jsat.2015.08.004,Journal of Substance Abuse Treatment,45,2016
Smoking Cessation and Quality of Life: Changes in Life Satisfaction Over 3 Years Following a Quit Attempt,"Megan E. Piper, S. Kenford, M. Fiore, T. Baker",10.1007/s12160-011-9329-2,https://doi.org/10.1007/s12160-011-9329-2,Annals of Behavioral Medicine,154,2012
Short-term course of drinking in an untreated sample of at-risk drinkers.,"B. Booth, Stacy M. Fortney, J. Fortney, G. Curran, J. Kirchner",10.15288/JSA.2001.62.580,https://doi.org/10.15288/JSA.2001.62.580,Journal of Studies on Alcohol,30,2001
Study shows that Dry January does more good than harm,Richard O de Visser,10.1136/bmj.i583,https://doi.org/10.1136/bmj.i583,British medical journal,2,2016
Alcohol Consumption at Midlife and Successful Ageing in Women: A Prospective Cohort Analysis in the Nurses' Health Study,"Qi Sun, Mary K. Townsend, O. Okereke, E. Rimm, F. Hu, M. Stampfer, F. Grodstein",10.1371/journal.pmed.1001090,https://doi.org/10.1371/journal.pmed.1001090,PLoS Medicine,55,2011
"Alcohol consumption, life course transitions and health in later life.","C. Holdsworth, Marina Mendonça, M. Frisher, N. Shelton, H. Pikhart, Cesar de Oliveira",-,-,-,0,2014
Evaluation of a workplace brief intervention for excessive alcohol consumption: the workscreen project.,"R. Richmond, Robyn Richmond, L. Kehoe, N. Heather, A. Wodak",10.1006/PMED.1999.0587,https://doi.org/10.1006/PMED.1999.0587,Preventive Medicine,69,2000
"[Subjective well-being, morbidity and health care consumption by hazardous, harmful and problem alcohol drinkers].","S. Hana, Csémy Ladislav",-,-,Casopis lekaru ceskych,2,2011
Impact of a brief psychoeducational intervention for reducing alcohol use and related harm in school leavers,"C. Quinn, L. Hides, Dominique de Andrade, Nina Pocuca, Megan Wilson, D. Kavanagh",10.1111/dar.12920,https://doi.org/10.1111/dar.12920,Drug and Alcohol Review,4,2019
"Reducing alcohol consumption: the influence of message frame, temporal context and autonomy","S. Churchill, L. Pavey, D. Jessop, P. Sparks",-,-,-,1,2015
DIFFERENT COMPONENTS OF SUBJECTIVE WELL-BEING ARE ASSOCIATED WITH CHRONIC NON-DISABLING AND DISABLING KNEE PAIN: ELSA-BRASIL MUSCULOSKELETAL COHORT,"D. Azevedo, R. Telles, L. A. Machado, S. Barreto",10.5151/sbr2019-398,https://doi.org/10.5151/sbr2019-398,Blucher Medical Proceedings,0,2019
Are you satisfied now?,"V. Angelini, Marco Bertoni, L. Corazzini",10.1111/J.1740-9713.2016.00975.X,https://doi.org/10.1111/J.1740-9713.2016.00975.X,-,0,2016
The Effect of Alcohol Consumption on Insulin Sensitivity and Glycemic Status: A Systematic Review and Meta-analysis of Intervention Studies,"I. Schrieks, A. L. Heil, H. Hendriks, K. Mukamal, J. Beulens",10.2337/dc14-1556,https://doi.org/10.2337/dc14-1556,Diabetes Care,178,2015
"Drink and be merry? Gender, life satisfaction, and alcohol consumption among college students.","James G. Murphy, Meghan E McDevitt-Murphy, N. Barnett",10.1037/0893-164X.19.2.184,https://doi.org/10.1037/0893-164X.19.2.184,Psychology of Addictive Behaviors,179,2005
Effectiveness of Alcohol Brief Intervention in a General Hospital: A Randomized Controlled Trial.,"J. McQueen, T. Howe, C. Ballinger, J. Godwin",10.15288/JSAD.2015.76.838,https://doi.org/10.15288/JSAD.2015.76.838,Journal of Studies on Alcohol and Drugs,12,2015
Does it work and does it last? Effects of social and drinking behavior on same- and next-day mood.,"J. M. Cronce, L. Zimmerman, I. Rhew, Jennifer M. Cadigan, David C. Atkins, Christine M. Lee",10.1016/j.addbeh.2019.106111,https://doi.org/10.1016/j.addbeh.2019.106111,Addictive Behaviours,6,2020
Smoking reduction is associated with lower alcohol consumption and depressive symptoms among young adults over one year.,"Juliet C. Yonek, Meredith C Meacham, M. Shumway, Marina Tolou-Shams, D. Satre",10.1016/j.drugalcdep.2021.108922,https://doi.org/10.1016/j.drugalcdep.2021.108922,Drug and Alcohol Dependence,7,2021
Well-Being During Recovery from Alcohol and Drug Use Disorders: Improvement in Due Course,C. Wilcox,10.1056/nejm-jw.NA46538,https://doi.org/10.1056/nejm-jw.NA46538,-,0,2018
“Life-changing” scheme helping people with alcohol addiction shortlisted for national award,C. Bustin,-,-,-,0,2019
Applying positive psychology to alcohol-misusing adolescents,"M. Akhtar, Ilona Boniwell",10.1921/GPWK.V20I3.707,https://doi.org/10.1921/GPWK.V20I3.707,Groupwork,25,2012
"Alcohol, Smoking, Wellbeing and Health and Safety of Workers",A. P. Smith,10.31014/aior.1994.02.04.67,https://doi.org/10.31014/aior.1994.02.04.67,Journal of Health and Medical Sciences,3,2019
"“A Study to Assess the Effectiveness of Group Therapy on Psychological Wellbeing among Alcohol Dependents At Selected De-Addiction Centre, Puducherry”.",M. Sugumar,10.9790/1959-060105145147,https://doi.org/10.9790/1959-060105145147,-,0,2017
Health-related quality of life in consequences from frequency-quantity measures of alcohol consumption patterns,Chong-Hwan Son,10.1504/IJHD.2018.10014875,https://doi.org/10.1504/IJHD.2018.10014875,-,2,2018
ALTRUISM AND PERSONAL WELL – BEING AMONG ADULTS,"J. Indumathy, N. DivvyalakshmiN",-,-,-,1,2018
JAKOŒÆ ¯YCIA M£ODYCH DOROS£YCH A INTENSYWNOŒÆ PICIA ALKOHOLU W DORASTANIU I WE WCZESNEJ DOROS£OŒCI (badania katamnestyczne) 1,E. Stępień,-,-,-,0,2004
Symposium - How effective are brief motivational interviewing interventions : Are they necessary? Do they require enhancement? Can they be translated into routine clinical practice?,"L. Hides, A. Baker, Grant Christie, K. Kypri",-,-,-,0,2012
Language-based EMA assessments help understand problematic alcohol consumption,"August Håkan Nilsson, H. A. Schwartz, Richard N Rosenthal, James R. McKay, Huy Vu, Young-Min Cho, Syeda Mahwish, Adithya V Ganesan, Lyle Ungar",10.1371/journal.pone.0298300,https://doi.org/10.1371/journal.pone.0298300,PLoS ONE,4,2024
Voluntary periodic abstinence from alcohol during “Dry January” and subsequent alcohol use,"R. Visser, E. Robinson, R. Bond",-,-,-,0,2015
The Great Recession and Life Satisfaction: The Unique Decline for Americans Approaching Retirement Age,"John Ifcher, Homa Zarghamee, A. Cabacungan",10.2139/ssrn.2895300,https://doi.org/10.2139/ssrn.2895300,Social Science Research Network,0,2017
The irony of drinking to health and happiness.,R. Rowe,10.1016/s2215-0366(23)00185-2,https://doi.org/10.1016/s2215-0366(23)00185-2,Lancet psychiatry,0,2023
The relationship between stressful life situations and changes in alcohol consumption in a general population sample.,"Anders Romelsjö, Anders Romelsjö, Nancy B. Lazarus, George A. Kaplan, R. Cohen",10.1111/J.1360-0443.1991.TB01766.X,https://doi.org/10.1111/J.1360-0443.1991.TB01766.X,British Journal of Addiction,49,1991
Impact of personalized alcohol intake and cognitive feedback on alcohol use behavior in hazardous drinkers: A quasi-randomized trial.,"Antoinette Poulton, G. Dali, Clare McGinness, S. Clarke, Tahlia Turner, Junwu Liu, Jayde Giggins, Ruth Marcuson, R. Hester",10.1111/acer.15098,https://doi.org/10.1111/acer.15098,Alcohol,1,2023
Restricting access to alcohol and public health: Evidence from electoral dry laws in Brazil,"M. Y. Nakaguma, Brandon J. Restrepo",10.1002/hec.3519,https://doi.org/10.1002/hec.3519,Health Economics,10,2018
"Life events, coping styles, and psychological well-being in children living with parents who harmfully consume alcohol.","Cinzia Iacopetti, Ilaria Londi, V. Patussi, S. Sirigatti, F. Cosci",10.1002/cpp.2338,https://doi.org/10.1002/cpp.2338,Clinical Psychology and Psychotherapy,7,2018
The effect of a four-week fitness program on satisfaction with health and life,"P. Wicker, D. Coates, C. Breuer",10.1007/s00038-014-0601-7,https://doi.org/10.1007/s00038-014-0601-7,International Journal of Public Health,37,2014
Negotiating the social consequences of stopping or reducing alcohol consumption,A. Bartram,-,-,-,0,2018
Quality of Life and Life Satisfaction among Persons with Alcohol Dependence Syndrome,"Bijayalaxmi Dash, M. Swain",10.51333/njpsw.2020.v21.i1.245,https://doi.org/10.51333/njpsw.2020.v21.i1.245,National Journal of Professional Social Work,1,2020
Association between Moderate Alcohol Consumption and Subjective Quality of Life in Spanish Young Adults,"Iván Vicente-Castro, Noemí Redondo-Useros, Ligia E Díaz-Prieto, S. Gómez-Martínez, A. Marcos, E. Nova",10.3390/nu15030750,https://doi.org/10.3390/nu15030750,Nutrients,2,2023
What if Americans drank less? The potential effect on the prevalence of alcohol abuse and dependence.,"L. Archer, B. Grant, D. Dawson",10.2105/AJPH.85.1.61,https://doi.org/10.2105/AJPH.85.1.61,American Journal of Public Health,28,1995
Evolution in Well-being and Happiness after Increases in Consumption of Fruit and Vegetables,"Redzo Mujcica, A. Oswald",-,-,-,0,2016
Does a pint a day affect your child's pay? The effect of prenatal alcohol exposure on adult outcomes,P. Nilsson,10.1920/WP.CEM.2008.2208,https://doi.org/10.1920/WP.CEM.2008.2208,-,75,2008
Research finds new evidence of benefit from reduced drinking in AUD patients,G. Enos,10.1002/adaw.32900,https://doi.org/10.1002/adaw.32900,-,0,2020
S20.1ASSOCIATIONS BETWEEN ALCOHOL AND CANNABIS USE AND QUALITY OF LIFE,"T. Abrahamsson, A. Håkansson",-,-,-,0,2013
Life Satisfaction and Alcohol Consumption Among Young Adults at Social Gatherings,"Stefano Tartaglia, Silvia Gattino, Angela Fedi",10.1007/s10902-017-9907-5,https://doi.org/10.1007/s10902-017-9907-5,Journal of Happiness Studies,11,2017
Do implementation intentions reduce alcohol consumption? A meta-analysis,"R. Cooke, H. Lowe",-,-,-,3,2016
