Title,Authors,DOI,DOI link,Venue,Citation count,Year,Intervention Type,"Reasoning for ""Intervention Type""",Life Satisfaction Measurement,"Reasoning for ""Life Satisfaction Measurement""",Outcome Measures,"Reasoning for ""Outcome Measures""",Population Age and Condition,"Reasoning for ""Population Age and Condition""",Primary Focus,"Reasoning for ""Primary Focus""",Study Design - Timeline,"Reasoning for ""Study Design - Timeline""",Study Design - Type,"Reasoning for ""Study Design - Type""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Alcohol and cannabis abuse/dependence symptoms and life satisfaction in young adulthood.,Nic Swain,10.1111/j.1465-3362.2011.00339.x,https://doi.org/10.1111/j.1465-3362.2011.00339.x,Drug and Alcohol Review,30,2012,no,This is not an intervention study at all. It examines natural associations rather than testing alcohol reduction interventions.,yes,Life satisfaction is explicitly measured and is a key outcome variable in the study.,maybe,"While the study measures both alcohol use and life satisfaction, it is not measuring alcohol reduction as an outcome of an intervention. The measurements are of natural associations rather than intervention effects.",maybe,"While the study follows a birth cohort, suggesting adult participants, it does not specifically focus on those with baseline excessive alcohol consumption. It appears to study the general population's substance use patterns.",no,"The study examines associations between substance abuse/dependence and life satisfaction, but does not focus on alcohol reduction as an intervention. It is an observational study of relationships rather than an intervention study.",yes,"The study is a 30-year longitudinal study with repeated measures, which meets the requirement for at least two measurement points.",yes,"The study is a cohort study, which is one of the accepted study types.",Exclude,"This longitudinal cohort study examines associations between substance use and life satisfaction, but does not meet key screening criteria for an alcohol reduction intervention study. While measuring life satisfaction and alcohol use, the research lacks a specific focus on alcohol reduction, intervention outcomes, and a targeted population with excessive alcohol consumption. The study's observational nature and broad population sampling prevent it from aligning with the specified screening requirements.",0.9
Is life satisfaction hump-shaped with alcohol consumption? Evidence from Russian panel data.,"S. Massin, P. Kopp",10.1016/j.addbeh.2014.01.005,https://doi.org/10.1016/j.addbeh.2014.01.005,Addictive Behaviours,36,2014,no,"This is not an intervention study at all. It observes natural patterns of alcohol consumption rather than studying alcohol reduction interventions, so it does not meet the requirement of focusing on alcohol reduction.",yes,"The study explicitly measures life satisfaction using ""a five-item scale,"" which meets the requirement of measuring life satisfaction.",maybe,"While the study measures both alcohol consumption and life satisfaction using what appears to be validated tools (five-item scale for life satisfaction), it's not measuring these in the context of an intervention, so it only partially meets the requirement of measuring both alcohol consumption reduction and life satisfaction.",maybe,"While the study uses a large population sample (17,953 individuals), the abstract doesn't explicitly state the age range or baseline alcohol consumption levels. However, given it's a general population study, it likely includes adults, but we can't confirm if participants meet WHO guidelines for excessive consumption.",no,"The study examines the relationship between alcohol consumption and life satisfaction, but does not study alcohol reduction as an intervention. It's an observational study of the natural relationship, so it does not meet the requirement of having alcohol reduction as the primary intervention.",yes,"The study is clearly longitudinal, using ""Russia Longitudinal Monitoring Survey"" with ""10 rounds"" of data collection, indicating that it meets the requirement of having at least two measurement points.",yes,"The study is a cohort study using longitudinal monitoring data, which meets the requirement of being a systematic review, meta-analysis, randomized controlled trial, cohort study, or case-control study.",Exclude,"This longitudinal study explores the relationship between alcohol consumption and life satisfaction using a large population sample, but does not meet key screening criteria related to intervention design. While the research provides insights into alcohol consumption patterns and psychological well-being, it lacks a specific alcohol reduction intervention and does not clearly demonstrate baseline excessive alcohol consumption. The observational nature of the study prevents it from satisfying the required intervention-focused screening criteria.",0.9
The Cochrane 2018 Review on Brief Interventions in Primary Care for Hazardous and Harmful Alcohol Consumption: A Distillation for Clinicians and Policy Makers.,"F. Beyer, F. Campbell, N. Bertholet, J. Daeppen, J. Saunders, E. Pienaar, C. Muirhead, E. Kaner",10.1093/alcalc/agz035,https://doi.org/10.1093/alcalc/agz035,Alcohol and Alcoholism,54,2019,yes,"The study focuses on brief interventions for reduction of hazardous/harmful alcohol consumption, not complete abstinence or detoxification, which aligns with the intervention type criterion.",no,"The abstract does not mention measuring life satisfaction, and the primary outcome is alcohol consumption measured in grams per week, which does not meet the life satisfaction measurement criterion.",no,"While alcohol consumption is measured using validated tools (grams per week), life satisfaction is not mentioned as an outcome measure, which does not meet the outcome measures criterion.",maybe,"The study includes people with ""hazardous or harmful alcohol consumption"" in primary care settings, which likely aligns with WHO guidelines. However, the age criteria are not explicitly mentioned, so there is only a partial match.",yes,"The study focuses on alcohol reduction through brief interventions, which aligns with the primary focus criterion.",yes,"The study is a systematic review of randomized controlled trials (RCTs) with follow-up at one year, meeting the longitudinal requirement of at least two measurement points.",yes,"The study is explicitly a Cochrane systematic review and meta-analysis of RCTs, which aligns with the criterion for study design type.",Exclude,"A systematic review of brief alcohol interventions demonstrates strong methodological rigor in examining alcohol consumption reduction across primary care settings. While meeting most screening criteria, the study critically lacks measurement of life satisfaction, which represents a significant limitation against the comprehensive screening requirements. The research provides valuable insights into alcohol reduction strategies but falls short of fully addressing all specified screening parameters.",0.9
Alcohol and Russian mortality: a continuing crisis.,"D. Leon, V. Shkolnikov, M. Mckee",10.1111/j.1360-0443.2009.02655.x,https://doi.org/10.1111/j.1360-0443.2009.02655.x,Addiction,192,2009,no,The paper does not study alcohol reduction interventions. It reviews the current state of alcohol-related mortality and discusses policy implications.,no,The abstract does not mention measuring life satisfaction. It focuses on mortality statistics and alcohol consumption patterns.,no,The study does not measure both alcohol consumption reduction and life satisfaction. It focuses on mortality statistics and alcohol consumption patterns.,yes,"The study does focus on adults and discusses excessive alcohol consumption (15-18 litres of pure ethanol per year), which would meet WHO guidelines for excessive consumption.",no,"The paper focuses on alcohol's role in mortality in Russia, not on alcohol reduction interventions.",no,The abstract does not indicate this is a longitudinal study with multiple measurement points. It appears to be a review of current knowledge and mortality statistics rather than a longitudinal study.,maybe,"While this appears to be a review, it's not explicitly stated whether it's systematic. The methodology is not clearly described in the abstract.",Exclude,"The study fails to meet most screening criteria, particularly those related to intervention design, life satisfaction measurement, and longitudinal tracking of alcohol reduction. While the research addresses adult populations with excessive alcohol consumption, it is fundamentally a mortality review rather than an intervention study measuring specific outcomes. The paper's focus on Russian alcohol-related mortality statistics does not align with the required methodological and outcome measurement parameters.",0.1
The Effectiveness of Electronic Screening and Brief Intervention for Reducing Levels of Alcohol Consumption: A Systematic Review and Meta-Analysis,"K. Donoghue, R. Patton, T. Phillips, P. Deluca, C. Drummond",10.2196/jmir.3193,https://doi.org/10.2196/jmir.3193,Journal of Medical Internet Research,156,2014,yes,"The study focuses on alcohol reduction rather than abstinence, as evidenced by measuring consumption reduction in grams of ethanol, which meets the requirement for the intervention type.",no,"The abstract does not mention measuring life satisfaction, and the only outcome measure discussed is alcohol consumption in grams of ethanol per week. This indicates that the study does not meet the requirement of specifically measuring life satisfaction.",no,"While alcohol consumption is measured using validated tools, life satisfaction is not mentioned as an outcome measure. This indicates that the study does not meet the requirement of measuring both alcohol consumption reduction and life satisfaction using validated assessment tools.",maybe,"The abstract mentions ""hazardous/harmful drinkers,"" which aligns with the requirement for the population having baseline excessive alcohol consumption. However, the abstract does not explicitly specify the age range of the participants, so it is unclear if the study meets the requirement of focusing on adults aged 18 or older.",yes,"The study focuses on alcohol reduction through electronic screening and brief intervention (eSBI), which aligns with the requirement for the primary intervention being studied.",yes,"The study is a meta-analysis of longitudinal studies with multiple follow-up points (3 months, 6 months, 12 months), indicating that it meets the requirement of having at least two measurement points.",yes,"The study is explicitly described as a systematic review and meta-analysis, which meets the requirement for the study design type.",Exclude,"A systematic review and meta-analysis of electronic screening and brief intervention for alcohol reduction demonstrates strong methodological rigor, but critically lacks measurement of life satisfaction. While the study effectively examines alcohol consumption reduction across multiple time points, the absence of life satisfaction assessment represents a fundamental disqualifying factor for the specified screening criteria.",0.9
Excessive alcohol consumption is associated with reduced quality of life among methadone patients.,"R. Senbanjo, K. Wolff, J. Marshall",10.1111/J.1360-0443.2006.01683.X,https://doi.org/10.1111/J.1360-0443.2006.01683.X,Addiction,77,2007,no,"There is no intervention being studied, as the study is observational, looking at the relationship between alcohol consumption and quality of life.",no,"The study measures quality of life using SF-12, which includes psychological well-being but does not specifically measure life satisfaction.",no,"While the study measures alcohol consumption (AUDIT) and quality of life (SF-12), it's not measuring changes in these variables, as there is no intervention to measure reduction.",maybe,"The population is adults receiving methadone treatment, and while it includes those with excessive alcohol consumption (AUDIT-positive), this is not the primary population focus. The study population is specifically those with opioid dependence.",no,"The study focuses on measuring the impact of alcohol consumption on quality of life, rather than studying alcohol reduction as an intervention.",no,"The study is a cross-sectional survey, which does not meet the requirement for a longitudinal design with at least two measurement points.",no,"The study is a cross-sectional study, which is not one of the accepted study types (systematic review, meta-analysis, RCT, cohort, or case-control).",Exclude,"This cross-sectional study of methadone patients fails to meet multiple critical screening criteria, including longitudinal design, intervention focus, and specific life satisfaction measurement. The research primarily examines the relationship between alcohol consumption and quality of life in an opioid-dependent population, which diverges significantly from the required study parameters. Consequently, the paper does not align with the specified screening requirements for inclusion.",0.5
Can Simply Answering Research Questions Change Behaviour? Systematic Review and Meta Analyses of Brief Alcohol Intervention Trials,"J. Mccambridge, K. Kypri",10.1371/journal.pone.0023748,https://doi.org/10.1371/journal.pone.0023748,PLoS ONE,247,2011,maybe,"The study focuses on brief alcohol interventions, but doesn't specify whether these are reduction-focused or abstinence-focused.",no,The abstract does not mention measuring life satisfaction at all. The outcomes measured are alcohol consumption and AUDIT scores.,maybe,"While the study measures alcohol consumption using validated tools (AUDIT), it does not measure life satisfaction.",maybe,"The abstract doesn't specify the age range of participants or their baseline alcohol consumption levels. While it likely includes adults with excessive consumption (given the use of AUDIT), this isn't explicitly stated.",no,"While alcohol consumption is central to the study, the primary focus is actually on the effect of answering questions about drinking behavior, not on alcohol reduction interventions themselves.",maybe,"The abstract describes a meta-analysis of multiple trials, but does not explicitly state if the included studies were longitudinal with two measurement points. However, since it measures ""subsequent self-reported behaviour,"" it implies multiple time points.",yes,"The paper is explicitly a meta-analysis of randomized trials, which meets this criterion.",Exclude,"The meta-analysis fails to meet key screening criteria, particularly lacking life satisfaction measurement and not focusing primarily on alcohol reduction interventions. While the study involves alcohol-related research, it does not align with the specific requirements of measuring life satisfaction or targeting alcohol reduction as a primary intervention. Significant uncertainties exist regarding population characteristics and intervention type, further reducing its suitability.",0.9
Brief Intervention for Medical Inpatients with Unhealthy Alcohol Use,"R. Saitz, T. Palfai, D. Cheng, Nicholas Jon Horton, N. Freedner, K. Dukes, K. Kraemer, M. Roberts, R. Guerriero, J. Samet",10.7326/0003-4819-146-3-200702060-00005,https://doi.org/10.7326/0003-4819-146-3-200702060-00005,Annals of Internal Medicine,140,2007,yes,"The study focuses on alcohol reduction through brief motivational counseling, not complete abstinence or medical detoxification, meeting the criterion for intervention type.",no,"While the study measures ""health-related quality of life"" using the Short-Form Health Survey, it does not specifically measure life satisfaction. The abstract mentions measuring physical and mental health-related quality of life, but not life satisfaction specifically.",maybe,"The study clearly measures alcohol consumption reduction using validated tools (Timeline Follow-back method). However, it does not measure life satisfaction specifically, only general quality of life measures.",yes,"The study includes adults (≥18 years) with ""risky drinking"" defined by specific criteria (>14 standard drinks/wk or 5 drinks/occasion for men, >11 drinks/wk or 4 drinks/occasion for women), which align with WHO guidelines for excessive alcohol consumption.",yes,"The study focuses on alcohol reduction through brief intervention, with clear measurement of alcohol consumption outcomes, meeting the criterion for primary focus.",yes,"The study is clearly longitudinal with multiple measurement points (baseline, 3-month follow-up, and 12-month follow-up), meeting the requirement for at least two measurement points.",yes,"The study is explicitly stated to be a randomized controlled trial, which meets the criterion for study design type.",Exclude,"A randomized controlled trial examining alcohol reduction interventions among adult medical inpatients demonstrates strong methodological rigor across most screening criteria. While the study comprehensively measures alcohol consumption and uses validated assessment tools, it falls short in specifically measuring life satisfaction, which represents a critical limitation for potential inclusion. The research effectively captures alcohol reduction strategies and population characteristics, but lacks the precise life satisfaction measurement required by the screening protocol.",2.1
Brief physician advice for problem drinkers: long-term efficacy and benefit-cost analysis.,"M. Fleming, M. Mundt, M. French, L. Manwell, E. A. Stauffacher, K. Barry",10.1111/J.1530-0277.2002.TB02429.X,https://doi.org/10.1111/J.1530-0277.2002.TB02429.X,Alcoholism: Clinical and Experimental Research,549,2002,yes,"The intervention focuses on alcohol reduction through brief physician advice, not complete abstinence or detoxification, meeting the requirement for an alcohol reduction intervention.",no,"The abstract does not mention measuring life satisfaction, and the outcomes focus on alcohol use, healthcare utilization, and costs, suggesting that life satisfaction is not a measured outcome.",maybe,"While alcohol consumption reduction is clearly measured using validated tools (7-day alcohol use, binge drinking episodes), life satisfaction is not mentioned as an outcome measure, suggesting that the study does not fully meet the requirement for measuring both alcohol consumption reduction and life satisfaction.",yes,"The study includes adults aged 18-65 with problem drinking, which suggests excessive alcohol consumption as defined by WHO guidelines or similar recognized standards.",yes,"The study focuses on alcohol reduction through brief physician advice for problem drinking, meeting the requirement for alcohol reduction as the primary intervention.",yes,"The study is clearly longitudinal with a 48-month follow-up period and multiple measurement points (baseline, 6 months, and 48 months), meeting the requirement for at least two measurement points.",yes,"The study is explicitly described as a randomized controlled trial, meeting the requirement for a systematic review, meta-analysis, randomized controlled trial, cohort study, or case-control study.",Exclude,"A randomized controlled trial examining brief physician advice for problem drinking demonstrates strong methodological rigor with a 48-month longitudinal design and appropriate population selection. However, the study critically fails to measure life satisfaction, which represents a key screening criterion, potentially disqualifying it from further consideration despite its comprehensive approach to alcohol reduction intervention.",1.3
Longitudinal alcohol consumption patterns and health‐related quality of life: Results from the National Epidemiologic Survey on Alcohol and Related Conditions,"Sameer Imtiaz, G. Loheswaran, B. Le Foll, J. Rehm",10.1111/dar.12503,https://doi.org/10.1111/dar.12503,Drug and Alcohol Review,22,2018,no,"This is not an intervention study. It observes natural changes in alcohol consumption patterns rather than implementing or studying alcohol reduction interventions, so it does not meet the requirement for focusing on alcohol reduction interventions.",no,"The study measures health-related quality of life (HrQoL) using the SF-12, but does not specifically measure life satisfaction. The mental health components measured include vitality, social functioning, and mental health, but not life satisfaction specifically, so it does not meet the requirement for measuring life satisfaction.",maybe,"While the study measures both alcohol consumption and quality of life using validated tools (SF-12), it doesn't specifically measure life satisfaction, and alcohol consumption is not measured as an intervention outcome, so it only partially meets the requirement for measuring both alcohol consumption reduction and life satisfaction using validated assessment tools.",maybe,"While the study includes adults (implied by the national survey), it's not clear if all participants had baseline excessive alcohol consumption. The study includes various consumption patterns including abstainers and moderate drinkers, so it only partially meets the requirement for focusing on adults with baseline excessive alcohol consumption.",no,"The study examines associations between alcohol consumption patterns and quality of life, but alcohol reduction is not presented as an intervention. Rather, it's an observational study of natural consumption patterns, so it does not meet the requirement for alcohol reduction being the primary intervention.",yes,"The study is clearly longitudinal with two measurement points (waves 1 and 2 of the National Epidemiologic Survey), meeting the requirement for a longitudinal study with at least two measurement points.",yes,"The study appears to be a cohort study analyzing longitudinal data from a national survey, meeting the requirement for a systematic review, meta-analysis, randomized controlled trial, cohort study, or case-control study.",Exclude,"This longitudinal cohort study examines alcohol consumption patterns and health-related quality of life, but lacks specific intervention focus and life satisfaction measurement. While the research provides insights into alcohol consumption changes and their health impacts, it does not meet key screening criteria related to intervention type, life satisfaction measurement, and targeted population characteristics. The observational nature of the study and its broad approach to alcohol consumption patterns limit its alignment with the predefined screening requirements.",1.3
Alcohol interventions in a trauma center as a means of reducing the risk of injury recurrence.,"L. Gentilello, F. Rivara, D. Donovan, G. Jurkovich, Elizabeth Daranciang, C. Dunn, A. Villaveces, M. Copass, R. Ries",10.1097/00000658-199910000-00003,https://doi.org/10.1097/00000658-199910000-00003,Annals of Surgery,782,1999,yes,"The study focuses on alcohol reduction rather than abstinence, as evidenced by the measurement of drink reduction (21.8 drinks per week decrease).",no,The abstract does not mention any measurement of life satisfaction. The outcomes focused on are alcohol consumption and trauma recidivism.,maybe,"While the study clearly measures alcohol consumption reduction using validated tools (SMAST), it does not measure life satisfaction.",maybe,"While the study focuses on patients with alcohol problems (screened using SMAST), the abstract doesn't explicitly state the age range of participants. However, given it's a trauma center study, it's likely these are adults.",yes,"The study focuses on alcohol reduction through brief interventions, with clear measurement of alcohol consumption outcomes.",yes,"The study is clearly longitudinal with multiple measurement points (6- and 12-month follow-ups, plus 3-year follow-up for some outcomes).",yes,"This is a randomized controlled trial, explicitly stated in the methods section.",Exclude,"A randomized controlled trial examining alcohol interventions in a trauma center demonstrated significant alcohol consumption reduction and trauma recidivism decrease. While the study met most screening criteria, it critically failed to measure life satisfaction, which was a key requirement. The research focused on alcohol reduction among patients with alcohol problems, but lacked the specific life satisfaction outcome measurement needed for full compliance.",0.9
Reducing days of alcohol use improves lifestyle and wellbeing: an analysis of outcomes data from New Zealand adult community alcohol and other drug services.,"J. Lai, P. Hanton, Angela Jury, Charito Tuason",-,-,The New Zealand medical journal,1,2019,yes,"The study focuses on alcohol reduction, examining changes in ""days of alcohol use"" rather than complete abstinence, indicating that the intervention type is alcohol reduction.",maybe,"While the study measures ""lifestyle and wellbeing,"" it doesn't explicitly mention life satisfaction. The abstract refers to ""mental health, social relationships and physical health"" but doesn't specifically mention life satisfaction as a distinct measure, so it's unclear if the study specifically measures life satisfaction.",maybe,"The study measures alcohol consumption reduction using ADOM data, but it's unclear if the wellbeing measures are validated assessment tools. While they measure wellbeing, the specific validation of these measures isn't mentioned.",maybe,"The study focuses on adults accessing AOD services, but doesn't explicitly state the age range or specify baseline excessive alcohol consumption according to WHO guidelines. However, since they're accessing AOD services, it's likely they meet criteria for excessive consumption.",yes,"The study focuses on alcohol reduction, examining the impact of changes in alcohol use on lifestyle and wellbeing, indicating that alcohol reduction is the primary intervention being studied.",yes,"The study has two measurement points (treatment start and treatment end) and analyzes changes over time, indicating it is a longitudinal study with at least two measurement points.",yes,"The study appears to be a cohort study analyzing routine collected data from treatment services, which meets the criteria for a cohort study.",Include,"A longitudinal cohort study examining alcohol reduction among adults in treatment services, with measurements at treatment start and end, demonstrates potential alignment with most screening criteria. However, significant uncertainties exist regarding explicit life satisfaction measurement, baseline consumption levels, and validation of wellbeing assessment tools, which create ambiguity about full criterion compliance.",3
Are alcoholism treatments effective? The Project MATCH data,"R. Cutler, David A. Fishbain",10.1186/1471-2458-5-75,https://doi.org/10.1186/1471-2458-5-75,BMC Public Health,115,2005,no,The study appears to focus on complete abstinence rather than alcohol reduction. The outcome measures (PDA and DDD) suggest an abstinence-focused approach.,no,The abstract does not mention any measurement of life satisfaction. The primary outcome variables are percent days abstinent (PDA) and drinks per drinking day (DDD).,no,"While the study measures alcohol consumption, it does not measure life satisfaction. The outcome measures are focused on abstinence and drinking days.",maybe,"While the study focuses on alcohol-dependent volunteers, the abstract doesn't explicitly specify age requirements. However, given it's a clinical trial of alcohol-dependent individuals, it's likely they were adults.",no,"The study focuses on comparing different psychosocial treatments for alcoholism, not specifically on alcohol reduction as an intervention. The treatments appear to be focused on abstinence rather than reduction.",yes,"The study is longitudinal with at least two measurement points, including baseline and follow-up measurements, with specific mention of week one and follow-up periods.",yes,"The study is a secondary analysis of a multisite clinical trial (Project MATCH), which qualifies as a cohort study.",Exclude,"The study fails to meet key screening criteria, particularly around life satisfaction measurement and intervention type, as it focuses on alcohol abstinence rather than reduction. While the research is a rigorous longitudinal clinical trial with appropriate population characteristics, its primary outcomes and intervention approach do not align with the specified review requirements. Critical gaps exist in measuring life satisfaction and targeting alcohol reduction as a primary intervention.",0.5
The Importance of Quality of Life in Patients with Alcohol Abuse and Dependence,"C. Ugochukwu, K. Bagot, S. Delaloye, Sarah Pi, L. Vien, T. Garvey, Nestor Ian Bolotaulo, N. Kumar, W. Ishak",10.1097/HRP.0b013e31827fd8aa,https://doi.org/10.1097/HRP.0b013e31827fd8aa,Harvard Review of Psychiatry,65,2013,no,"The abstract mentions ""abstinence and its maintenance"" rather than specifically focusing on alcohol reduction. This suggests a focus on complete abstinence rather than reduction.",no,"The paper discusses quality of life broadly, including physical, mental, and social domains, but does not specifically mention life satisfaction as a distinct measure. It focuses on general QoL measures.",no,"While the paper discusses QoL measures, it does not specifically focus on measuring both alcohol consumption reduction and life satisfaction. The focus appears to be on QoL as a general outcome measure.",maybe,"While the paper focuses on alcohol abuse and dependence, it does not explicitly specify adult populations or baseline consumption levels according to WHO guidelines.",no,"The paper focuses on quality of life in alcohol abuse/dependence, but does not specifically focus on alcohol reduction as an intervention. It appears to be more focused on measuring QoL in alcohol abuse/dependence generally.",maybe,"The abstract does not explicitly state whether the included studies are longitudinal with at least two measurement points. While it mentions ""monitoring QoL during assessment and treatment,"" this is too vague to confirm a longitudinal design.",yes,"This is a systematic review, which meets the criterion for study design type.",Exclude,"The systematic review focuses on quality of life in alcohol abuse and dependence, but fails to meet several key screening criteria, including specific life satisfaction measurement, alcohol reduction intervention, and clear population age specifications. While methodologically sound as a review, the study does not align closely with the targeted research parameters around alcohol reduction and life satisfaction outcomes.",1.3
The Australian Guidelines to Reduce Health Risks from Drinking Alcohol,K. Brussen,-,-,-,770,2010,no,"While the abstract mentions reducing alcohol consumption, it's discussing guidelines rather than studying a specific intervention.",no,There is no mention of measuring life satisfaction or any other outcomes.,no,The abstract does not mention any measurement of alcohol consumption reduction or life satisfaction using validated tools.,no,The abstract does not specify any particular population or baseline consumption levels.,no,"While the abstract discusses alcohol consumption reduction, it's in the context of guidelines rather than studying an intervention.",no,"The abstract does not indicate any longitudinal measurements or study timeline, and appears to be a report summarizing guidelines rather than a research study.",no,"This appears to be a policy/guideline report, not a systematic review, meta-analysis, RCT, cohort study, or case-control study.",Exclude,"The document is a policy report summarizing alcohol consumption guidelines, not a research study, and therefore fails to meet any of the specified screening criteria. No longitudinal measurements, intervention details, population specifications, or outcome measurements are present, rendering the document unsuitable for systematic review inclusion.",0.1
Brief physician- and nurse practitioner-delivered counseling for high-risk drinkers: does it work?,"J. Ockene, A. Adams, T. Hurley, Elizabeth V. Wheeler, James R Hébert",10.1001/ARCHINTE.159.18.2198,https://doi.org/10.1001/ARCHINTE.159.18.2198,Archives of Internal Medicine,279,1999,yes,"The study focuses on alcohol reduction rather than abstinence or detoxification, as evidenced by measuring reduction in weekly drinks.",no,The abstract does not mention any measurement of life satisfaction. The only outcomes mentioned are alcohol consumption and binge drinking frequency.,no,"While the study measures alcohol consumption reduction using validated tools (weekly alcohol consumption and binge drinking episodes), it does not measure life satisfaction.",maybe,"While the study focuses on ""high-risk drinkers"" in primary care, the abstract doesn't explicitly state the age range or specify if the baseline consumption meets WHO guidelines. However, the primary care setting suggests an adult population.",yes,The primary intervention is clearly focused on alcohol reduction through brief counseling.,yes,"The study has clear baseline and 6-month follow-up measurements, making it longitudinal with at least two time points.",yes,This is a randomized controlled trial (RCT) with primary care practice sites randomized to intervention or usual care groups.,Exclude,"A randomized controlled trial examining brief alcohol reduction interventions in primary care demonstrates significant alcohol consumption reduction, but critically fails to measure life satisfaction. While the study meets several key screening criteria including longitudinal design and appropriate intervention type, the absence of life satisfaction measurement represents a fundamental disqualifying factor. Uncertainty also exists regarding precise population age and baseline consumption criteria.",0.9
How effective is alcoholism treatment in the United States?,"W. Miller, S. Walters, M. Bennett",10.15288/JSA.2001.62.211,https://doi.org/10.15288/JSA.2001.62.211,Journal of Studies on Alcohol,398,2001,maybe,"The study includes both abstinence and reduction outcomes, but isn't specifically focused on reduction interventions. It appears to cover various treatment approaches.",no,"The abstract does not mention measuring life satisfaction. It focuses on alcohol consumption, abstinence, and alcohol-related problems, but not life satisfaction specifically.",no,"While the study measures alcohol consumption reduction using what appears to be validated measures, it does not measure life satisfaction.",maybe,"While the study focuses on alcohol use disorders, the abstract doesn't specify age ranges. However, given it's about alcoholism treatment, it's likely focused on adults.",maybe,"The study focuses on alcoholism treatment outcomes broadly, not specifically on alcohol reduction interventions. While reduction is discussed as an outcome, it's not the primary intervention being studied.",yes,"The study is described as a review of seven large multisite studies with measurements taken during ""the year after treatment,"" suggesting longitudinal data collection with at least two measurement points.",yes,"The study is explicitly described as a review combining findings from multiple studies, and while it's not specifically labeled as systematic, it appears to be a systematic review of treatment outcomes.",Exclude,"The study presents a comprehensive review of alcoholism treatment outcomes, but fails to meet critical screening criteria, particularly the absence of life satisfaction measurement. While the research provides detailed insights into alcohol consumption reduction and treatment effectiveness, it does not align with the specific requirements for inclusion, especially regarding life satisfaction assessment and intervention focus.",1.3
Self-reported life satisfaction and alcohol use: a 15-year follow-up of healthy adult twins.,"H. Koivumaa-Honkanen, Jaakko Kaprio, Jaakko Kaprio, T. Korhonen, T. Korhonen, R. Honkanen, K. Heikkilä, M. Koskenvuo",10.1093/alcalc/agr151,https://doi.org/10.1093/alcalc/agr151,Alcohol and Alcoholism,62,2012,no,This is not an intervention study. It observes natural relationships between life satisfaction and alcohol use rather than studying alcohol reduction interventions.,yes,"The study explicitly measures life satisfaction (LS) using a scale, though the specific validation of the scale isn't mentioned in the abstract.",maybe,"While the study measures both alcohol consumption and life satisfaction, it's not measuring them in the context of an intervention. The alcohol measures are indicators of adverse alcohol use (binge drinking, passing out, high consumption).",maybe,"The study includes adults (18-45 at baseline), but doesn't specifically focus on those with baseline excessive alcohol consumption. It includes a general population sample.",no,"The study examines bidirectional relationships between life satisfaction and alcohol use, but does not focus on alcohol reduction as an intervention. It's an observational study of natural relationships, rather than an intervention study.",yes,"The study is clearly longitudinal with three measurement points (1975, 1981, and 1990), meeting the requirement for at least two measurement points.",yes,"This is a cohort study following a population-based sample over time, meeting the requirement for a systematic review, meta-analysis, randomized controlled trial, cohort study, or case-control study.",Exclude,"This longitudinal cohort study explores bidirectional relationships between life satisfaction and alcohol use among Finnish twins, but does not meet key screening criteria for an alcohol reduction intervention study. While the research provides insights into alcohol consumption and life satisfaction, it lacks a specific intervention focus and does not target a population with baseline excessive alcohol consumption. The study's observational nature and general population sample prevent it from aligning with the specified screening requirements.",0.9
Reduction of alcohol consumption and subsequent mortality in alcohol use disorders: systematic review and meta-analyses.,"M. Roerecke, A. Gual, J. Rehm",10.4088/JCP.13r08379,https://doi.org/10.4088/JCP.13r08379,Journal of Clinical Psychiatry,92,2013,maybe,"The study includes both reduction and abstinence, rather than focusing exclusively on reduction. The abstract specifically mentions ""including abstention"" in the results.",no,"The study measures mortality risk as the primary outcome, and there is no mention of life satisfaction measurements.",no,"The study measures alcohol consumption reduction and mortality risk, but does not measure life satisfaction. The outcome measures don't align with the required criteria.",maybe,"The study focuses on individuals with alcohol use disorders, which likely includes adults, but the age range is not explicitly stated. The baseline excessive consumption is implied through the focus on heavy drinkers.",maybe,"While alcohol reduction is studied, the analysis includes both reduction and abstinence, and doesn't exclusively focus on reduction.",yes,"The study is a meta-analysis of cohort studies with follow-up periods, indicating a longitudinal design with at least two measurement points.",yes,"The study is explicitly a meta-analysis of cohort studies, which meets the criteria for study design type.",Exclude,"A meta-analysis of cohort studies examining alcohol consumption reduction and mortality risk, which partially meets some screening criteria but critically fails to measure life satisfaction. The study includes both alcohol reduction and abstinence, focuses on mortality outcomes, and lacks specific life satisfaction measurements, rendering it non-compliant with key review requirements.",0.9
