Title,Authors,DOI,DOI link,Venue,Citation count,Year
Alcohol and cannabis abuse/dependence symptoms and life satisfaction in young adulthood.,Nic Swain,10.1111/j.1465-3362.2011.00339.x,https://doi.org/10.1111/j.1465-3362.2011.00339.x,Drug and Alcohol Review,30,2012
Is life satisfaction hump-shaped with alcohol consumption? Evidence from Russian panel data.,"S. Massin, P. Kopp",10.1016/j.addbeh.2014.01.005,https://doi.org/10.1016/j.addbeh.2014.01.005,Addictive Behaviours,36,2014
The Cochrane 2018 Review on Brief Interventions in Primary Care for Hazardous and Harmful Alcohol Consumption: A Distillation for Clinicians and Policy Makers.,"F. Beyer, F. Campbell, N. Bertholet, J. Daeppen, J. Saunders, E. Pienaar, C. Muirhead, E. Kaner",10.1093/alcalc/agz035,https://doi.org/10.1093/alcalc/agz035,Alcohol and Alcoholism,54,2019
Alcohol and Russian mortality: a continuing crisis.,"D. Leon, V. Shkolnikov, M. Mckee",10.1111/j.1360-0443.2009.02655.x,https://doi.org/10.1111/j.1360-0443.2009.02655.x,Addiction,192,2009
The Effectiveness of Electronic Screening and Brief Intervention for Reducing Levels of Alcohol Consumption: A Systematic Review and Meta-Analysis,"K. Donoghue, R. Patton, T. Phillips, P. Deluca, C. Drummond",10.2196/jmir.3193,https://doi.org/10.2196/jmir.3193,Journal of Medical Internet Research,156,2014
Excessive alcohol consumption is associated with reduced quality of life among methadone patients.,"R. Senbanjo, K. Wolff, J. Marshall",10.1111/J.1360-0443.2006.01683.X,https://doi.org/10.1111/J.1360-0443.2006.01683.X,Addiction,77,2007
Can Simply Answering Research Questions Change Behaviour? Systematic Review and Meta Analyses of Brief Alcohol Intervention Trials,"J. Mccambridge, K. Kypri",10.1371/journal.pone.0023748,https://doi.org/10.1371/journal.pone.0023748,PLoS ONE,247,2011
Brief Intervention for Medical Inpatients with Unhealthy Alcohol Use,"R. Saitz, T. Palfai, D. Cheng, Nicholas Jon Horton, N. Freedner, K. Dukes, K. Kraemer, M. Roberts, R. Guerriero, J. Samet",10.7326/0003-4819-146-3-200702060-00005,https://doi.org/10.7326/0003-4819-146-3-200702060-00005,Annals of Internal Medicine,140,2007
Brief physician advice for problem drinkers: long-term efficacy and benefit-cost analysis.,"M. Fleming, M. Mundt, M. French, L. Manwell, E. A. Stauffacher, K. Barry",10.1111/J.1530-0277.2002.TB02429.X,https://doi.org/10.1111/J.1530-0277.2002.TB02429.X,Alcoholism: Clinical and Experimental Research,549,2002
Longitudinal alcohol consumption patterns and health‐related quality of life: Results from the National Epidemiologic Survey on Alcohol and Related Conditions,"Sameer Imtiaz, G. Loheswaran, B. Le Foll, J. Rehm",10.1111/dar.12503,https://doi.org/10.1111/dar.12503,Drug and Alcohol Review,22,2018
Alcohol interventions in a trauma center as a means of reducing the risk of injury recurrence.,"L. Gentilello, F. Rivara, D. Donovan, G. Jurkovich, Elizabeth Daranciang, C. Dunn, A. Villaveces, M. Copass, R. Ries",10.1097/00000658-199910000-00003,https://doi.org/10.1097/00000658-199910000-00003,Annals of Surgery,782,1999
Reducing days of alcohol use improves lifestyle and wellbeing: an analysis of outcomes data from New Zealand adult community alcohol and other drug services.,"J. Lai, P. Hanton, Angela Jury, Charito Tuason",-,-,The New Zealand medical journal,1,2019
Are alcoholism treatments effective? The Project MATCH data,"R. Cutler, David A. Fishbain",10.1186/1471-2458-5-75,https://doi.org/10.1186/1471-2458-5-75,BMC Public Health,115,2005
The Importance of Quality of Life in Patients with Alcohol Abuse and Dependence,"C. Ugochukwu, K. Bagot, S. Delaloye, Sarah Pi, L. Vien, T. Garvey, Nestor Ian Bolotaulo, N. Kumar, W. Ishak",10.1097/HRP.0b013e31827fd8aa,https://doi.org/10.1097/HRP.0b013e31827fd8aa,Harvard Review of Psychiatry,65,2013
The Australian Guidelines to Reduce Health Risks from Drinking Alcohol,K. Brussen,-,-,-,770,2010
Brief physician- and nurse practitioner-delivered counseling for high-risk drinkers: does it work?,"J. Ockene, A. Adams, T. Hurley, Elizabeth V. Wheeler, James R Hébert",10.1001/ARCHINTE.159.18.2198,https://doi.org/10.1001/ARCHINTE.159.18.2198,Archives of Internal Medicine,279,1999
How effective is alcoholism treatment in the United States?,"W. Miller, S. Walters, M. Bennett",10.15288/JSA.2001.62.211,https://doi.org/10.15288/JSA.2001.62.211,Journal of Studies on Alcohol,398,2001
Self-reported life satisfaction and alcohol use: a 15-year follow-up of healthy adult twins.,"H. Koivumaa-Honkanen, Jaakko Kaprio, Jaakko Kaprio, T. Korhonen, T. Korhonen, R. Honkanen, K. Heikkilä, M. Koskenvuo",10.1093/alcalc/agr151,https://doi.org/10.1093/alcalc/agr151,Alcohol and Alcoholism,62,2012
Reduction of alcohol consumption and subsequent mortality in alcohol use disorders: systematic review and meta-analyses.,"M. Roerecke, A. Gual, J. Rehm",10.4088/JCP.13r08379,https://doi.org/10.4088/JCP.13r08379,Journal of Clinical Psychiatry,92,2013
Effectiveness of brief alcohol interventions in primary care populations.,"E. Kaner, F. Beyer, C. Muirhead, F. Campbell, E. Pienaar, N. Bertholet, J. Daeppen, J. Saunders, B. Burnand",10.1002/14651858.CD004148.pub4,https://doi.org/10.1002/14651858.CD004148.pub4,Cochrane Database of Systematic Reviews,791,2018
"One-year sobriety improves satisfaction with life, executive functions and psychological distress among patients with polysubstance use disorder.","Egon Hagen, Aleksander H. Erga, Katrin P Hagen, Sverre Nesvåg, J. McKay, A. Lundervold, Espen Walderhaug",10.1016/j.jsat.2017.01.016,https://doi.org/10.1016/j.jsat.2017.01.016,Journal of Substance Abuse Treatment,45,2017
Decreased alcohol consumption in outpatient drinkers is associated with improved quality of life and fewer alcohol-related consequences.,"K. Kraemer, S. Maisto, J. Conigliaro, M. McNeil, A. Gordon, M. Kelley",10.1046/J.1525-1497.2002.10613.X,https://doi.org/10.1046/J.1525-1497.2002.10613.X,-,36,2002
"Does Reducing Drinking in Patients with Unhealthy Alcohol Use Improve Pain Interference, Use of Other Substances, and Psychiatric Symptoms?","E. Caniglia, E. R. Stevens, Maria R Khan, Kailyn E. Young, K. Ban, B. Marshall, Natalie E. Chichetto, Julie R. Gaither, S. Crystal, E. J. Edelman, D. Fiellin, A. Gordon, K. Bryant, J. Tate, A. Justice, R. Braithwaite",10.1111/acer.14455,https://doi.org/10.1111/acer.14455,Alcoholism: Clinical and Experimental Research,10,2020
What if Americans drank less? The potential effect on the prevalence of alcohol abuse and dependence.,"L. Archer, B. Grant, D. Dawson",10.2105/AJPH.85.1.61,https://doi.org/10.2105/AJPH.85.1.61,American Journal of Public Health,28,1995
Quality of life depends on the drinking pattern in alcohol-dependent patients.,"J. Daeppen, M. Faouzi, Nathalie Sanchez, N. Rahhali, S. Bineau, N. Bertholet",10.1093/alcalc/agu027,https://doi.org/10.1093/alcalc/agu027,Alcohol and Alcoholism,45,2014
Quality of Life as Medicine. II. A Pilot Study of a Five-Day “Quality of Life and Health” Cure for Patients with Alcoholism,"S. Ventegodt,, J. Merrick, N. Andersen",10.1100/tsw.2003.67,https://doi.org/10.1100/tsw.2003.67,TheScientificWorldJournal,60,2003
Life satisfaction following treatment-related reductions in alcohol use and PTSD symptoms: Results from VetChange.,"Noam G Newberger, Samantha Yeager, Nicholas A. Livingston, J. Enggasser, D. Brief, Scott Litwack, Eric D Helmuth, M. Roy, D. Rosenbloom, T. Keane",10.1037/tra0001234,https://doi.org/10.1037/tra0001234,Psychological Trauma,2,2022
Can alcohol make you happy? A subjective wellbeing approach.,"B. Geiger, G. MacKerron",10.1016/j.socscimed.2016.03.034,https://doi.org/10.1016/j.socscimed.2016.03.034,Social Science & Medicine (1967),39,2016
Brief physician advice for problem alcohol drinkers. A randomized controlled trial in community-based primary care practices.,"Michael F. Fleming, Kristen L. Barry, L. Manwell, Kristen Johnson, Richard London",10.1001/JAMA.277.13.1039,https://doi.org/10.1001/JAMA.277.13.1039,Journal of the American Medical Association (JAMA),917,1997
Reduction of alcohol consumption by brief alcohol intervention in primary care: systematic review and meta-analysis.,"N. Bertholet, Jean-Bernard Daeppen, V. Wietlisbach, Michael Fleming, B. Burnand",10.1001/ARCHINTE.165.9.986,https://doi.org/10.1001/ARCHINTE.165.9.986,Archives of Internal Medicine,600,2005
The world of drinking: national alcohol control experiences in 18 countries.,"T. Babor, E. Winstanley",10.1111/j.1360-0443.2008.02183.x,https://doi.org/10.1111/j.1360-0443.2008.02183.x,Addiction,14,2008
Epidemiology of Recovery From Alcohol Use Disorder,"J. Tucker, Susan D Chandler, K. Witkiewitz",10.35946/arcr.v40.3.02,https://doi.org/10.35946/arcr.v40.3.02,Alcohol research : current reviews,104,2020
The effect of general practitioners' advice to heavy drinking men.,"P. Anderson, E. Scott",10.1111/J.1360-0443.1992.TB01984.X,https://doi.org/10.1111/J.1360-0443.1992.TB01984.X,British Journal of Addiction,231,1992
Beyond Abstinence: Changes in Indices of Quality of Life with Time in Recovery in a Nationally Representative Sample of U.S. Adults,"J. Kelly, M. Greene, B. Bergman",10.1111/acer.13604,https://doi.org/10.1111/acer.13604,Alcoholism: Clinical and Experimental Research,115,2018
The development of Drink Less: an alcohol reduction smartphone app for excessive drinkers,"C. Garnett, David Crane, R. West, Jamie Brown, S. Michie",10.1093/tbm/iby043,https://doi.org/10.1093/tbm/iby043,Translational Behavioral Medicine,57,2018
Widespread and sustained cognitive deficits in alcoholism: a meta‐analysis,"K. Stavro, J. Pelletier, S. Potvin",10.1111/j.1369-1600.2011.00418.x,https://doi.org/10.1111/j.1369-1600.2011.00418.x,Addiction Biology,524,2013
Epidemiology and alcohol policy in Europe.,"J. Rehm, Witold Zatonksi, B. Taylor, P. Anderson",10.1111/j.1360-0443.2010.03326.x,https://doi.org/10.1111/j.1360-0443.2010.03326.x,Addiction,147,2011
Maritally distressed women with alcohol problems: the impact of a short-term alcohol-focused intervention on drinking behaviour and marital satisfaction.,"Adrian B. Kelly, W. Halford, Ross McD. Young",10.1046/J.1360-0443.2000.951015378.X,https://doi.org/10.1046/J.1360-0443.2000.951015378.X,Addiction,59,2000
Randomised controlled trial of general practitioner intervention in patients with excessive alcohol consumption.,"P. Wallace, S. Cutler, A. Haines",10.1136/bmj.297.6649.663,https://doi.org/10.1136/bmj.297.6649.663,British medical journal,677,1988
Behavioral Counseling After Screening for Alcohol Misuse in Primary Care: A Systematic Review and Meta-analysis for the U.S. Preventive Services Task Force,"D. Jonas, J. Garbutt, H. Amick, Janice Brown, K. Brownley, Carol L. Council, A. Viera, Tania M. Wilkins, Cody J. Schwartz, Emily M Richmond, John Yeatts, T. Evans, S. D. Wood, Russell P. Harris",10.7326/0003-4819-157-9-201211060-00544,https://doi.org/10.7326/0003-4819-157-9-201211060-00544,Annals of Internal Medicine,381,2012
