Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Age,"Reasoning for ""Population Age""",Alcohol Reduction,"Reasoning for ""Alcohol Reduction""",Outcome Measurement,"Reasoning for ""Outcome Measurement""",Study Design,"Reasoning for ""Study Design""",Follow-up Duration,"Reasoning for ""Follow-up Duration""",Population Type,"Reasoning for ""Population Type""",Intervention Isolation,"Reasoning for ""Intervention Isolation""",Study Timeline,"Reasoning for ""Study Timeline""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Implication of alcohol consumption on aggregate wellbeing,"Mathew Parackal, Sherly M Parackal",10.1177/1757913916669538,https://doi.org/10.1177/1757913916669538,Perspectives in Public Health,17,2017,yes,"The study explicitly stated that all participants were aged 18 or older, meeting this criterion.",no,"The study doesn't examine reduction in alcohol consumption over time. Instead, it looks at correlations between current drinking levels and happiness.",yes,"The study used a validated instrument, the subjective happiness scale (SHS), to measure well-being or life satisfaction.",no,"The study appears to be a cross-sectional study analyzing correlations between drinking behavior and happiness at a single time point, rather than a randomized controlled trial, quasi-experimental study, or prospective cohort study.",no,There is no follow-up period mentioned. The study appears to be cross-sectional rather than longitudinal.,yes,"The study used a random selection from a consumer panel of the general population, not exclusively those with alcohol use disorder.",no,"The study appears to be observational, examining correlations between existing drinking behaviors and happiness, rather than studying alcohol reduction as an intervention.",no,"The study is cross-sectional, not longitudinal, and doesn't measure effects over time.",Exclude,"The study fails to meet key screening criteria due to its cross-sectional design and lack of intervention analysis, despite having appropriate population age and outcome measurement. Critical shortcomings include absence of longitudinal tracking, no alcohol reduction intervention, and no follow-up period, rendering the research incompatible with the specified review requirements.",0.5
A longitudinal examination of alcohol use and subjective well-being in an undergraduate sample.,"D. Molnar, M. Busseri, C. Perrier, S. Sadava",10.15288/JSAD.2009.70.704,https://doi.org/10.15288/JSAD.2009.70.704,Journal of Studies on Alcohol and Drugs,66,2009,yes,"The study included participants aged 18 or older, as the average age at Time 1 was 18.83 years, and all participants were university students.",no,The study examined alcohol use and its consequences but did not specifically study voluntary reduction in alcohol consumption. It looked at natural patterns of use rather than intentional reduction.,yes,"The study measured well-being and life satisfaction using validated instruments, including standard measures of life satisfaction, positive affect, and negative affect.",yes,The study design was a longitudinal prospective cohort study with measurements at two time points (Time 1 and Time 2).,yes,"The follow-up period was approximately 2 years, which falls within the 24 hours to 6 months criterion.",yes,"The study included general university students, not those with diagnosed alcohol use disorder.",no,"This was an observational study examining natural alcohol use patterns, not an intervention study isolating alcohol reduction.",yes,The study was explicitly longitudinal with measurements over time.,Exclude,"The study meets several screening criteria including appropriate age range, validated outcome measurements, and longitudinal design with general population participants. However, critical disqualifying factors include the lack of an alcohol reduction intervention and the examination of natural alcohol use patterns rather than voluntary consumption reduction. These fundamental differences from the screening requirements suggest the study would not be suitable for inclusion.",0.5
Here's to Your Health: Why a Drink With Dinner Might Improve Longevity.,"A. Elagizi, Evan L. O’Keefe, J. O’Keefe",10.1016/j.mayocp.2021.05.013,https://doi.org/10.1016/j.mayocp.2021.05.013,Mayo Clinic proceedings,1,2021,maybe,"The abstract does not explicitly state the age range of participants, and while it mentions ""males in the age range from 15 to 59 years"" in one context, this appears to be a general statistic rather than the study population. There is uncertainty about whether the age criterion of 18 or older is met.",no,"While the study examines different drinking patterns, it does not specifically study voluntary reduction in alcohol consumption with baseline and follow-up measurements.",no,"The study appears to focus on mortality, cardiovascular outcomes, and depression, but does not specifically measure well-being or life satisfaction using validated instruments.",maybe,"The abstract mentions a randomized controlled trial and prospective observational studies, which would meet this criterion. However, it is unclear if the main study being discussed is one of these designs.",no,"The abstract mentions a 6-month follow-up period for one study, which falls outside the required 24 hours to 6 months range.",yes,"The study appears to include general population participants, not exclusively those with alcohol use disorder.",no,"The study examines alcohol consumption patterns and their effects, but does not isolate alcohol reduction as an intervention. It looks at different consumption patterns and their outcomes.",no,"The studies mentioned are longitudinal, but the follow-up periods mentioned are longer than the criterion allows.",Exclude,"The study fails to meet key screening criteria, particularly around measuring well-being, isolating alcohol reduction as an intervention, and using a follow-up period within the specified range. While the research explores alcohol consumption patterns and health outcomes, it does not align with the specific methodological requirements of the screening protocol. Multiple critical criteria were not satisfied, rendering the study unsuitable for inclusion.",0.5
Moderate drinkers may not have reduced risk of all-cause mortality: a lifecourse perspective,Z. Xuan,10.1136/ebmed-2016-110490,https://doi.org/10.1136/ebmed-2016-110490,Evidence-Based Medicine,1,2016,maybe,"The abstract does not explicitly state the participant age ranges, so it cannot be definitively determined if the criterion of all participants being 18 or older is met.",no,"While the paper discusses changes in drinking patterns over time, it is not studying voluntary reduction in alcohol consumption. The focus is on mortality risk, not alcohol reduction interventions. Therefore, the criterion of the study examining voluntary reduction in alcohol consumption with measurements at both baseline and follow-up is not met.",no,"The abstract focuses on mortality risk, not well-being or life satisfaction, and there is no mention of validated instruments for measuring well-being. Therefore, the criterion of measuring well-being or life satisfaction using validated instruments is not met.",no,"This is a commentary on a systematic review/meta-analysis, not a primary research study with any of the required designs (randomized controlled trial, quasi-experimental study, or prospective cohort study). Therefore, the criterion of the study design being one of the required types is not met.",maybe,"No specific follow-up period is mentioned in the abstract, so it cannot be determined if the criterion of the follow-up period being between 24 hours and 6 months is met.",yes,"The paper appears to discuss general population drinkers, mentioning ""moderate"" drinkers and general alcohol consumption patterns. Therefore, the criterion of the study including participants from the general population (not exclusively those with diagnosed alcohol use disorder) is likely met.",no,"The paper appears to be a commentary on a systematic review about alcohol consumption and mortality, not an intervention study. Therefore, the criterion of alcohol reduction being studied in isolation or analyzed separately from other lifestyle interventions is not met.",no,"While the paper discusses lifecourse patterns, this is a commentary rather than a longitudinal study. Therefore, the criterion of the study being longitudinal (not cross-sectional) with effects measured over more than 24 hours is not met.",Exclude,"This commentary on a systematic review fails to meet multiple critical screening criteria, including the required study design, outcome measurement, and intervention type. The paper discusses alcohol consumption and mortality risk but does not align with the specified research parameters for inclusion in the systematic review. Consequently, the abstract does not qualify for further consideration based on the established screening criteria.",0.1
Consistency of Drinker Status Over Time: Drinking Patterns of Ex-Drinkers Who Describe Themselves as Lifetime Abstainers.,"S. Callinan, T. Chikritzhs, M. Livingston",10.15288/jsad.2019.80.552,https://doi.org/10.15288/jsad.2019.80.552,Journal of Studies on Alcohol and Drugs,13,2019,maybe,"The abstract does not explicitly state the age range of participants, so it is unclear if all study participants were aged 18 or older.",no,"The study does not examine voluntary reduction in alcohol consumption. Instead, it focuses on the consistency of self-reported lifetime abstention status.",no,"The study does not measure well-being or life satisfaction. Instead, it focuses on the consistency of self-reported drinking status over time.",no,"While this is a longitudinal study (16 waves of data), it's an observational study examining reporting consistency, not an RCT, quasi-experimental, or prospective cohort study examining interventions.",no,"While the study spans 15 years (2001-2016), it's not measuring intervention effects over a 24-hour to 6-month period.",yes,"The study does include participants from the general population, not exclusively those with alcohol use disorder.",no,This is not an intervention study. It examines self-reported drinking status consistency rather than studying alcohol reduction interventions.,maybe,"The study is longitudinal (meeting the >24 hours requirement), but it's not measuring intervention effects over time.",Exclude,"This methodological study examining self-reported drinking status fails to meet multiple screening criteria, including lack of intervention focus, absence of well-being measurements, and non-interventional study design. The research primarily investigates reporting consistency of lifetime abstainers rather than addressing alcohol reduction or its effects on well-being, rendering it unsuitable for the systematic review's requirements.",0.1
Influence of Religiosity and Alcohol Use on Personal Well-Being,"F. Alexander, R. W. Duff",10.1300/J078V08N02_02,https://doi.org/10.1300/J078V08N02_02,-,17,1992,yes,"The study focuses on retirement communities, so all participants are clearly over 18.",no,The study measures alcohol consumption as a correlate but does not examine voluntary reduction in alcohol consumption over time.,yes,"The study measures life satisfaction, though the abstract doesn't explicitly state whether validated instruments were used.",no,"This appears to be a cross-sectional study based on interviews, not a randomized controlled trial, quasi-experimental study, or prospective cohort study.",no,This is a cross-sectional study with no follow-up period mentioned.,yes,"The study includes general population participants from retirement communities, not those with diagnosed alcohol use disorder.",no,"This is not an intervention study. It's a correlational study examining relationships between various factors including alcohol use, but not testing alcohol reduction interventions.",no,"The study is cross-sectional, not longitudinal, with no temporal measurement of effects.",Exclude,"The study fails to meet key screening criteria due to its cross-sectional design and lack of an alcohol reduction intervention. While examining life satisfaction and alcohol use among retirement community residents, the research does not include longitudinal measurements, follow-up periods, or a specific intervention focused on alcohol consumption reduction.",0.5
Smoking and Alcohol Consumption Following a New Dementia Diagnosis.,"K. Arora, D. Bhagianadh",10.1093/geronb/gbz127,https://doi.org/10.1093/geronb/gbz127,"The journals of gerontology. Series B, Psychological sciences and social sciences",6,2019,yes,"The study focuses on older adults, clearly meeting the 18+ requirement.",yes,The study examines voluntary reduction in alcohol consumption with measurements at both baseline and follow-up.,no,The abstract doesn't mention measuring well-being or life satisfaction. The focus is on behavior change (alcohol consumption reduction) rather than well-being outcomes.,yes,This is a prospective cohort study using panel data (1998-2014) with propensity score weighting.,maybe,"The abstract doesn't specify the exact follow-up duration. While it's a longitudinal study (1998-2014), we can't confirm if the follow-up period for individual participants falls within 24 hours to 6 months.",yes,"The study includes general population participants, comparing those with and without dementia diagnosis.",yes,Alcohol reduction is studied separately from other lifestyle interventions (smoking is studied separately).,yes,"The study is clearly longitudinal, following participants over time.",Exclude,"The study involves older adults and examines alcohol consumption changes, but lacks measurement of well-being or life satisfaction, which is a critical screening requirement. While the research design meets several criteria, the absence of validated well-being instruments and unclear follow-up duration create significant barriers to meeting the comprehensive screening standards.",1.3
Association Between Moderate Alcohol Consumption and Mortality Benefits: Dwindling Evidence?,"P. Mueller, Facp.",10.1056/NEJM-JW.NA37014,https://doi.org/10.1056/NEJM-JW.NA37014,-,0,2015,no,"The abstract does not specify the participant age ranges, so it is not possible to determine if all study participants were aged 18 or older.",no,The abstract does not mention any reduction in alcohol consumption or measurements at baseline and follow-up.,no,"The abstract mentions ""all-cause mortality"" as the outcome measure, but does not indicate that well-being or life satisfaction were measured using validated instruments.",no,"The abstract does not specify the study design, so it is not possible to determine if it was a randomized controlled trial, quasi-experimental study, or prospective cohort study.",no,"While mortality studies typically have long follow-up periods, the specific duration is not mentioned in the abstract.",no,"The abstract mentions ""moderate drinkers"" but does not specify if these were from the general population or those with diagnosed alcohol use disorder.",no,"The abstract discusses alcohol consumption in relation to mortality, but does not specify if alcohol reduction was studied in isolation or analyzed separately from other lifestyle interventions.",maybe,"The mention of mortality suggests this is a longitudinal study, but the specific timeline is not provided.",Exclude,"The incomplete abstract lacks critical details about study design, population characteristics, and intervention specifics, making comprehensive screening impossible. The focus on mortality rather than well-being outcomes and the absence of key methodological information suggest the study does not meet the established screening criteria. Multiple screening requirements remain unverifiable due to the abstract's limited content.",0.5
"Short term and long term effects of alcohol on blood pressure, cardiovascular risk and all cause mortality.",P. Sleight,10.3109/08037059609079671,https://doi.org/10.3109/08037059609079671,Blood Pressure,6,1996,no,"The abstract provides no information about participant age ranges, so it is not possible to determine if all study participants were aged 18 or older.",no,"The abstract suggests this is an observational study of alcohol effects rather than an intervention study of voluntary reduction, so it appears to fail this criterion.",no,"The study appears to focus on blood pressure, cardiovascular risk, and mortality rather than well-being or life satisfaction, so it fails to meet this criterion.",maybe,"The abstract does not specify the study design methodology, so it cannot be determined if the study design was a randomized controlled trial, quasi-experimental study, or prospective cohort study.",maybe,"While the title mentions ""short term and long term effects,"" specific timeframes are not provided, so the follow-up duration cannot be determined.",maybe,"No information is provided about the study population, so it cannot be determined if the study included participants from the general population or exclusively those with diagnosed alcohol use disorder.",maybe,"While the study examines alcohol effects, it is unclear if alcohol reduction is studied in isolation, so it cannot be determined if this criterion is met.",maybe,"The mention of ""short term and long term effects"" suggests this is a longitudinal study, but the specific duration is unclear.",Exclude,"The study focuses on physiological outcomes like blood pressure and mortality, which diverges from the required well-being and life satisfaction measurements. Insufficient details prevent comprehensive assessment of most screening criteria, and the apparent observational nature of the research suggests it does not meet key intervention and outcome requirements.",0.5
Well-being in Australia--findings from the National Survey of Mental Health and Well-being.,"K. Dear, S. Henderson, A. Korten",-,-,Social Psychiatry and Psychiatric Epidemiology,57,2002,yes,"The study explicitly states it's a ""national household sample... representative of the adult population,"" which clearly meets the 18+ criterion.",no,The study only looks at current alcohol use patterns (finding a U-shaped relationship) and does not examine changes in alcohol consumption over time.,yes,"The study uses the Life Satisfaction Scale of Andrews and Withey (1976), which is a validated instrument for measuring well-being/life satisfaction.",no,"This is a cross-sectional survey study, not a randomized controlled trial, quasi-experimental study, or prospective cohort study.",no,"As a cross-sectional study, there is no follow-up period.",yes,"The study uses a general population sample, not specifically those with alcohol use disorder.",no,This is a cross-sectional survey study that looks at correlations between various factors and well-being. It does not study alcohol reduction as an intervention.,no,"The study is explicitly cross-sectional, not longitudinal, and measures well-being at a single time point.",Exclude,"This cross-sectional survey study of adult well-being fails to meet key screening criteria related to intervention design, longitudinal measurement, and alcohol reduction analysis. While the research uses a validated life satisfaction scale and represents a general population sample, it lacks the methodological elements required for studying alcohol consumption interventions and their temporal effects. The study's single-time-point measurement and correlational approach fundamentally diverge from the specified research requirements.",0.5
Long-term effect of brief intervention in at-risk alcohol drinkers: a 9-year follow-up study.,O. Nilssen,10.1093/ALCALC/AGH095,https://doi.org/10.1093/ALCALC/AGH095,Alcohol and Alcoholism,28,2004,maybe,"The abstract does not explicitly state the participant ages, but refers to ""men and women"" attending a general population screening study, suggesting the participants were likely adults. However, there is some uncertainty without explicit confirmation.",yes,"The study examines voluntary reduction in alcohol consumption with measurements at baseline (1986) and follow-up (1995), meeting this criterion.",no,"The study measures GGT (a biological marker) rather than well-being or life satisfaction, which does not meet the criterion for validated well-being instruments.",yes,"The study is a randomized controlled trial with three groups (two intervention, one control), meeting this criterion.",no,"The follow-up period is 9 years, which exceeds the maximum 6-month requirement, failing to meet this criterion.",yes,"The study includes ""at-risk alcohol drinkers"" from a general population screening, not exclusively those with diagnosed alcohol use disorder, meeting this criterion.",yes,"The study examines brief alcohol interventions in isolation, meeting this criterion.",yes,"The study is longitudinal with measurements over 9 years, meeting this criterion.",Exclude,"The study fails key screening criteria by measuring biological markers instead of well-being and using a 9-year follow-up period that exceeds the specified 6-month limit. While the research design includes a randomized controlled trial with general population participants, the outcome measurement and follow-up duration disqualify it from meeting the established screening requirements.",0.9
