Title,Authors,DOI,DOI link,Venue,Citation count,Year,Adult Population,"Reasoning for ""Adult Population""",Complete Cessation,"Reasoning for ""Complete Cessation""",Mental Health Outcomes,"Reasoning for ""Mental Health Outcomes""",Outcome Scope,"Reasoning for ""Outcome Scope""",Population Health Status,"Reasoning for ""Population Health Status""",Study Design,"Reasoning for ""Study Design""",Temporal Measurement,"Reasoning for ""Temporal Measurement""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Treating tobacco dependence in clinically depressed smokers: effect of smoking cessation on mental health functioning.,"J. Prochaska, S. Hall, J. Tsoh, S. Eisendrath, J. Rossi, Colleen A Redding, Amy B Rosen, Marc R Meisner, G. Humfleet, Julie A Gorecki",10.2105/AJPH.2006.101147,https://doi.org/10.2105/AJPH.2006.101147,American Journal of Public Health,119,2008,maybe,"The abstract mentions ""smokers"" but does not explicitly state the age of the participants. However, since it is a clinical depression study, it is likely that the participants are adults. There is some uncertainty without explicit age confirmation.",yes,"The study mentions ""successfully stopped smoking"" and compares it with ""continued smoking"", indicating that it measures complete smoking cessation.",maybe,"The study measures mental health functioning, but does not explicitly mention using validated measures. It focuses on depression symptoms.",yes,"The study includes mental health functioning measures and alcohol use, indicating that it covers mental well-being outcomes beyond just physical health.",no,"The study specifically focuses on ""actively depressed smokers"", which violates the criterion requiring the population to be free from severe mental illness or substance use disorders as primary conditions.",yes,"The study is explicitly mentioned as a ""randomized trial"" and includes follow-up time points, indicating a longitudinal study design.",maybe,"The study mentions ""4 follow-up time points"", but does not provide specific timeframes between smoking cessation and outcome measurement.",Exclude,"The study focuses on actively depressed smokers, which directly conflicts with the requirement for a population free from severe mental illness. While the research demonstrates a longitudinal design with mental health outcome measurements, the primary population characteristic disqualifies it from meeting the screening criteria. Multiple other criteria are partially or fully met, but the fundamental population mismatch prevents study inclusion.",0.5
Smoking Cessation and Quality of Life: Changes in Life Satisfaction Over 3 Years Following a Quit Attempt,"Megan E. Piper, S. Kenford, M. Fiore, T. Baker",10.1007/s12160-011-9329-2,https://doi.org/10.1007/s12160-011-9329-2,Annals of Behavioral Medicine,154,2012,no,"The abstract does not explicitly mention the age or smoking status of the participants, so there is major uncertainty about whether the study includes only adult participants who were current smokers at baseline.",no,"The abstract mentions ""quitting smoking"", but it does not specify if the study measures complete smoking cessation or just reduction or temporary abstinence, so there is major uncertainty about whether this criterion is met.",maybe,"The mention of ""subjective well-being"" could be related to mental well-being or life satisfaction, but the abstract does not specify if validated measures were used, so there is only a partial/uncertain match to this criterion.",maybe,"The abstract mentions ""subjective well-being"", which suggests the study may include mental well-being measures, but this is the only criterion that can be partially confirmed based on the limited information provided.",no,"The abstract does not provide any information about the participants' mental health or substance use status, so it cannot be determined if the study population is free from severe mental illness or substance use disorders as primary conditions.",no,"The abstract does not provide any information about the study design, so it cannot be determined if the study is longitudinal (RCT, prospective cohort study, systematic review, or meta-analysis).",no,"The abstract does not contain any information about the timeframes or measurement periods between smoking cessation and outcome measurement, so it cannot be assessed if the study reports specific temporal relationships.",Exclude,"The abstract lacks critical details about study design, participant characteristics, and specific measurement approaches, creating significant uncertainty across most screening criteria. While the mention of subjective well-being suggests potential relevance to mental health outcomes, insufficient information prevents confident confirmation of key requirements. Multiple screening criteria remain unverified due to the abstract's extreme brevity.",1.3
Trends in smoking among adults with mental illness and association between mental health treatment and smoking cessation.,"B. Cook, G. F. Wayne, E. Nilay Kafali, Zimin Liu, Chang Shu, M. Flores",10.1001/jama.2013.284985,https://doi.org/10.1001/jama.2013.284985,Journal of the American Medical Association (JAMA),469,2014,maybe,"The study includes adults, but it's not explicitly stated that all participants were current smokers at baseline. The study looks at smoking rates and cessation, but includes both smokers and non-smokers in the analysis.",yes,"The study does measure complete cessation (30-day abstinence), meeting this criterion.",no,"The study does not measure mental well-being, life satisfaction, or quality of life using validated measures. It only tracks smoking status and mental health treatment receipt.",no,The study focuses primarily on smoking rates and cessation. There is no mention of mental well-being measures beyond the presence/absence of mental illness.,no,"The study specifically focuses on individuals with mental illness, which is explicitly excluded by this criterion.",yes,"The study uses nationally representative surveys (MEPS and NSDUH) and appears to be a longitudinal analysis of trends from 2004-2011, which meets the criterion for longitudinal design.",maybe,"The study measures smoking cessation as ""a lifetime smoker who did not smoke in the last 30 days."" While this provides some temporal information, it's not clear if there are specific timeframes between cessation and outcome measurement.",Exclude,"The study focuses on smoking trends among individuals with mental illness, which directly conflicts with the requirement for a population free from severe mental illness. While the research design is longitudinal and measures complete smoking cessation, it lacks validated mental well-being outcome measures and does not meet critical screening criteria. Consequently, the study does not align with the specified systematic review requirements.",0.5
Change in mental health after smoking cessation: systematic review and meta-analysis,A. Jain,10.1136/SBMJ.G2255,https://doi.org/10.1136/SBMJ.G2255,British medical journal,2,2014,yes,"The study included only adult participants (aged 18 or older) who were current smokers at baseline, as evidenced by the abstract stating ""Longitudinal studies of adults"" and discussing current smokers.",yes,"The study compared ""quitters"" to ""continuing smokers,"" suggesting complete cessation rather than just reduction.",yes,"The study measured multiple validated mental health outcomes, including psychological quality of life and other mental well-being measures.",yes,"The study included mental well-being measures, such as anxiety, depression, psychological quality of life, positive affect, and stress.",maybe,"The study included both ""healthy and clinical populations,"" and the effects were similar for those with and without psychiatric disorders, creating some uncertainty about whether the population included those with severe mental illness as primary conditions.",yes,"The study design was longitudinal, as it was a systematic review and meta-analysis of longitudinal studies.",yes,"The study reported specific timeframes between smoking cessation and outcome measurement, with follow-up measurements ""between seven weeks and nine years after baseline"" and ""at least six weeks after cessation.""",Include,"A systematic review and meta-analysis of longitudinal studies examining mental health outcomes in adult smokers demonstrates comprehensive measurement of mental well-being across multiple validated psychological domains. The research compares quitters to continuing smokers, measuring outcomes over extended timeframes and including diverse population groups, with robust findings indicating significant improvements in mental health metrics. While most screening criteria are definitively met, slight uncertainty exists regarding the inclusion of participants with severe mental illness as primary conditions.",4.5
A comparison of smokers' and ex-smokers' health-related quality of life.,"Maria Tillmann, J. Silcock",10.1093/OXFORDJOURNALS.PUBMED.A024629,https://doi.org/10.1093/OXFORDJOURNALS.PUBMED.A024629,Journal of Public Health Medicine,154,1997,yes,"The study included only adult participants (aged 18 or older) who were current smokers at baseline, as explicitly stated in the abstract.",yes,"The study clearly focuses on complete cessation, comparing current smokers with ex-smokers who have maintained cessation for five years or more.",yes,The study uses validated measures (SF-36 and EuroQol) which include quality of life components.,yes,The study includes quality of life measures (SF-36 and EuroQol) which encompass mental well-being components.,maybe,"The abstract does not specify whether participants with severe mental illness or substance use disorders were excluded, which is a significant uncertainty.",maybe,"The study design appears to be a cross-sectional comparison study rather than a longitudinal design, which is a significant concern for inclusion.",yes,"The study specifically looks at ex-smokers ""of five years or greater standing,"" providing a clear temporal framework for the measurement of outcomes.",Exclude,"A cross-sectional study comparing current and long-term ex-smokers reveals improvements in respiratory symptoms and quality of life, using validated health measurement tools. While the research meets most screening criteria, the non-longitudinal design and unclear exclusion of participants with mental health conditions create potential methodological limitations. The study provides insights into smoking cessation outcomes but may not fully satisfy all predefined screening requirements.",2.1
The impact of smoking cessation on schizophrenia and major depression,"M. Ragg, Rebecca Gordon, Tanya Ahmed, J. Allan",10.1177/1039856213486213,https://doi.org/10.1177/1039856213486213,Australasian Psychiatry,38,2013,maybe,"The abstract does not explicitly state the age range of participants, so it is uncertain whether the study included only adult participants (aged 18 or older) who were current smokers at baseline.",maybe,"The abstract refers to ""quitting smoking"" and ""abstinence from smoking,"" suggesting complete cessation rather than just reduction, though it could be more explicit.",maybe,"While the study measures mental health outcomes, it is not clear if these were measured using validated instruments. The abstract mentions ""mental health status"" and ""depressive symptoms"" but does not specify the measurement tools.",yes,"The study clearly includes mental health outcomes, focusing on psychiatric symptoms and mood.",no,"The study specifically focuses on populations with schizophrenia and major depression, which are severe mental illnesses, directly contradicting the criterion requiring participants to be free from severe mental illness.",yes,"The study design is a systematic review of literature, which meets the criterion for acceptable study designs.",no,"The abstract does not specify the timeframes between smoking cessation and outcome measurement, which is a significant omission.",Exclude,"The systematic review focuses on populations with severe mental illnesses, which directly conflicts with the screening criteria requiring participants to be free from such conditions. While the study addresses mental health outcomes and appears to be a longitudinal design, critical methodological details are missing, including specific temporal measurements and validation of outcome measures. The fundamental population characteristic disqualifies the study from meeting the established screening requirements.",0.5
EPA Guidance on Tobacco Dependence and Strategies for Smoking Cessation in People with Mental Illness,"T. Rüther, J. Bobes, M. Hert, T. H. Svensson, K. Mann, A. Batra, P. Gorwood, H. Möller",10.1016/j.eurpsy.2013.11.002,https://doi.org/10.1016/j.eurpsy.2013.11.002,European psychiatry,125,2014,maybe,"The abstract mentions ""adults with mental illness"" but does not explicitly confirm that all participants are 18 or older. However, given the context of mental illness treatment, it is likely that the participants are adults.",maybe,"While the abstract discusses smoking cessation, it does not explicitly specify whether complete cessation (vs. reduction) is measured.",yes,"The study does include quality of life measures, meeting the criterion for measuring mental health outcomes.",yes,"The abstract mentions ""quality of life"" and ""well-being"" as outcomes, meeting the criterion for including mental well-being measures.",no,"The study specifically focuses on ""patients with mental illness,"" which directly contradicts the criterion requiring participants to be free from severe mental illness.",yes,"The abstract explicitly states that this is a systematic review, which meets the criterion for a longitudinal study design.",no,"The abstract does not specify the timeframes between smoking cessation and outcome measurement. While it mentions ""follow-up visits,"" the specific temporal measurements are not detailed.",Exclude,"The systematic review focuses on tobacco dependence in patients with mental illness, which fundamentally conflicts with the screening criteria requiring a population free from severe mental health conditions. While the study meets some criteria like including quality of life measures and being a systematic review, the primary population characteristic disqualifies it from meeting the core screening requirements.",0.5
Short-term preoperative smoking cessation and postoperative complications: a systematic review and meta-analysis,"J. Wong, David Lam, A. Abrishami, M. Chan, F. Chung",10.1007/s12630-011-9652-x,https://doi.org/10.1007/s12630-011-9652-x,Canadian Journal of Anesthesia/Journal canadien d'anesthésie,323,2012,yes,"The study includes only adult participants (aged 18 or older) who were current smokers at baseline, as the abstract specifically mentions ""adult surgical patients"" and focuses on adult smokers.",yes,The study measures complete smoking cessation (abstinence) rather than just reduction.,no,"No mental well-being, life satisfaction, or quality of life measures are mentioned. The study focuses entirely on physical health outcomes.",no,"The study focuses exclusively on physical health outcomes (respiratory, cardiovascular, wound-healing complications) with no mention of mental well-being measures.",maybe,"The abstract doesn't specify whether participants had severe mental illness or substance use disorders. However, as this is a surgical population study, it's likely that severe mental illness was not a primary condition.",yes,"The study design is longitudinal, as it is a systematic review and meta-analysis of cohort studies and RCTs, which fits the criteria.",yes,"The study clearly reports specific timeframes, analyzing outcomes at different intervals of smoking cessation (less than two weeks, two to four weeks, more than four weeks, more than eight weeks).",Exclude,"This systematic review of smoking cessation in surgical patients meets several screening criteria, including adult population, longitudinal design, and temporal measurement. However, the study critically fails to address mental health outcomes, focusing exclusively on physical health complications, which disqualifies it from meeting the comprehensive screening requirements. The absence of mental well-being measures represents a fundamental limitation in the study's scope.",0.5
Smoking and mental illness: A population-based prevalence study.,"K. Lasser, J. Boyd, S. Woolhandler, D. Himmelstein, D. McCormick, D. Bor",10.1001/JAMA.284.20.2606,https://doi.org/10.1001/JAMA.284.20.2606,Journal of the American Medical Association (JAMA),2570,2000,maybe,"The study includes participants aged 15-54 years, which means it includes some non-adults. However, the majority of the sample is likely adults, and the study focuses on adult smoking patterns.",maybe,"The study does measure complete cessation (quit rates), but it's self-reported rather than validated.",no,"The study does not measure mental well-being, life satisfaction, or quality of life. It only measures smoking status and quit rates.",no,The study focuses primarily on smoking rates and quit rates. There is no mention of mental well-being measures or outcomes.,no,"The study specifically focuses on populations with mental illness, which is explicitly excluded by this criterion. The study's main purpose is to compare smoking rates between those with and without mental illness.",no,"This appears to be a cross-sectional analysis of survey data, not a longitudinal study. The abstract doesn't mention any follow-up or temporal measurements of outcomes.",no,"While the study reports quit rates, it doesn't specify timeframes between cessation and outcome measurement. The measurements appear to be retrospective and cross-sectional.",Exclude,"The study fails to meet multiple critical screening criteria, including longitudinal design, mental health outcome measurements, and population health status requirements. Specifically, the research is a cross-sectional analysis focusing on smoking rates among populations with mental illness, which diverges significantly from the specified screening parameters. Consequently, the paper does not align with the established screening criteria for inclusion.",0.5
Quitting smoking is associated with long term improvements in mood,J. Prochaska,10.1136/bmj.g1562,https://doi.org/10.1136/bmj.g1562,British medical journal,9,2014,no,"The abstract does not specify the age range of the participants, so it is unclear if the study included only adult participants (aged 18 or older) who were current smokers at baseline.",no,The abstract does not indicate whether the study measured complete smoking cessation (not just reduction or temporary abstinence).,no,"While the abstract mentions mental health, it does not provide any information about the specific validated measures used to assess mental well-being, life satisfaction, or quality of life.",maybe,"The abstract mentions ""poor mental health"" but does not specify what outcomes were measured, so it is unclear if the study included mental well-being measures (not exclusively physical health outcomes).",no,"The abstract suggests the inclusion of people with ""poor mental health,"" which may conflict with the requirement for the study population to be free from severe mental illness or substance use disorders as primary conditions.",no,"The abstract does not provide any information about the study design, so it is unclear if the study was longitudinal (RCT, prospective cohort study, systematic review, or meta-analysis).",no,The abstract does not mention any specific timeframes between smoking cessation and outcome measurement.,Exclude,"The extremely brief abstract provides insufficient detail to confidently assess any of the specified screening criteria, with minimal information about study design, population characteristics, or outcome measurements. Critical details about participant age, study methodology, and specific mental health outcomes are completely absent, rendering a comprehensive screening evaluation impossible.",0.5
