Title,Authors,DOI,DOI link,Venue,Citation count,Year,Adult Population,"Reasoning for ""Adult Population""",Smoking Status,"Reasoning for ""Smoking Status""",Complete Cessation,"Reasoning for ""Complete Cessation""",Outcome Measures,"Reasoning for ""Outcome Measures""",Study Design,"Reasoning for ""Study Design""",Follow-up Duration,"Reasoning for ""Follow-up Duration""",Psychological Measures,"Reasoning for ""Psychological Measures""",General Population,"Reasoning for ""General Population""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Does Exercise Aid Smoking Cessation Through Reductions in Anxiety Sensitivity and Dysphoria?,"M. Zvolensky, D. Rosenfield, Lorra Garey, Brooke Y. Kauffman, Kirsten J. Langdon, Mark B. Powers, M. Otto, Michelle L Davis, B. Marcus, T. Church, Georita M Frierson, Lindsey B Hopkins, Daniel J. Paulus, Scarlett O. Baird, Jasper A. J. Smits",10.1037/hea0000588,https://doi.org/10.1037/hea0000588,Health Psychology,30,2018,maybe,"The abstract mentions ""adult daily smokers,"" which suggests the study participants were likely 18 years or older. However, the reasoning notes that this is not explicitly stated, so there is some uncertainty around this criterion.",yes,"The abstract specifically mentions ""daily smokers,"" meeting the criterion of participants being regular cigarette smokers (≥1 cigarette/day) prior to cessation.",yes,"The study focuses on smoking cessation and measures ""self-reported smoking status"" with biochemical verification, indicating that it examined complete cessation rather than just reduction.",maybe,"While the study measures anxiety sensitivity and dysphoria, it's unclear if these are validated scales. The abstract doesn't explicitly mention validated instruments for measuring life satisfaction or quality of life.",yes,"The abstract explicitly states that this was a ""randomized controlled trial,"" which meets the criterion for study design.",yes,"The study included follow-up at 6 months post-quit day, well exceeding the 3-month minimum requirement.",yes,"The study clearly includes psychological measures (anxiety sensitivity and dysphoria), meeting this criterion.",maybe,"The study appears to focus on a general population of smokers, but it specifically selected those with ""elevated AS"" (anxiety sensitivity), which creates some uncertainty about whether this is truly a general population study.",Exclude,"A randomized controlled trial of adult daily smokers examined smoking cessation with an exercise intervention, meeting most screening criteria including complete cessation, appropriate study design, and psychological measures. The study demonstrated strong methodological elements with a 6-month follow-up, though some uncertainty exists regarding the generalizability of the population and the validation of specific outcome measures.",3.8
Does smoking cessation result in improved mental health? A comparison of regression modelling and propensity score matching,"Gemma Taylor, A. Girling, A. McNeill, P. Aveyard",10.1136/bmjopen-2015-008774,https://doi.org/10.1136/bmjopen-2015-008774,BMJ Open,13,2015,yes,"The study explicitly stated that all participants were adult smokers, indicating that the adult population criterion was met.",maybe,"Participants ""had smoked for at least 3 years,"" indicating regular smoking status. However, the exact daily cigarette consumption is not specified.",yes,"The study examines confirmed abstinent participants at both 6 and 12 months, indicating that it looked at complete cigarette smoking cessation rather than just reduction or switching to alternatives.",yes,"The study uses the SF-36, which is a validated instrument for measuring quality of life and mental health.",yes,"The study is described as a ""secondary analysis of prospective data from 5 placebo-controlled randomised trials,"" which meets the criterion for acceptable study designs such as longitudinal studies, cohort studies, randomized controlled trials, or systematic reviews.",yes,"The study includes a 12-month follow-up, which exceeds the minimum 3-month requirement.",yes,"The study specifically focuses on mental health outcomes using the SF-36, which includes psychological measures.",maybe,"The study excluded pregnant women, those under psychiatric care, and those deemed unfit by a GP, which suggests a relatively general population but may affect generalizability.",Include,"A prospective study of adult smokers examining complete cessation with a 12-month follow-up, using validated psychological measures and a robust study design. The research meets most screening criteria, with minor uncertainties around precise smoking status and population generalizability. The study provides a comprehensive analysis of mental health changes following smoking cessation.",4.5
Association of smoking cessation with financial stress and material well-being: results from a prospective study of a population-based national survey.,"M. Siahpush, M. Spittal, Gopal K Singh",10.2105/AJPH.2006.103580,https://doi.org/10.2105/AJPH.2006.103580,American Journal of Public Health,65,2007,maybe,"The abstract does not explicitly state the age range of participants, but since it is a household survey (HILDA) in Australia, it likely includes adults, though this cannot be confirmed without more information.",maybe,"The abstract does not specify the baseline smoking frequency of participants, so it is unclear if they were regular smokers (≥1 cigarette/day).",maybe,"The study examines ""smoking cessation"" but does not explicitly specify if this means complete cessation versus reduction. However, the context suggests complete cessation is being studied.",maybe,"The study measures ""financial stress and material well-being,"" but does not specify if these were measured using validated scales, creating some uncertainty.",yes,"The study uses ""4 waves of prospective data"" from 2001-2005, making it a longitudinal study, which clearly meets the criterion.",yes,"The study spans 4 waves from 2001-2005 (4 years), which exceeds the minimum 3-month requirement.",maybe,"The study focuses on financial and material well-being measures, which are related to quality of life, but it is unclear if these are comprehensive psychological measures.",yes,"The study uses a household survey (HILDA), which is a general population study, meeting this criterion.",Exclude,"A longitudinal study using household survey data examined smoking cessation's impact on financial and material well-being, with clear evidence of a general population approach and sufficient follow-up duration. However, significant uncertainties exist regarding participant age, baseline smoking status, and the validation of outcome measures, which create potential limitations in meeting all screening criteria.",3
Smoking cessation and pregnancy,R. West,10.1017/S0965539502000335,https://doi.org/10.1017/S0965539502000335,-,24,2002,maybe,"The abstract does not explicitly state the age range of participants, so it is unclear whether all study participants were 18 years or older.",maybe,The abstract does not specify the baseline smoking frequency of participants (≥1 cigarette/day).,maybe,"The abstract mentions ""stopping smoking"" but does not specify whether it is complete cessation or reduction, so this is unclear from the information provided.",no,"The abstract does not mention any validated scales or instruments for measuring life satisfaction, quality of life, or wellbeing. It appears to focus on health outcomes.",maybe,"The abstract indicates that this appears to be a review paper, but it is not explicitly stated whether it is a systematic review. The methodology is not described in the abstract.",no,The abstract does not mention any specific follow-up duration.,no,No psychological or quality of life measures are mentioned in the abstract.,no,"The study focuses specifically on pregnancy, which is a specific medical condition/unique population, and therefore fails this criterion.",Exclude,"The abstract focuses exclusively on pregnancy-related smoking, which immediately disqualifies it from meeting the general population screening criterion. Multiple other screening requirements remain unaddressed, including specific details about study design, participant characteristics, and outcome measures. The lack of clarity on key methodological elements and the narrow population focus suggest this paper would not meet the comprehensive screening criteria.",0.5
Killing by lung cancer or by diabetes? The trade-off between smoking and obesity,"Federico Todeschini, J. Labeaga, S. Jiménez-Mart́ın",-,-,-,16,2010,maybe,"The abstract does not explicitly state the age range of participants, so it is unclear if all study participants were 18 years or older. While the study used a general population survey (BRFSS) which typically includes adults, Elicit could not be certain that all participants met the age requirement.",maybe,"The study examined smokers, but did not specify the frequency of smoking (≥1 cigarette/day) prior to cessation.",yes,"The study examined ""smokers quitting the habit"" and measured the impact of ""giving up the habit of smoking,"" suggesting it looked at complete cessation rather than just reduction.",no,"The study focused on weight changes and obesity, not life satisfaction, quality of life, or wellbeing measures. No validated scales for these outcomes were mentioned.",maybe,"The study used cross-sectional surveys and constructed a synthetic panel, which is a longitudinal approach but not a traditional longitudinal study, cohort study, randomized controlled trial, or systematic review as specified in the criteria.",yes,"The study mentioned effects ""after two years,"" meeting the minimum 3-month follow-up requirement.",no,The study appeared to focus solely on physical health outcomes (weight and obesity) without including psychological or quality of life measures.,yes,"The study used the Behavioral Risk Factors Surveillance System, which is a representative cross-sectional survey of the general population.",Exclude,"The study fails to meet several key screening criteria, particularly the requirement for psychological or quality of life measures, as it focuses exclusively on physical health outcomes related to weight changes. While the research uses a general population sample and examines smoking cessation, it lacks validated scales for life satisfaction or wellbeing, and does not clearly demonstrate a traditional longitudinal study design. The absence of psychological measures and uncertainty about participant age range further disqualify the study from meeting the specified screening requirements.",0.5
Long-term effects of work cessation on respiratory health of textile workers: a 25-year follow-up study.,"Jing Shi, J. Hang, A. Mehta, Hong-xi Zhang, He-lian Dai, L. Su, E. Eisen, D. Christiani",10.1164/rccm.200903-0329OC,https://doi.org/10.1164/rccm.200903-0329OC,American Journal of Respiratory and Critical Care Medicine,21,2010,maybe,"The abstract does not explicitly state the age of the participants, but given that this is a workplace study of textile workers, it is very likely that they were adults. However, this is an assumption.",maybe,"While the study includes smokers, it doesn't specify the frequency of smoking (≥1 cigarette/day) and smoking status is only used as a covariate rather than the primary focus.",no,"The study does not focus on smoking cessation. While smoking status is mentioned as a variable, the primary focus is on cessation of textile work exposure.",no,"The study measures lung function (FEV1) and respiratory symptoms, but does not mention any validated scales for life satisfaction, quality of life, or wellbeing.",yes,"The paper clearly meets this criterion as it is described as a ""prospective cohort study"" with 25-year follow-up.",yes,The study clearly meets this criterion with a 25-year follow-up period.,no,The abstract doesn't mention any psychological or quality of life measures. The focus is entirely on physical health outcomes (lung function and respiratory symptoms).,no,"The study population is specific to textile workers (cotton and silk workers), which doesn't meet the criterion for a general population study.",Exclude,"The study focuses on textile workers and workplace exposure cessation, which fundamentally differs from the required screening criteria for smoking cessation research. Critical misalignments include the specific occupational population, lack of psychological measures, and absence of a primary focus on complete smoking cessation. Multiple screening criteria were not met, rendering the study unsuitable for the intended research parameters.",0.5
Epidemiology of gastro-oesophageal reflux A prospective population-based cohort study: The HUNT study,E. Ness-Jensen,-,-,-,1,2014,yes,"The study included residents from 20 years of age, meeting the 18+ requirement. This was clearly stated in the methods section.",yes,"The study includes ""daily tobacco smoking"" participants, meeting the requirement for regular smokers.",yes,"The study examines cessation of ""daily tobacco smoking"", focusing on complete cessation rather than reduction.",maybe,"The abstract does not mention the use of validated scales for life satisfaction or quality of life. The focus is on GERS symptoms rather than psychological measures, which is a major uncertainty.",yes,"The study was described as a ""prospective population-based cohort study"", which meets the criteria for acceptable study designs.",yes,"The study was conducted from 1995-1997 to 2006-2009, with a follow-up period exceeding the 3-month requirement.",no,"There is no mention of psychological or quality of life measures. The study focuses exclusively on physical health outcomes (GERS), which is a clear failure of this criterion.",yes,"The study was a population-based study of all county residents, not focused on specific medical conditions (though it examines GERS).",Exclude,"A population-based cohort study examining tobacco smoking cessation among adults meets most screening criteria, including appropriate study design, adult population, and complete cessation focus. However, the study critically fails to include psychological or quality of life measures, which are essential for the review's objectives, rendering it unlikely for inclusion despite meeting other methodological requirements.",0.9
British Medical Journal,"P. Norman, J. Semmens, M. Lawrence-Brown, C. Holman",10.1136/bmj.1.860.779-a,https://doi.org/10.1136/bmj.1.860.779-a,-,0,1877,maybe,"The study includes participants ""under 75 years of age"" and discusses middle-aged adults, so it likely meets the criterion of including only adult participants (18+). However, it's not explicitly stated that all participants were 18 or older.",yes,"The study includes regular cigarette smokers, as it discusses ""persistent cigarette smokers"" and smoking prevalence.",yes,"The study does examine complete smoking cessation, as evidenced by the discussion of ""former smokers"" and their reduced lung cancer risk.",no,"The study focuses primarily on lung cancer mortality and does not mention using validated scales for life satisfaction, quality of life, or wellbeing.",maybe,"This is a case-control study with two large cohorts (1950 and 1990). While this is a valid epidemiological design, it doesn't strictly fit the required study designs (longitudinal, cohort, RCT, or systematic review).",yes,"The study examines long-term effects of smoking cessation, with follow-up to age 75 and discussion of effects ""well into middle age.""",no,The abstract does not mention any psychological or quality of life measures. The focus is entirely on physical health outcomes (lung cancer).,yes,"The study uses hospital patients and matched population controls, which represents a general population rather than a specific medical condition group.",Exclude,"The study partially meets screening criteria related to adult population, smoking status, and follow-up duration, but fails to meet requirements for study design, outcome measures, and psychological assessments. Specifically, the research focuses on lung cancer mortality in a case-control design without validated quality of life scales or psychological measures, which limits its alignment with the systematic review's screening criteria.",0.9
A Cross-Sectional Study of Happiness and Smoking Cessation among Parents.,"J. Drehmer, B. Hipple, D. Ossip, Emara Nabi-Burza, J. Winickoff",10.1017/jsc.2015.6,https://doi.org/10.1017/jsc.2015.6,Journal of Smoking Cessation,6,2017,yes,"The study focuses on parents, who are by definition adults, so it clearly meets the criterion of including only adult participants.",maybe,"While the study includes smokers, the abstract does not explicitly state the frequency of smoking (≥1 cigarette/day), so there is some uncertainty around whether this criterion is met.",yes,"The study examines quitting smoking, not just reduction, and references ""quitting smoking"" and ""quitters"" throughout, indicating that it meets the criterion of examining complete cigarette smoking cessation.",maybe,"The study measures ""happiness"" but does not specify if validated scales were used, so there is uncertainty around whether this criterion is met.",yes,"The study is a longitudinal study with a 12-month follow-up period, which meets the criterion for acceptable study designs.",yes,"The study has a 12-month follow-up period, which clearly exceeds the 3-month minimum requirement for the follow-up duration criterion.",yes,"The study focuses on happiness as a psychological outcome and includes psychological factors like beliefs about smoking's impact on parenting, so it meets the criterion of including psychological or quality of life measures beyond just physical health outcomes.",yes,"The study focuses on parents from a U.S. national trial, which represents a general population subset rather than a medical condition-specific group, so it meets the criterion of being conducted in a general population.",Exclude,"A longitudinal study of parents examining smoking cessation demonstrates strong alignment with most screening criteria, including adult population, complete cessation, and psychological measures. While some uncertainties exist regarding smoking frequency and validated outcome measures, the study's comprehensive approach and 12-month follow-up period suggest potential inclusion. The research provides insights into happiness and smoking cessation among parents, with robust methodological characteristics.",4.1
Smoking Cessation and Preterm Birth in Second Pregnancy Among Women who Smoked in Their First.,"G. Pereira, J. Dunne, A. Regan, G. Tessema",10.1093/ntr/ntab135,https://doi.org/10.1093/ntr/ntab135,Nicotine & Tobacco Research,5,2021,maybe,"The study focuses on mothers, implying adult participants. However, the exact age range is not explicitly stated. Given the context of pregnancy, it can be reasonably assumed that all participants were adults, but there is some uncertainty.",maybe,"The study includes women who smoked during their first pregnancy, but the exact frequency (≥1 cigarette/day) is not specified. However, given the context of pregnancy and health outcomes, these were likely regular smokers.",yes,"The study examines complete smoking cessation, as evidenced by tracking women who ""did not smoke in the second pregnancy"" after smoking in their first pregnancy.",no,"The study focuses on preterm birth as the primary outcome measure. There is no mention of validated scales for life satisfaction, quality of life, or wellbeing.",yes,"The abstract explicitly states this is a ""longitudinal study,"" which meets this criterion.",yes,"The study follows women from their first pregnancy to their second pregnancy, which typically spans several years. This meets the 3-month minimum requirement.",no,The abstract does not mention any psychological or quality of life measures. The focus is entirely on physical health outcomes (preterm birth).,no,"The study focuses exclusively on pregnant women, which is a specific population subset. This fails to meet the criterion for general population studies.",Exclude,"The study focuses exclusively on pregnant women, which limits its generalizability, and lacks psychological or quality of life measures beyond physical health outcomes. While the research demonstrates a longitudinal design examining smoking cessation, it fails to meet several key screening criteria related to population diversity and comprehensive outcome assessment. The narrow focus on preterm birth and maternal health outcomes prevents the study from fully satisfying the broader screening requirements.",0.5
