Title,Authors,DOI,DOI link,Venue,Citation count,Year
Domestic work division and satisfaction in cohabiting adults: Associations with life satisfaction and self-rated health,"P. Wagman, M. Nordin, L. Alfredsson, P. Westerholm, E. Fransson",10.1080/11038128.2016.1217926,https://doi.org/10.1080/11038128.2016.1217926,Scandinavian Journal of Occupational Therapy,8,2017
Longitudinal associations between quality of diet and disability over 7.5 years in an international sample of people with multiple sclerosis,"S. Simpson-Yap, S. Neate, N. Nag, Yasmine C Probst, Maggie Yu, George A Jelinek, J. Reece",10.1111/ene.15980,https://doi.org/10.1111/ene.15980,European Journal of Neurology,10,2023
Dietary Choices as Prevention Measure: Assessment of Societal Effects Related to Life Expectancy in Germany,Maike Schmitt,10.21272/hem.2023.1-03,https://doi.org/10.21272/hem.2023.1-03,Health Economics and Management Review,2,2023
The Mediterranean Diet is Associated with an Improved Quality of Life in Adults with Type 1 Diabetes,"Minerva Granado-Casas, Mariona Martín, M. Martinez-Alonso, N. Alcubierre, M. Hernández, N. Alonso, E. Castelblanco, D. Mauricio",10.3390/nu12010131,https://doi.org/10.3390/nu12010131,Nutrients,16,2020
[Eating habits and subjective well-being among university students in southern Chile].,"B. Schnettler, M. Denegri, Horacio Miranda, José Sepúlveda, L. Orellana, Galo Paiva, K. Grunert",10.3305/nutr hosp.v28in06.6751,https://doi.org/10.3305/nutr hosp.v28in06.6751,Nutrición Hospitalaria,15,2013
Self reported wellbeing: the role of neuroscience research,N. Skandali,10.1136/bmj.i4969,https://doi.org/10.1136/bmj.i4969,British medical journal,0,2016
"Middle School Students’ Weight Perceptions, Dieting Behaviors, and Life Satisfaction","Laura Esch, K. Zullig",10.1080/19325037.2008.10599061,https://doi.org/10.1080/19325037.2008.10599061,-,19,2008
Well-being during the transition to adulthood : analyses of family life and eating healthily in Great Britain,W. Wills,10.17037/PUBS.00682310,https://doi.org/10.17037/PUBS.00682310,-,2,2003
The Contribution of Food Consumption to Well-Being,M. Holder,10.1159/000499147,https://doi.org/10.1159/000499147,Annals of Nutrition and Metabolism,53,2019
Eating for Science,An-Sofie Willems,10.33612/diss.198349809,https://doi.org/10.33612/diss.198349809,-,0,-
Lifestyle-Related Factors for Improving Diet Quality,"Derek Fischer, Ouyang Ping",10.3390/nu17030448,https://doi.org/10.3390/nu17030448,Nutrients,0,2025
The effect of fruit and vegetable consumption on psychological wellbeing in young adults,"Kate L Brookie, Louise A. Mainvil, A. Carr, M. Vissers, Tamlin S. Conner",-,-,-,0,2016
"ASSOCIATION OF PHYSICAL SELF-CONCEPT WITH PHYSICAL ACTIVITY, LIFE SATISFACTION AND MEDITERRANEAN DIET IN ADOLESCENTS","Alberto Grao-Cruces, A. Nuviala, Antonio Fernández-Martínez, J. Pérez-Turpin",-,-,-,30,2014
Is organic food consumption associated with life satisfaction? A cross-sectional analysis from the NutriNet-Santé study,"L. Seconda, S. Péneau, Marc Bénard, B. Allès, S. Hercberg, P. Galan, D. Lairon, J. Baudry, E. Kesse‐Guyot",10.1016/j.pmedr.2017.10.014,https://doi.org/10.1016/j.pmedr.2017.10.014,Preventive medicine reports,14,2017
Dietary improvement in people with schizophrenia: randomised controlled trial.,"R. McCreadie, C. Kelly, M. Connolly, Sue Williams, G. Baxter, M. Lean, J. Paterson",10.1192/BJP.187.4.346,https://doi.org/10.1192/BJP.187.4.346,The British journal of psychiatry : the journal of mental science,82,2005
P0823 Access to an integrated Inflammatory Bowel Disease diet clinic improves patient-reported outcomes and dietary self-confidence in a tertiary service previously without dietetic services,"A. Day, M. Chu, T. Scinto, S. Han, I. Vinci, M. Hatzi, R. Bryant",10.1093/ecco-jcc/jjae190.0997,https://doi.org/10.1093/ecco-jcc/jjae190.0997,Journal of Crohn's & Colitis,0,2025
Improving diet quality over nine-years is associated with less weight gain in mid-age Australian women: A cohort study.,"Haya Aljadani, Amanda J. Patterson, D. Sibbritt, R. Taylor, C. Collins",10.1016/j.numecd.2019.10.003,https://doi.org/10.1016/j.numecd.2019.10.003,NMCD. Nutrition Metabolism and Cardiovascular Diseases,4,2019
Effectiveness of plant-based diets in promoting well-being in the management of type 2 diabetes: a systematic review,"Anastasios Toumpanakis, T. Turnbull, Isaura Alba-Barba",10.1136/bmjdrc-2018-000534,https://doi.org/10.1136/bmjdrc-2018-000534,BMJ Open Diabetes Research & Care,129,2018
"Association of sociodemographic, obstetric characteristics, lifestyle and food consumption with life satisfaction and optimism among overweight pregnant women","Ana Vitória Lanzoni Chaves, N. P. Carreira, Maria Carolina Lima, D. Sartorelli, L. C. Crivellenti",10.1017/S0007114524001764,https://doi.org/10.1017/S0007114524001764,British Journal of Nutrition,0,2024
The effect of antenatal dietary and lifestyle advice for women who are overweight or obese on emotional well‐being: the LIMIT randomized trial,"J. Dodd, Angela Newman, L. Moran, Andrea R. Deussen, R. Grivell, L. Yelland, C. Crowther, A. McPhee, G. Wittert, J. Owens, D. Turnbull, J. Robinson",10.1111/aogs.12832,https://doi.org/10.1111/aogs.12832,Acta Obstetricia et Gynecologica Scandinavica,43,2016
Comparing the influence of satisfaction with food-life and self-perceived health and weight status on perceived and measured healthy eating behaviours: evidence from a national cross-sectional study,"D. Hazley, M. Stack, B. McNulty, J. Walton, J. Kearney",10.1017/S0029665122002154,https://doi.org/10.1017/S0029665122002154,Proceedings of the Nutrition Society,0,2022
Inequalities in Life Expectancy and All-Cause Mortality in the United States by Levels of Happiness and Life Satisfaction: A Longitudinal Study,"Hyunjung Lee, Gopal K Singh",10.21106/ijma.392,https://doi.org/10.21106/ijma.392,International Journal of MCH and AIDS,15,2020
DIET AND OTHER HEALTH-RELATED BEHAVIOURS: ASSOCIATIONS WITH THE WELL-BEING OF SECONDARY SCHOOL STUDENTS,"Andrew P. Smith, Arwel James",-,-,-,3,-
Diet Quality and Resilience through Adulthood: A Cross-Sectional Analysis of the WELL for Life Study,"Sparkle Springfield-Trice, Cara Joyce, Yi-Hsuan Wu, Ann W. Hsing, Kristen Cunanan, Christopher D. Gardner",10.3390/nu16111724,https://doi.org/10.3390/nu16111724,Nutrients,0,2024
Ketogenic diet has a positive association with mental and emotional well-being in the general population.,"Sarah Garner, Evan Davies, Emma Barkus, A. Kraeuter",10.1016/j.nut.2024.112420,https://doi.org/10.1016/j.nut.2024.112420,"Nutrition (Burbank, Los Angeles County, Calif.)",14,2024
The Eatwell Guide: Modelling the Health Implications of Incorporating New Sugar and Fibre Guidelines,"L. Cobiac, P. Scarborough, A. Kaur, M. Rayner",10.1371/journal.pone.0167859,https://doi.org/10.1371/journal.pone.0167859,PLoS ONE,44,2016
Improved dietary quality in women with previous gestational diabetes: secondary analysis of a randomised trial,"S. O’Reilly, V. Versace, C. Yelverton, E. Januś, J. Dunbar",10.1017/S0029665118000575,https://doi.org/10.1017/S0029665118000575,Proceedings of the Nutrition Society,0,2018
Medical Research Council Hot Topic workshop report: Planning a UK Nutrition and Healthy Life Expectancy Trial,"J. Carter, J. Mathers, S. Fairweather-Tait, S. Jebb, N. Sattar, A. Jennings, A. Minihane",10.1111/nbu.12516,https://doi.org/10.1111/nbu.12516,Nutrition Bulletin,3,2021
The relationship between dietary intake and the six dimensions of wellness in older adults,"Angela G Dalton, J. Logomarsino",10.5502/IJW.4I2.4,https://doi.org/10.5502/IJW.4I2.4,-,7,2014
Does diet quality or nutrient quantity contribute more to health?,"J. B. Echouffo-Tcheugui, R. Ahima",10.1172/JCI131449,https://doi.org/10.1172/JCI131449,Journal of Clinical Investigation,21,2019
Consumption of Dietary Guidelines for Americans Types and Amounts of Vegetables Increases Subjective Happiness: A Randomized Controlled Trial,"A. D. Leon, L. Jahns, J. Roemmich, S. Casperson",10.1093/CDN/NZAB056_004,https://doi.org/10.1093/CDN/NZAB056_004,-,0,2021
Do implant-supported dentures facilitate efficacy of eating more healthily?,"P. Moynihan, A. Elfeky, J. Ellis, C. Seal, R. Hyland, J. M. Thomason",10.1016/j.jdent.2012.07.001,https://doi.org/10.1016/j.jdent.2012.07.001,E -journal of dentistry,38,2012
Does an inflammatory diet affect mental well-being in late childhood and mid-life? A cross-sectional study,"Kate Lycett, Disna J. Wijayawickrama, Mengjiao Liu, A. Grobler, D. Burgner, L. Baur, Richard S Liu, Katherine Lange, M. Wake, Jessica A. Kerr",10.1017/S0007114521001616,https://doi.org/10.1017/S0007114521001616,British Journal of Nutrition,1,2021
The Cross-Sectional Association between Diet Quality and Depressive Symptomology amongst Fijian Adolescents,"Rachael Sinclair, L. Millar, S. Allender, W. Snowdon, G. Waqa, F. Jacka, M. Moodie, S. Petersen, B. Swinburn",10.1371/journal.pone.0161709,https://doi.org/10.1371/journal.pone.0161709,PLoS ONE,35,2016
Diet and healthy ageing,S. Stanner,10.12968/NREC.2007.9.6.23560,https://doi.org/10.12968/NREC.2007.9.6.23560,-,0,2007
"[Eating behavior and relationships with stress, anxiety, depression and insomnia in university students.]","Enrique Ramón-Arbués, Blanca Martínez Abadía, José Manuel Granada López, Emmanuel Echániz Serrano, Begoña Pellicer García, Rául Juárez Vela, Sandra Guerrero Portillo, Minerva Saéz Guinoa",10.20960/nh.02641,https://doi.org/10.20960/nh.02641,Nutrición Hospitalaria,86,2019
Low-fat dietary pattern intervention and health-related quality of life: The WHI randomized controlled Dietary Modification trial,"A. Assaf, E. F.I.S.P., S. Beresford, P. Risica, R. Brunner, D. Bowen, M. Naughton",-,-,-,2,2016
Regulation of Dietary Habits: The effect of losing weight on quality of life,"I. Bashan, Mustafa Bakman, Yucel Uysal, E. Mert",10.12669/pjms.345.15667,https://doi.org/10.12669/pjms.345.15667,Pakistan Journal of Medical Sciences,3,2018
Are all domains of life satisfaction equal? Differential associations with health and well-being in older adults,"J. Nakamura, Scott W. Delaney, E. Diener, T. VanderWeele, Eric S. Kim",10.1007/s11136-021-02977-0,https://doi.org/10.1007/s11136-021-02977-0,Quality of Life Research,37,2021
Effectiveness of improving nutrition on depressive symptoms and work ability: Study protocol for the mind nutrition randomized controlled trial.,"Aino Kipfer, Minna Kahala, Henna Kyhä, Cimmo Nurmi, Juha Puustinen, Jyrki Korkeila, Anu Ruusunen, S. Kunvik",10.1177/02601060251332358,https://doi.org/10.1177/02601060251332358,Nutrition and Health,0,2025
Association of a Mediterranean Diet and Fruit and Vegetable Consumption with Subjective Well-Being among Adults with Overweight and Obesity,"D. Godoy-Izquierdo, Adelaida Ogallar, Raquel Lara, Alejandra Rodríguez-Tadeo, F. Arbinaga",10.3390/nu13041342,https://doi.org/10.3390/nu13041342,Nutrients,15,2021
A “crescendo” model: designing food experiences for psychological well-being,"L. Zarantonello, S. Grappi, Marcello Formisano, Bernd H. Schmitt",10.1108/ejm-03-2020-0195,https://doi.org/10.1108/ejm-03-2020-0195,European Journal of Marketing,10,2021
Well-Being and the Lifestyle Habits of the Spanish Population: The Association between Subjective Well-Being and Eating Habits,"Laura Cabiedes-Miragaya, C. Díaz-Méndez, Isabel García-Espejo",10.3390/ijerph18041553,https://doi.org/10.3390/ijerph18041553,International Journal of Environmental Research and Public Health,22,2021
“I feel good and I am not overweight” – A qualitative study of considerations underlying lay people's self-assessments of unhealthy diets,"M. R. Sørensen, L. Holm",10.1016/j.appet.2016.07.032,https://doi.org/10.1016/j.appet.2016.07.032,Appetite,13,2016
Improving “quality of life” through exercise and proper nutrition,"Bellomo Rosa Grazia, Saggini Raoul, Barbato Claudia",10.29328/journal.jsmt.1001057,https://doi.org/10.29328/journal.jsmt.1001057,Journal of Sports Medicine and Therapy,1,2022
"The relationship between restrained eating, pleasure associated with eating, and well-being re-visited.","A. K. Remick, P. Pliner, Kate C. McLean",10.1016/j.eatbeh.2008.11.001,https://doi.org/10.1016/j.eatbeh.2008.11.001,Eating Behaviors,29,2009
"Associations between adult perception of body weight, diet, preparing meals and dietary patterns","M. Jeżewska-Zychowicz, D. Guzek",-,-,Roczniki Panstwowego Zakladu Higieny,2,2017
"The link between food , psychosocial factors and suffering",Drd. Dr. Irina Mihaela Matran,10.37897/rmj.2018.1.4,https://doi.org/10.37897/rmj.2018.1.4,-,0,2018
Association of Diet Quality With Longevity and Successful Aging in Israeli Adults 65 Years or Older,"A. Goshen, U. Goldbourt, Y. Benyamini, T. Shimony, L. Keinan-Boker, Y. Gerber",10.1001/jamanetworkopen.2022.14916,https://doi.org/10.1001/jamanetworkopen.2022.14916,JAMA Network Open,21,2022
Nutrition for a Better Life,P. Brabeck-Letmathe,-,-,-,0,2016
"The effectiveness of personalised food choice advice tailored to an individual's socio-demographic, cognitive characteristics, and sensory preferences","R. A. Briazu, L. Bell, G. F. Dodd, S. Blackburn, C. Massri, B. Chang, S. Fischaber, A. Kehlbacher, C. M. Williams, L. Methven, R. McCloy, Prof. M.M. Hetherington",10.1016/j.appet.2024.107600,https://doi.org/10.1016/j.appet.2024.107600,Appetite,8,2024
Optimistic self-assessments of unhealthy diets are associated with positive indicators of health and health behaviours in Danish adults.,"M. R. Sørensen, J. Matthiessen, L. Holm, V. Knudsen, E. Andersen, I. Tetens",-,-,-,0,2016
Is the British diet improving?,D. Buss,10.1079/PNS19880047,https://doi.org/10.1079/PNS19880047,Proceedings of the Nutrition Society,11,1988
"Psychological benefits of a high-protein, low-carbohydrate diet in obese women with polycystic ovary syndrome—A pilot study","C. Galletly, L. Moran, M. Noakes, P. Clifton, L. Tomlinson, R. Norman",10.1016/j.appet.2007.03.222,https://doi.org/10.1016/j.appet.2007.03.222,Appetite,88,2007
The association between dietary patterns and quality of life: a cross-sectional study among a large sample of industrial employees,"Saeede Jafari Nasab, S. G. Hamedani, H. Roohafza, A. Feizi, C. Clark, N. Sarrafzadegan",10.1186/s12889-023-16898-9,https://doi.org/10.1186/s12889-023-16898-9,BMC Public Health,2,2023
Care needed when studying healthy eating habits.,-,10.7748/ns.23.9.16.s17,https://doi.org/10.7748/ns.23.9.16.s17,Nursing Standard,0,2008
Influence of Self-Efficacy and Motivation to Follow a Healthy Diet on Life Satisfaction of Patients with Cardiovascular Disease: A Longitudinal Study,"Rosario Castillo-Mayén, Cristina Cano-Espejo, Bárbara Luque, E. Cuadrado, Tamara Gutiérrez-Domingo, Alicia Arenas, Sebastián J Rubio, J. Delgado-Lista, P. Pérez-Martínez, C. Tabernero",10.3390/nu12071903,https://doi.org/10.3390/nu12071903,Nutrients,16,2020
The Effects of the UK Pregnancies Better Eating and Activity Trial Intervention on Dietary Patterns in Obese Pregnant Women Participating in a Pilot Randomized Controlled Trial Supplementary Issue: Parental Nutritional Metabolism and Health and Disease of Offspring,A. Act,-,-,-,0,2015
Health and sustainability co-benefits of eating behaviors: Towards a science of dietary eco-wellness,B. Barrett,10.1016/j.pmedr.2022.101878,https://doi.org/10.1016/j.pmedr.2022.101878,Preventive medicine reports,11,2022
Associations of Eating Habits with Self-Rated Health and Life Satisfaction in Adolescents: A 42-Country Cross-Sectional Study,"Sitong Chen, J. F. López-Gil, A. Memon, Ran Bao, Xingyi Yang",10.3390/ejihpe14060099,https://doi.org/10.3390/ejihpe14060099,"European Journal of Investigation in Health, Psychology and Education",1,2024
Healthy Eating Index and mortality in a nationally representative elderly cohort.,"A. Rathod, A. Bharadwaj, A. Badheka, M. Kizilbash, L. Afonso",10.1001/archinternmed.2011.1031,https://doi.org/10.1001/archinternmed.2011.1031,Archives of Internal Medicine,32,2012
"The effects of consuming a medium-high protein diet on weight loss, body composition and satiety","R. Hutson, J. Naufahu",-,-,-,0,2013
"Changes over time in mental well-being, fruit and vegetable consumption and physical activity in a community-based lifestyle intervention: a before and after study.","Rebecca E. Johnson, Wendy Robertson, Marsha Towey, Sarah Stewart-Brown, Aileen Clarke",10.1016/j.puhe.2017.01.012,https://doi.org/10.1016/j.puhe.2017.01.012,Public Health,27,2017
"Association Between Nutrition, Diet Quality, Dietary Patterns, and Human Health and Diseases","Jean L. Fry, Kayla R. Anderson",10.3390/nu17010003,https://doi.org/10.3390/nu17010003,Nutrients,0,2024
Shared Relationship Efficacy of Dyad Can Increase Life Satisfaction in Close Relationships: Multilevel Study,"Ryosuke Asano, Kenichi Ito, Toshikazu Yoshida",10.1371/journal.pone.0159822,https://doi.org/10.1371/journal.pone.0159822,PLoS ONE,5,2016
[Relationship between life satisfaction and lifestyle in residents of Kyoto].,"Motoko Nakatani, A. Higashi, J. Ikeda, A. Nakazawa, Keiko Tanaka, H. Irie, A. Matsumura, Shigeru Suginos, K. Ozasa, Yoshiyuki Watanabe",-,-,Nihon Koshu Eisei Zasshi (Japanese Journal of Public Health),1,2005
"Changes and associations in healthy diet among the Finnish elderly, 1985-2001.","Tommi T Sulander, S. Helakorpi, O. Rahkonen, A. Nissinen, A. Uutela",10.1093/AGEING/32.4.394,https://doi.org/10.1093/AGEING/32.4.394,Age and Ageing,17,2003
AN INVESTIGATION OF DIET APPS FOR ENHANCING PEOPLE'S HEALTH AND WELLBEING.,"Nur Nagihan Tuna, Bahar Ş ener",-,-,-,1,2015
"Dietary intake in health and disease, challenges in measuring and reporting diet-disease relationships.","Rebecca L. Haslam, R. Taylor, Megan C. Whatnall, C. Collins",10.1111/1747-0080.12595,https://doi.org/10.1111/1747-0080.12595,Nutrition & Dietetics,0,2019
Adhere to the Chinese dietary guidelines associated with better subjective well-being: evidence from a cross-sectional survey and a daily diary investigation,"Jiaci Lin, Fuhua Yang, Miaosen Lan, Yichen Ding, Keli Yin",10.1186/s12889-024-17880-9,https://doi.org/10.1186/s12889-024-17880-9,BMC Public Health,2,2024
Positive Self-perceptions of Aging Promote Healthy Eating Behavior Across the Life Span via Social-Cognitive Processes.,"V. Klusmann, Gudrun Sproesser, J. K. Wolff, B. Renner",10.1093/geronb/gbx139,https://doi.org/10.1093/geronb/gbx139,"The journals of gerontology. Series B, Psychological sciences and social sciences",60,2019
Conversations With the Editors: Learning and Teaching the Concepts of Food as Medicine and Culinary Medicine.,"M. Ring, R. Jhaveri",10.1016/j.clinthera.2022.01.002,https://doi.org/10.1016/j.clinthera.2022.01.002,Clinical Therapeutics,4,2022
Diet quality and depressive symptoms. Assessing the direction of the association in a population-based cohort study.,"S. Oftedal, N. Glozier, E. Holliday, M. Duncan",10.1016/j.jad.2020.05.046,https://doi.org/10.1016/j.jad.2020.05.046,Journal of Affective Disorders,8,2020
The Association Between Personality Traits and Dietary Choices: A Systematic Review.,"C. M. Esposito, A. Ceresa, M. Buoli",10.1093/advances/nmaa166,https://doi.org/10.1093/advances/nmaa166,Advances in Nutrition,28,2021
After the Burden is Lifted: Caregivers' Recovery of Life Satisfaction after The Death or Recovery of a Spouse.,"L. A. Langner, F. Furstenberg",10.1093/geronb/gbz117,https://doi.org/10.1093/geronb/gbz117,"The journals of gerontology. Series B, Psychological sciences and social sciences",7,2019
A systematic review of the association of diet quality with the mental health of university students: implications in health education practice,"Solomis Solomou, Jennifer Logue, S. Reilly, Guillermo Perez-Algorta",10.1093/her/cyac035,https://doi.org/10.1093/her/cyac035,Health Education Research,34,2022
Life in lockdown: a longitudinal study investigating the impact of the UK COVID-19 lockdown measures on lifestyle behaviours and mental health,"Emma Solomon-Moore, Jeffrey Lambert, E. Grey, F. Gillison, N. Townsend, Betty Busam, Kyriakos Velemis, Christopher Millen, Frances Baber, T. Griffin",10.1186/s12889-022-13888-1,https://doi.org/10.1186/s12889-022-13888-1,BMC Public Health,16,2022
Poczucie własnej skuteczności a zachowania zdrowotne i satysfakcja z życia studentów dietetyki,"G. Nowak, K. Pawlas, Sylwia Duda, A. Kulik, D. Nowak",10.4467/20843879PR.18.018.9359,https://doi.org/10.4467/20843879PR.18.018.9359,-,8,2018
Unhealthy Dietary Behavior Based User Life-Log Monitoring for Wellness Services,"H. M. Bilal, W. A. Khan, Sungyoung Lee",10.1007/978-3-319-66188-9_7,https://doi.org/10.1007/978-3-319-66188-9_7,International Conference on Smart Homes and Health Telematics,2,2017
From observation to intervention: time to put ‘food and mood’ to the test,"James Bradfield, Luke Buckner, F. Amati, J. Burridge, S. Ray",10.1136/bmjnph-2021-000301,https://doi.org/10.1136/bmjnph-2021-000301,"BMJ Nutrition, Prevention & Health",0,2021
"Diet Quality and Sociodemographic, Lifestyle, and Health-Related Determinants among People with Depression in Spain: New Evidence from a Cross-Sectional Population-Based Study (2011–2017)","J. Cebrino, S. Portero de la Cruz",10.3390/nu13010106,https://doi.org/10.3390/nu13010106,Nutrients,9,2020
The Effects of Low- vs. High-Glycemic Index Mediterranean-Style Eating Patterns on Subjective Well-Being and Sleep in Adults at Risk for Type 2 Diabetes: The MEDGICarb-Intervention Trial,"Anna Hjort, Robert E. Bergia, M. Vitale, R. Giacco, G. Riccardi, Wayne W. Campbell, R. Landberg",10.3390/proceedings2023091056,https://doi.org/10.3390/proceedings2023091056,The 14th European Nutrition Conference FENS 2023,0,2023
"Diet, lifestyle, and livelihoods during coronavirus disease 2019 (COVID-19)–related lockdowns and the value of web-based nutrition studies",A. Knuppel,10.1093/ajcn/nqaa408,https://doi.org/10.1093/ajcn/nqaa408,American Journal of Clinical Nutrition,9,2021
Outdoor time and dietary patterns in children around the world,"J. Chaput, M. Tremblay, P. Katzmarzyk, M. Fogelholm, V. Mikkilä, G. Hu, E. Lambert, C. Maher, J. Maia, T. Olds, V. Onywera, O. Sarmiento, M. Standage, C. Tudor-Locke, A. LeBlanc",10.1093/pubmed/fdy071,https://doi.org/10.1093/pubmed/fdy071,Journal of public health,18,2018
Unhealthy diet in schizophrenia spectrum disorders,"Sophie M. van Zonneveld, B. Haarman, Ellen J. van den Oever, Jasper O. Nuninga, I. Sommer",10.1097/YCO.0000000000000791,https://doi.org/10.1097/YCO.0000000000000791,Current Opinion in Psychiatry,13,2022
Inequalities in diets,"Jonathan Wentworth, Jenny Chapman",10.58248/hs70,https://doi.org/10.58248/hs70,-,0,2024
Examining the association of psychosocial and health behaviors with life satisfaction among canadians: a nationally representative study,"N. Geda, Leah E. Cahill, Cindy Feng",10.1186/s13690-025-01502-w,https://doi.org/10.1186/s13690-025-01502-w,Archives of public health = Archives belges de sante publique,0,2025
Healthy habits can increase quality and longevity of life.,-,10.7748/ns.24.28.17.s19,https://doi.org/10.7748/ns.24.28.17.s19,Nursing Standard,0,2010
Consumption of Dietary Guidelines for Americans types and amounts of vegetables increases mean Subjective Happiness Scale scores: A randomized controlled trial.,"Angela De Leon, L. Jahns, J. Roemmich, Sara E. Duke, S. Casperson",10.1016/j.jand.2021.11.009,https://doi.org/10.1016/j.jand.2021.11.009,Journal of the Academy of Nutrition and Dietetics,6,2021
"Subjective well-being, sociodemographic factors, mental and physical health of rural residents.","Adeline Lee, M. Browne",10.1111/j.1440-1584.2008.00986.x,https://doi.org/10.1111/j.1440-1584.2008.00986.x,The Australian journal of rural health,42,2008
