Title,Authors,DOI,DOI link,Venue,Citation count,Year,Adult Population,"Reasoning for ""Adult Population""",Dietary Change,"Reasoning for ""Dietary Change""",Outcome Measures,"Reasoning for ""Outcome Measures""",Study Design,"Reasoning for ""Study Design""",Follow-up Duration,"Reasoning for ""Follow-up Duration""",Medical Conditions,"Reasoning for ""Medical Conditions""",Intervention Isolation,"Reasoning for ""Intervention Isolation""",Temporal Design,"Reasoning for ""Temporal Design""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Changes in diet quality during a 12 month weight loss randomised controlled trial,"Cinthya Wibisono, Y. Probst, E. Neale, L. Tapsell",10.1186/s40795-017-0157-z,https://doi.org/10.1186/s40795-017-0157-z,BMC Nutrition,10,2017,maybe,"The abstract did not explicitly state the age range of participants, creating some uncertainty about whether all participants were 18 years or older.",yes,The study examined participants transitioning from a poor/unhealthy diet to an improved diet through a lifestyle intervention addressing dietary guidelines.,no,The study did not include any measures of life satisfaction or wellbeing as primary outcomes. The primary outcomes were diet quality scores and nutritional intake measures.,yes,"The study design was a longitudinal intervention trial with three treatment groups, meeting the criteria for acceptable study designs.",yes,"The study had a follow-up period of 12 months, which exceeds the minimum requirement of 4 weeks.",yes,"The study was conducted in a general population of volunteers, with no mention of specific medical conditions or eating disorders.",yes,"The effects of dietary change were analyzed separately, with clear comparison between intervention groups, even though there was a supplement component (walnuts).",yes,"The study design was longitudinal, not cross-sectional.",Exclude,"A longitudinal dietary intervention study examining diet quality changes across three treatment groups, with a 12-month follow-up period. While meeting most screening criteria, the study lacks quantitative measures of life satisfaction or wellbeing, which critically disqualifies it from inclusion. Uncertainty also exists regarding the age range of participants, further complicating potential study selection.",0.9
Relationship Between Adherence to the Mediterranean Diet and Health-Related Quality of Life and Life Satisfaction Among Older Adults,"Ana Zaragoza-Martí, R. Ferrer-Cascales, J. A. Hurtado-Sánchez, A. Laguna-Pérez, M. Cabañero‐Martínez",10.1007/s12603-017-0923-2,https://doi.org/10.1007/s12603-017-0923-2,"The Journal of Nutrition, Health & Aging",43,2018,yes,"The study focuses on ""older adults,"" which clearly meets the age criterion.",no,"The abstract appears to study adherence to the Mediterranean diet rather than a transition from a poor/unhealthy diet to an improved diet, so it seems to be measuring current adherence rather than dietary change.",yes,"The abstract explicitly mentions ""health-related quality of life and degree of life satisfaction"" as outcomes, which aligns with the criterion.",maybe,"The study design is not explicitly stated in the abstract, and the term ""evaluate"" suggests it might be a cross-sectional study, but this is uncertain.",maybe,"The abstract does not mention any follow-up period, which is a critical missing piece of information to determine if the study meets the 4-week follow-up duration requirement.",yes,"The study appears to focus on ""older adults"" in general, without mention of specific medical conditions or eating disorders.",no,"This does not appear to be an intervention study, so the criterion of intervention isolation is not applicable.",maybe,"The abstract does not specify the study design, and the use of the word ""evaluate"" suggests it might be a cross-sectional study, but this is uncertain.",Exclude,"The abstract suggests a study on Mediterranean diet adherence among older adults, examining life satisfaction and quality of life. However, critical screening criteria remain unaddressed, including follow-up duration, study design, and whether participants underwent dietary changes. Multiple uncertainties prevent definitive assessment of the study's alignment with screening requirements.",1.3
Does reverse causality explain the relationship between diet and depression?,"F. Jacka, N. Cherbuin, K. Anstey, P. Butterworth",10.1016/j.jad.2015.01.007,https://doi.org/10.1016/j.jad.2015.01.007,Journal of Affective Disorders,144,2015,maybe,"The abstract mentions ""three age cohorts"" but does not specify if all participants were ≥18 years.",no,"The study examines dietary patterns but does not specifically look at transitions from poor to improved diets. Instead, it focuses on the relationship between depression and dietary patterns.",no,"The study focuses on depression and dietary patterns, not life satisfaction or wellbeing as primary outcomes.",yes,The study is explicitly described as a longitudinal community survey.,maybe,"The abstract mentions this is a longitudinal study, but does not explicitly state the follow-up duration. However, given it's described as a ""longitudinal community survey"" following cohorts, it's likely to exceed 4 weeks, but this isn't certain.",yes,The study is conducted in a general population (community survey) rather than focusing on specific medical conditions.,no,Not applicable - this is an observational study rather than an intervention study.,yes,"The study is explicitly described as a longitudinal study, not cross-sectional.",Exclude,"The study fails to meet key screening criteria, particularly around outcome measures and dietary change, as it focuses on depression and dietary patterns rather than life satisfaction or dietary transitions. While the research is a longitudinal community survey with a general population sample, critical elements like specific follow-up duration and participant age range remain unclear. The primary focus on depression and dietary patterns diverges significantly from the required screening parameters.",1.3
The association of diet quality with the mental health of students during their transition to university,"Solomis Solomou, Heather Robinson, Guillermo Perez-Algorta",10.1371/journal.pone.0312123,https://doi.org/10.1371/journal.pone.0312123,PLoS ONE,0,2024,maybe,"The participants are university students, and while not explicitly stated, university students are typically 18 or older.",no,"While the study examines diet quality, it doesn't specifically look at transitions from poor to improved diets. It examines associations between diet quality and mental health at a single time point, rather than examining participants transitioning from a poor/unhealthy diet to an improved diet.",no,"The study measures mental health using the Depression Anxiety and Stress Scale, which is related to wellbeing but does not explicitly measure life satisfaction.",no,"The study is explicitly stated as cross-sectional, and the authors note that ""Cross-sectional studies cannot determine the directionality of effects"", indicating that the study design was not longitudinal.",no,"The study is explicitly described as cross-sectional, conducted during ""first semester of year 2021-2022"", and no follow-up period is mentioned. This indicates that the follow-up duration was not at least 4 weeks.",yes,"The study was conducted in a general university student population, and no specific medical conditions or eating disorders were mentioned.",no,"No intervention was conducted, and the study only examined associations, so the effects of dietary change were not analyzed separately.",no,"The abstract explicitly states that ""The study adopted a cross-sectional design"", indicating that the study design was not something other than cross-sectional.",Exclude,"A cross-sectional study of university students examining diet quality and mental health fails to meet key screening criteria, particularly those requiring longitudinal design and follow-up duration. The research lacks a dietary intervention, does not measure life satisfaction directly, and cannot establish causal relationships between diet and mental health due to its single-time-point methodology. While exploring an interesting population and topic, the study design fundamentally disqualifies it from meeting the specified screening requirements.",0.1
The impact of dietary advice on edentulous adults' denture satisfaction and oral health-related quality of life 6 months after intervention.,"J. Ellis, A. Elfeky, P. Moynihan, C. Seal, R. Hyland, M. Thomason",10.1111/j.1600-0501.2009.01859.x,https://doi.org/10.1111/j.1600-0501.2009.01859.x,Clinical Oral Implants Research,35,2010,maybe,"The abstract doesn't explicitly state the age range of participants. While denture patients are typically adults, we cannot be certain all participants were 18+.",yes,"The study examined participants receiving customized dietary advice to consume more fruits, vegetables, and fiber-rich foods, indicating a transition to an improved diet.",no,"The primary outcomes were denture satisfaction and oral health-related quality of life (OHRQoL), not general life satisfaction or wellbeing. While these are quality of life measures, they are specific to oral health rather than general life satisfaction.",yes,"The study was a prospective cohort study, which meets the longitudinal design requirement.",yes,"The study had a 6-month follow-up period, which exceeds the minimum requirement of 4 weeks.",no,"The study focused specifically on patients with dentures (edentulous patients), which is a specific medical condition rather than a general population.",yes,"The dietary advice was the primary intervention being studied, with clear isolation of its effects.",yes,"This was a prospective cohort study, not a cross-sectional study.",Exclude,"The study fails to meet key screening criteria due to its focus on a specific medical condition (edentulous patients) and outcome measures limited to oral health quality of life. While demonstrating a longitudinal design with dietary intervention, the research does not align with the broader population and general life satisfaction requirements of the systematic review.",0.9
185 Associations between Diet and Sleep Health in the UK Biobank Study,"P. Hepsomali, J. Groeger",10.1093/SLEEP/ZSAB072.184,https://doi.org/10.1093/SLEEP/ZSAB072.184,-,1,2021,maybe,"While not explicitly stated, UK Biobank typically includes adults, so the study likely meets the criterion of having all study participants 18 years or older, but there is some uncertainty.",no,"The study examines associations between diet quality and sleep health, but does not study transitions or changes in diet over time, indicating that it did not examine participants transitioning from a poor/unhealthy diet to an improved diet.",no,"The primary outcomes are sleep health measures, and there is no mention of life satisfaction or wellbeing measures, indicating that the study did not include quantitative measures of life satisfaction or wellbeing as primary outcomes.",no,"The study is explicitly stated as ""cross-sectional"", indicating that the study design was not longitudinal (RCT, cohort study, or systematic review).",no,"The study is explicitly described as ""cross-sectional"" and no follow-up period is mentioned, indicating that the follow-up duration was not at least 4 weeks.",yes,"The study uses UK Biobank data from the general population, and is not focused on specific medical conditions, indicating that the study was conducted in a general population rather than focusing solely on specific medical conditions or eating disorders.",no,-,no,"The abstract explicitly states that this is a ""cross-sectional population-based study"", indicating that the study design was not something other than cross-sectional.",Exclude,"This cross-sectional study examining diet and sleep health fails to meet multiple critical screening criteria, including longitudinal design, follow-up duration, and outcome measures focused on life satisfaction. While the research uses a general population sample, fundamental methodological requirements for inclusion are not satisfied, rendering the study non-compliant with the specified screening criteria.",0.1
Nutrition and quality of life in older adults.,"Eleni Amarantos, Andrea Martínez, J. Dwyer",10.1093/GERONA/56.SUPPL_2.54,https://doi.org/10.1093/GERONA/56.SUPPL_2.54,"The journals of gerontology. Series A, Biological sciences and medical sciences",323,2001,yes,"The abstract focuses on ""older adults"" which implies an adult population, so it meets the criterion of having all study participants 18 years or older.",no,"The abstract discusses nutrition and diet in general terms, but there is no specific mention of dietary transitions or changes, so it does not appear to meet the criterion of examining participants transitioning from a poor/unhealthy diet to an improved diet.",maybe,"The abstract mentions HRQOL, life satisfaction, and well-being, but it is unclear if these are measured quantitatively, so there is a partial match with uncertainty regarding the inclusion of quantitative measures of life satisfaction or wellbeing as primary outcomes.",no,"The abstract appears to be a review article rather than a primary longitudinal study, so it does not clearly meet the criterion of having a longitudinal study design.",no,"The abstract does not mention any specific follow-up period, so there is significant uncertainty about whether the follow-up duration was at least 4 weeks.",yes,"The abstract focuses on ""older adults"" which is a general population, and there is no mention of specific medical conditions, so it meets the criterion of being conducted in a general population rather than focusing solely on specific medical conditions or eating disorders.",no,"No specific intervention is mentioned in the abstract, so the criterion of intervention isolation is not applicable and cannot be determined.",no,"The abstract appears to be a review/exploration of connections rather than a primary study, and there is no clear indication of the temporal design, so there is major uncertainty about whether the study design was something other than cross-sectional.",Exclude,"The abstract appears to be a theoretical exploration of nutrition and quality of life among older adults, lacking clear evidence of a longitudinal study design or specific dietary intervention. Multiple screening criteria remain unmet, including follow-up duration, temporal design, and quantitative outcome measurement, suggesting the paper does not align with the required research parameters.",1.3
Domestic work division and satisfaction in cohabiting adults: Associations with life satisfaction and self-rated health,"P. Wagman, M. Nordin, L. Alfredsson, P. Westerholm, E. Fransson",10.1080/11038128.2016.1217926,https://doi.org/10.1080/11038128.2016.1217926,Scandinavian Journal of Occupational Therapy,8,2017,maybe,"The study focuses on adults living with a partner, and there is no mention of including participants under 18.",no,"The study focuses on domestic work division and satisfaction, and there is no mention of any dietary changes or interventions.",yes,"The study includes life satisfaction as an outcome measure, using self-rated life satisfaction.",no,"This is a cross-sectional survey study, and there is no longitudinal component mentioned.",no,"The abstract does not mention any follow-up period, and the study appears to be a cross-sectional survey rather than a longitudinal study. Therefore, there is no evidence that the follow-up duration was at least 4 weeks.",yes,"The study was conducted in the general population, and there is no focus on specific medical conditions.",no,"No dietary intervention is mentioned, so this criterion is not applicable to this study.",no,"The study uses data from a single survey in 2009, and there is no indication of any temporal comparison. Therefore, the study design is not something other than cross-sectional.",Exclude,"This cross-sectional survey examining domestic work division fails to meet key screening criteria, particularly those related to dietary interventions and longitudinal design. While the study includes life satisfaction measures and focuses on a general adult population, it lacks the required elements of dietary change, follow-up duration, and intervention analysis. Consequently, the paper does not align with the specified screening requirements and would be excluded from further review.",0.1
Longitudinal associations between quality of diet and disability over 7.5 years in an international sample of people with multiple sclerosis,"S. Simpson-Yap, S. Neate, N. Nag, Yasmine C Probst, Maggie Yu, George A Jelinek, J. Reece",10.1111/ene.15980,https://doi.org/10.1111/ene.15980,European Journal of Neurology,10,2023,maybe,The abstract does not specify the age range of participants.,maybe,"The abstract does not explicitly state whether participants transitioned from poor to improved diets. It only mentions examining ""quality of diet"" but does not specify changes over time.",no,"The primary outcome appears to be ""disability"" rather than life satisfaction or wellbeing, which is a critical mismatch with the inclusion criteria.",yes,"This is a longitudinal cohort study, as evidenced by the prospective design and 7.5-year follow-up.",yes,"The study had a 7.5-year follow-up period, which exceeds the 4-week minimum requirement.",no,"The study specifically focuses on people with multiple sclerosis (MS), which violates the requirement for a general population study.",maybe,The abstract does not mention whether diet was part of a broader intervention or analyzed separately.,yes,"The study was prospective, not cross-sectional, as indicated by the mention of ""prospective relationships"" and the longitudinal follow-up period.",Exclude,"A prospective cohort study examining diet quality in multiple sclerosis patients over 7.5 years fails to meet key screening criteria, particularly the requirement for a general population study and life satisfaction outcomes. Critical misalignments include the focus on a specific medical condition and disability as the primary outcome measure, rendering the study non-compliant with the specified screening requirements.",0.5
Dietary Choices as Prevention Measure: Assessment of Societal Effects Related to Life Expectancy in Germany,Maike Schmitt,10.21272/hem.2023.1-03,https://doi.org/10.21272/hem.2023.1-03,Health Economics and Management Review,2,2023,maybe,"The abstract mentions ""all age groups"" but does not specify whether children were included or excluded, so it is unclear whether the study met the criteria for an adult population.",yes,"The study explicitly examines ""a potential nationwide shift towards healthy nutrition"" and compares different diet scenarios, indicating that it did examine participants transitioning from a poor/unhealthy diet to an improved diet.",no,"The primary outcomes are life expectancy and economic productivity measures, not life satisfaction or wellbeing, so the study does not meet the required outcome measures criteria.",no,"This is a modeling study using scenario analysis, not a longitudinal study or systematic review, so it does not meet the required study design criteria.",maybe,"The abstract does not specify the duration of the follow-up period, so it is unclear whether the study met the 4-week minimum requirement.",yes,"The study examines the general German population, not specific medical conditions, so it meets the criteria for being conducted in a general population.",yes,"The study focuses specifically on dietary changes and their effects, so it meets the criteria for analyzing the effects of dietary change separately.",maybe,"While the study is a modeling study rather than cross-sectional, it is unclear if the analysis incorporated temporal elements.",Exclude,"A modeling study examining dietary changes in the German population fails to meet key screening criteria, particularly around study design and outcome measures. The research focuses on economic productivity and life expectancy rather than life satisfaction or wellbeing, and does not employ a longitudinal methodology. Consequently, the study does not align with the specified screening requirements for inclusion.",0.5
