Title,Authors,DOI,DOI link,Venue,Citation count,Year,Baseline Diet,"Reasoning for ""Baseline Diet""",Intervention Isolation,"Reasoning for ""Intervention Isolation""",Intervention Type,"Reasoning for ""Intervention Type""",Mental Health Status,"Reasoning for ""Mental Health Status""",Outcome Measures,"Reasoning for ""Outcome Measures""",Population Age,"Reasoning for ""Population Age""",Study Design,"Reasoning for ""Study Design""",Temporal Documentation,"Reasoning for ""Temporal Documentation""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
The impact of whole-of-diet interventions on depression and anxiety: a systematic review of randomised controlled trials,"Rachelle S. Opie, A. O'Neil, C. Itsiopoulos, F. Jacka",10.1017/S1368980014002614,https://doi.org/10.1017/S1368980014002614,Public Health Nutrition,195,2015,no,The abstract does not mention whether baseline dietary patterns were assessed or confirmed as poor.,maybe,"The abstract does not explicitly state whether other lifestyle interventions were controlled for, but as a systematic review of RCTs, it likely included studies with isolated dietary interventions, though this is not confirmed.",yes,"The abstract discusses dietary interventions broadly and mentions ""diet quality,"" suggesting whole dietary pattern improvements rather than single nutrient supplementation.",maybe,"The abstract mentions that only one trial specifically investigated clinical depression, suggesting most studies focused on generally healthy participants, but this is not explicitly stated.",yes,The study clearly focuses on quantitative measures of depression and anxiety as primary outcomes.,no,The abstract does not specify the age range of participants.,yes,"The paper specifically reviews RCTs, which meets the longitudinal study requirement.",no,"While the abstract mentions RCTs, it does not specify the timeframes between dietary changes and outcomes.",Include,"A systematic review of dietary interventions for mental health reveals mixed evidence, with only 47% of studies showing significant effects on depression outcomes. While the study meets some screening criteria like outcome measures and intervention type, significant uncertainties exist regarding intervention isolation, baseline diet assessment, and participant characteristics. The review's focus on depression and anxiety, rather than general mental well-being, further complicates its alignment with the screening criteria.",2.7
Fruit and Vegetable Intake and Mental Health in Adults: A Systematic Review,"D. Głąbska, D. Guzek, B. Groele, K. Gutkowska",10.3390/nu12010115,https://doi.org/10.3390/nu12010115,Nutrients,292,2020,maybe,"The abstract does not mention assessment of baseline dietary patterns, so this information is unclear.",maybe,"The abstract does not specify whether the included studies isolated dietary interventions from other lifestyle changes, so the reasoning is unclear.",no,"The study specifically focuses on fruit and vegetable intake rather than whole dietary pattern improvements, as the abstract explicitly states ""those studies that assessed the general dietary patterns were not included.""",yes,"The study focuses on ""healthy participants and subjects with physical health problems"" and explicitly excludes ""patients with intellectual disabilities, dementia, and eating disorders.""",yes,"The study includes multiple quantitative measures of mental well-being, including ""general and mental well-being, quality of life, life satisfaction, flourishing, mood, self-efficacy, curiosity, creativity, optimism, self-esteem, stress, nervousness, or happiness.""",yes,The abstract specifically mentions the study focuses on adults.,no,"This is a systematic review of observational studies, not a primary longitudinal study, and the abstract does not specify the minimum follow-up period of included studies.",maybe,"As a systematic review of observational studies, temporal relationships between dietary changes and outcomes are not clearly specified in the abstract.",Exclude,"A systematic review of observational studies examining fruit and vegetable intake's impact on mental health, which partially meets screening criteria by focusing on adult populations and including mental well-being outcomes. However, the study fails to meet key requirements such as intervention isolation, whole dietary pattern assessment, and longitudinal study design. Multiple screening criteria remain unclear or unmet, limiting the study's alignment with the specified research parameters.",0.9
Nutrition and mental health: bidirectional associations and multidimensional measures,J. C. van der Pols,10.1017/S1368980017003974,https://doi.org/10.1017/S1368980017003974,Public Health Nutrition,18,2018,maybe,"While dietary patterns are discussed, there is no clear indication of assessing poor dietary patterns at baseline in an intervention context.",maybe,"The abstract does not describe a specific intervention study, but rather appears to be more of a review or commentary on existing research. Therefore, it is unclear whether the dietary intervention was studied independently of other major lifestyle interventions.",yes,"The abstract focuses on dietary patterns rather than single nutrients, discussing ""the totality of a person's dietary choices.""",yes,The focus appears to be on general population mental health rather than severe mental illness or eating disorders.,maybe,"The abstract mentions depression and mental health outcomes, but does not specify quantitative measures of mental well-being or life satisfaction as primary outcomes.",yes,The studies discussed focus on adults (mothers and fathers).,no,"This appears to be a commentary/editorial piece rather than a primary longitudinal study. While it discusses longitudinal studies, it is not one itself.",maybe,"While temporal relationships are discussed conceptually, this appears to be a commentary rather than a primary study reporting specific timeframes between dietary changes and measured outcomes.",Exclude,"The document appears to be a commentary discussing nutrition and mental health relationships, lacking the characteristics of a primary research intervention study. While touching on relevant concepts like dietary patterns and mental health outcomes, it fails to meet key screening criteria such as intervention isolation, specific outcome measures, and longitudinal study design. The text provides conceptual insights but does not constitute a research study that would satisfy the predefined screening requirements.",0.5
Association of Western and traditional diets with depression and anxiety in women.,"F. Jacka, J. Pasco, A. Mykletun, L. Williams, A. Hodge, S. O’Reilly, G. Nicholson, M. Kotowicz, M. Berk",10.1176/appi.ajp.2009.09060881,https://doi.org/10.1176/appi.ajp.2009.09060881,American Journal of Psychiatry,692,2010,maybe,"While the study assesses dietary patterns, it does not explicitly confirm poor dietary patterns at baseline. It identifies both ""traditional"" and ""western"" dietary patterns.",no,"The study is an observational study examining associations between diet and mental health, not an intervention study. The abstract does not mention any specific dietary intervention.",no,This is not an intervention study. It examines existing dietary patterns rather than implementing dietary changes.,yes,"The study focuses on a general population sample of women, not specifically those with severe mental illness.",yes,The study uses the GHQ-12 to measure psychological symptoms and includes structured clinical interviews for depression and anxiety disorders.,yes,"The study includes women aged 20-93 years, all adults.",no,This appears to be a cross-sectional study rather than a longitudinal study. There is no mention of follow-up periods.,no,"As an observational study, it does not document specific timeframes between dietary changes and outcomes. It looks at ""habitual"" diet patterns.",Exclude,"This cross-sectional study examining dietary patterns and mental health fails to meet key screening criteria due to its observational design, lack of specific dietary intervention, and absence of temporal documentation. While the research provides insights into diet and mental health associations, it does not qualify as an intervention study with longitudinal follow-up or isolated dietary changes.",0.5
A randomised controlled trial of dietary improvement for adults with major depression (the ‘SMILES’ trial),"F. Jacka, A. O'Neil, Rachelle S. Opie, C. Itsiopoulos, S. Cotton, Mohammedreza Mohebbi, D. Castle, S. Dash, C. Mihalopoulos, M. Chatterton, L. Brazionis, O. Dean, A. Hodge, M. Berk",10.1186/s12916-017-0791-y,https://doi.org/10.1186/s12916-017-0791-y,BMC Medicine,755,2017,maybe,"The abstract did not explicitly mention assessment of baseline dietary patterns, so it is unclear if poor dietary patterns were confirmed at baseline.",no,"The study explicitly included participants using psychotherapy and pharmacotherapy alongside the dietary intervention, which means the dietary intervention was not studied independently of other major lifestyle interventions.",yes,"The study examined whole dietary pattern improvements through ""seven individual nutritional consulting sessions delivered by a clinical dietician"" rather than single nutrient supplementation.",no,"The study specifically focused on participants with ""moderate to severe depression"" rather than generally healthy participants.",maybe,"While the study measured depression using MADRS, which is a quantitative measure of mental well-being, it was specifically focused on depression rather than general mental well-being or life satisfaction as primary outcomes.",maybe,"The abstract did not explicitly state the age range of participants, though given the context, they're likely adults.",yes,"The study was a randomized controlled trial with 12 weeks of follow-up, exceeding the minimum 2-week requirement.",yes,The study clearly documented a 12-week intervention period with specific outcome measurements at baseline and 12 weeks.,Exclude,"The study fails key screening criteria by including participants with severe depression and combining dietary interventions with psychotherapy and pharmacotherapy. While demonstrating a robust randomized controlled trial design with clear temporal documentation, the research does not meet requirements for intervention isolation or focus on generally healthy populations. Uncertainty remains regarding baseline dietary patterns and participant age range.",0.9
The Effects of Dietary Improvement on Symptoms of Depression and Anxiety: A Meta-Analysis of Randomized Controlled Trials,"J. Firth, W. Marx, S. Dash, R. Carney, S. Teasdale, M. Solmi, B. Stubbs, F. Schuch, A. Carvalho, F. Jacka, J. Sarris",10.1097/PSY.0000000000000673,https://doi.org/10.1097/PSY.0000000000000673,Psychosomatic Medicine,366,2019,maybe,"The abstract does not mention whether baseline dietary patterns were assessed or confirmed as poor, so this information is unclear.",maybe,"The abstract does not explicitly state whether the dietary interventions were studied in isolation from other lifestyle changes, so there is significant uncertainty around this criterion.",yes,"The study appears to examine dietary interventions broadly, not just single nutrient supplementation, as evidenced by the meta-analysis of various dietary interventions, so it meets this criterion.",yes,"The study explicitly includes both clinical and nonclinical populations, with the majority being nonclinical samples, so it meets this criterion.",maybe,"The study measures depression and anxiety symptoms, which are related to but not exactly the same as mental well-being or life satisfaction specified in the criteria, so it only partially meets this criterion.",maybe,"The abstract does not specify the age range of participants, so this information is unclear.",yes,"The paper is a meta-analysis of randomized controlled trials, which meets the longitudinal study requirement.",maybe,"While the study is a meta-analysis of RCTs, the abstract does not specify the timeframes between dietary changes and outcomes, so this information is unclear.",Include,"A meta-analysis of dietary interventions reveals promising results for reducing depressive symptoms, but significant uncertainties exist regarding intervention isolation, baseline diet assessment, and precise temporal documentation. While the study includes both clinical and nonclinical populations and examines broad dietary interventions, the focus on depression and anxiety symptoms rather than general mental well-being creates potential screening challenges. The research provides valuable insights but may not fully align with all predefined screening criteria.",2.7
Food and mood: how do diet and nutrition affect mental wellbeing?,"Joseph Firth, J. E. Gangwisch, Alessandra Borsini, R. Wootton, Emeran A. Mayer",10.1136/bmj.m2382,https://doi.org/10.1136/bmj.m2382,British medical journal,143,2020,no,The abstract does not mention any assessment or confirmation of poor dietary patterns at baseline.,no,The abstract does not provide enough information to determine if the dietary intervention was studied independently of other major lifestyle interventions.,no,"The abstract only mentions ""nutrition"" broadly, but does not specify if the study examined whole dietary pattern improvements rather than single nutrient supplementation.",no,The abstract does not provide any information about the mental health status of the participants.,maybe,"The abstract mentions ""low mood"" as an outcome, but does not specify if quantitative measures of mental well-being or life satisfaction were used as primary outcomes.",no,The abstract does not mention the age of the participants.,no,"The abstract suggests this is a commentary or review rather than a primary research study, as it uses language like ""say Joseph Firth and colleagues"" to discuss others' work.",no,The abstract does not provide any information about the timeframes between dietary changes and measured outcomes.,Exclude,"The abstract lacks sufficient detail to confidently assess most screening criteria, with critical information missing about intervention specifics, outcome measures, participant characteristics, and study design. Multiple key requirements remain unaddressed, rendering a comprehensive evaluation impossible and suggesting the text is likely a commentary rather than a research study. Insufficient information prevents definitive determination of the study's alignment with the established screening criteria.",0.5
"Food Insecurity, Poor Diet Quality, and Suboptimal Intakes of Folate and Iron Are Independently Associated with Perceived Mental Health in Canadian Adults","K. Davison, Lovedeep Gondara, B. Kaplan",10.3390/nu9030274,https://doi.org/10.3390/nu9030274,Nutrients,73,2017,yes,"The study assesses diet quality using the Healthy Eating Index and compares to Dietary Reference Intakes, indicating baseline dietary patterns are evaluated.",no,"The study is an observational study examining relationships between food security and mental health, not an intervention study testing a dietary intervention. Therefore, the dietary intervention is not studied independently of other major lifestyle interventions.",no,"This is not an intervention study at all. While it examines dietary patterns, it's looking at existing patterns rather than implementing improvements.",yes,"The study focuses on general population mental health, with only 4.5% reporting poor mental health, suggesting a generally healthy population.",maybe,"The study includes ""perceived mental health"" as an outcome, but it's unclear if this specifically measures well-being or life satisfaction. The measurement approach is not detailed in the abstract.",yes,"The study includes participants aged 19-70 years, meeting the adult population criterion.",no,"This is a cross-sectional analysis of survey data, not a longitudinal study with follow-up.",no,"As an observational study, there's no temporal documentation of dietary changes and outcomes. The study appears to be cross-sectional.",Exclude,"This cross-sectional study examining food security and mental health fails to meet key screening criteria for a dietary intervention study, particularly lacking an actual intervention, temporal documentation of changes, and a longitudinal design. While the research provides insights into population-level dietary patterns and mental health, it does not qualify as an intervention study testing specific dietary improvements. The observational nature of the research fundamentally disqualifies it from meeting the required screening criteria.",0.5
The fundamental association between mental health and life satisfaction: results from successive waves of a Canadian national survey,"Patrick Lombardo, W. Jones, Liangliang Wang, Xinhua Shen, E. Goldner",10.1186/s12889-018-5235-x,https://doi.org/10.1186/s12889-018-5235-x,BMC Public Health,220,2018,no,The abstract does not mention any assessment of dietary patterns at baseline.,no,"The abstract does not describe any dietary intervention, so the study does not examine the dietary intervention independently of other major lifestyle interventions.",no,"No dietary intervention is described in the study, as this is not an intervention study at all.",yes,"The study focuses on the general population and examines subjective mental health across a spectrum, not exclusively on those with severe mental illness.",yes,"The study does include quantitative measures of life satisfaction as a primary outcome, using self-reported life satisfaction questions.",no,"The study includes participants ""aged 12 and over,"" which means it includes some participants under 18.",maybe,"While this is a longitudinal study using successive waves of the CCHS, it is not an intervention study and does not examine dietary changes.",no,"While the study uses data from 2003-2012, it does not examine temporal relationships between dietary changes and outcomes.",Exclude,"This observational study examining mental health and life satisfaction fails to meet key screening criteria related to dietary interventions, as it does not involve any dietary changes or interventions. The research focuses on correlational analysis of self-reported mental health and life satisfaction across a broad population, including participants under 18, and lacks the specific dietary intervention focus required by the screening criteria.",0.5
Is there an association between diet and depression in children and adolescents? A systematic review,"Sundus Khalid, C. Williams, S. Reynolds",10.1017/S0007114516004359,https://doi.org/10.1017/S0007114516004359,British Journal of Nutrition,209,2016,no,The abstract does not mention assessment of baseline dietary patterns.,no,"The paper is a review examining associations between diet and mental health, rather than an intervention study. Therefore, it is unclear whether the dietary intervention was studied independently of other major lifestyle interventions.",maybe,"The paper discusses ""healthy dietary patterns"" and ""high-quality diet"" rather than single nutrients, but this is in the context of observational associations rather than interventions.",yes,"The focus appears to be on general mental health in young people, not specifically those with severe mental illness.",maybe,"The paper examines depression and mental health problems as outcomes, which are related to mental well-being, but it is not clear if these are measured quantitatively.",maybe,"The study focuses on ""children and young people,"" which likely includes some participants under 18.",no,"This is a systematic review, not a longitudinal intervention study.",no,"As a review paper, it does not report specific timeframes between dietary changes and outcomes.",Exclude,"The systematic review examines dietary patterns and mental health in young people, but fails to meet several key screening criteria including intervention isolation, temporal documentation, and study design. While exploring associations between diet and mental health, the paper does not constitute an intervention study and includes participants under 18, rendering it unsuitable for the intended systematic review.",0.5
