Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Age,"Reasoning for ""Population Age""",Activity Transition,"Reasoning for ""Activity Transition""",Population Activity Level,"Reasoning for ""Population Activity Level""",Intervention Type,"Reasoning for ""Intervention Type""",Intervention Duration,"Reasoning for ""Intervention Duration""",Intervention Frequency,"Reasoning for ""Intervention Frequency""",Outcome Measures,"Reasoning for ""Outcome Measures""",Study Design,"Reasoning for ""Study Design""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Testing a self-determination theory-based process model of physical activity behavior change in rheumatoid arthritis: results of a randomized controlled trial,"S. Fenton, J. Veldhuijzen van Zanten, G. Metsios, P. Rouse, Chen-an Yu, N. Ntoumanis, G. Kitas, J. Duda",10.1093/tbm/ibaa022,https://doi.org/10.1093/tbm/ibaa022,Translational Behavioral Medicine,29,2020,no,"The abstract does not specify the participant age range, so it is unclear if all participants were adults (aged 18 or older).",no,"While the study involves increasing physical activity, the abstract does not explicitly mention measuring baseline activity levels or transitioning from sedentary to active, creating uncertainty.",no,"The study focuses on people with Rheumatoid Arthritis, which is a specific clinical population rather than the general or sedentary population, so this criterion is likely not met.",yes,"The study clearly examines a physical activity intervention (""exercise programme""), meeting this criterion.",no,"The abstract does not mention the intervention duration, creating uncertainty about whether it met the 4-week minimum requirement.",yes,"The abstract suggests a sustained behavior change approach through ""psychological support for physical activity behaviour change"" and ""autonomous motivation,"" indicating this wasn't just about acute effects, so this criterion appears to be met.",maybe,"The abstract mentions ""psychological well-being"" as an outcome, but does not specify if validated instruments were used, so this criterion is partially met but lacks detail.",no,"The abstract does not explicitly state the study design, so there is significant uncertainty about whether it was interventional (RCT, quasi-experimental) or longitudinal observational.",Exclude,"An exercise program for Rheumatoid Arthritis patients showed potential for increasing physical activity and psychological well-being, but significant uncertainties exist regarding study design, intervention duration, and population characteristics. The clinical population focus and lack of explicit details about baseline activity levels and participant demographics create challenges for meeting comprehensive screening criteria.",2.1
Procrastination at the Core of Physical Activity (PA) and Perceived Quality of Life: A New Approach for Counteracting Lower Levels of PA Practice,"Nuria Codina, J. Pestana, Rafael Valenzuela, Núria Giménez",10.3390/ijerph17103413,https://doi.org/10.3390/ijerph17103413,International Journal of Environmental Research and Public Health,23,2020,yes,"The study included adults aged 18-83 years, meeting this criterion.",no,The study did not measure transitions from sedentary to active lifestyles. It only looked at existing physical activity patterns and their relationship with quality of life and procrastination.,yes,"The study appeared to include general practitioners of physical activity, not exclusively elite athletes. The population seemed appropriate.",no,"While the study examined physical activity, it did not implement or examine any specific intervention program.",no,"No intervention was described, so this criterion could not be met.",no,The study did not examine an intervention at all - it was an observational study looking at existing physical activity patterns. There was no intervention to assess for sustained behavior change.,yes,"The study used the WHOQOL-BREF, which is a validated instrument for measuring quality of life.",no,"The study design was a cross-sectional observational study, not an interventional or longitudinal design. This is a significant limitation as it only measures associations at a single time point.",Exclude,"The study fails key screening criteria by being a cross-sectional observational design without an intervention, lacking examination of sustained behavior change or activity transitions. While using validated quality of life measures and including an appropriate adult population, the research does not meet fundamental requirements for an intervention-focused review. Critical limitations include the absence of a structured physical activity program and no measurement of lifestyle changes over time.",0.5
Positive Activity Interventions to Enhance Well-Being : Looking Through a Social Psychological Lens,"Julia Revord, Lisa C. Walsh, S. Lyubomirsky",10.4324/9781351231879-21,https://doi.org/10.4324/9781351231879-21,-,4,2017,no,The abstract does not specify participant age ranges as it is not describing a specific study.,no,The abstract does not measure baseline activity levels or examine transitions from sedentary to active lifestyles.,no,The abstract does not describe a specific study population or their activity levels.,no,"While the abstract discusses positive activity interventions broadly, it does not examine a specific physical activity intervention. The focus appears to be on social and psychological interventions rather than physical activity.",no,No specific intervention duration is mentioned in the abstract.,no,The abstract discusses sustained behavior change conceptually but does not examine specific intervention frequencies in a study.,no,"While the abstract discusses wellbeing and happiness conceptually, it does not describe measuring these outcomes using validated instruments in a specific study.",no,"The abstract does not describe an interventional or longitudinal observational study. It appears to be a theoretical/review chapter discussing positive activity interventions (PAIs) and their taxonomy, rather than presenting a specific study design.",Exclude,"This theoretical chapter on positive activity interventions fails to meet the systematic review's screening criteria, as it does not present an empirical study with a defined intervention, outcome measures, or specific population characteristics. The text is a conceptual exploration of social psychological interventions and wellbeing, lacking the methodological elements required for inclusion in the review.",0.1
Physical activity and workplace sedentary behaviour.,M. Ashe,10.3138/ptc.64.1.ge1,https://doi.org/10.3138/ptc.64.1.ge1,Physiotherapy Canada. Physiothérapie Canada,13,2012,yes,"The participant was an adult (faculty member), but this was a single-person case study.",maybe,"The study tracked baseline activity levels and changes in activity patterns, but the participant was already somewhat active at baseline, not clearly sedentary.",yes,"The participant appeared to be from the general population (not an elite athlete), but this was based on a single individual.",maybe,"While the study involved physical activity, it was not a formal intervention study but rather natural behavior tracking.",yes,"The study duration was 20 months, which exceeds the 4-week minimum requirement.",maybe,"While the study examined sustained behavior change over 20 months, it was not a formal intervention study but rather a personal observation of natural behavior patterns.",no,"The study only measured step count and work hours, and did not use validated instruments to measure life satisfaction, wellbeing, or quality of life.",no,"The study design was a single-person case study, which lacks the rigorous design elements required for an interventional or longitudinal observational study.",Exclude,"This single-person case study lacks the rigorous design elements required for a comprehensive research investigation, failing to meet key screening criteria such as validated outcome measures and a controlled intervention approach. While tracking personal physical activity patterns over 20 months, the study does not provide a systematic examination of behavior change or wellbeing outcomes. The limited scope and methodological constraints significantly reduce its potential for meaningful scientific contribution.",0.5
"Changes in physical activity and the association between pain and physical activity - a longitudinal analysis of 17,454 patients with knee or hip osteoarthritis from the GLA:D® registry.","L. Baumbach, D. T. Grønne, N. Møller, S. Skou, E. Roos",10.1016/j.joca.2022.09.012,https://doi.org/10.1016/j.joca.2022.09.012,Osteoarthritis and Cartilage,8,2022,maybe,"While the study involves patients with knee/hip osteoarthritis, which typically affects adults, the abstract doesn't explicitly state the age range of participants. However, given the condition, it's very likely these are adult participants.",yes,"The study explicitly examines participants transitioning from low activity levels (UCLA scale 1-4) to moderate or higher activity levels, with 37% reaching or maintaining moderate activity levels.",yes,The study specifically focuses on patients with low physical activity levels at baseline.,yes,"The study examines an exercise therapy program, which qualifies as a physical activity intervention.",yes,"The intervention duration is 8 weeks, which meets the minimum requirement of 4 weeks.",yes,"The study examines an 8-week education and exercise therapy program with follow-up at 12 months, indicating sustained behavior change rather than acute effects.",no,"The study measures physical activity levels using the UCLA activity scale and pain intensity using Visual Analog Scale, but it does not explicitly measure life satisfaction, wellbeing, or quality of life using validated instruments.",yes,"The study appears to be a longitudinal observational study using registry data with measurements at baseline, immediately after completion, and 12 months later, which meets the requirement for an interventional or longitudinal observational study design.",Exclude,"A longitudinal observational study examining physical activity changes in osteoarthritis patients demonstrates sustained behavior change and activity level transitions over 12 months. While meeting most screening criteria, the study lacks validated measures of life satisfaction or wellbeing, which prevents full alignment with the specified requirements. The research provides insights into physical activity interventions but falls short of comprehensive quality of life assessment.",0.9
OP41 Physical activity and positive mental wellbeing in a cohort of baby boomers: results from a British prospective cohort,"S. Black, R. Cooper, Kathryn R. Martin, Søren Brage, D. Kuh, Mai Stafford",10.1136/jech-2014-204726.44,https://doi.org/10.1136/jech-2014-204726.44,Journal of Epidemiology and Community Health,0,2014,yes,"The study focuses on adults aged 60-64 years, clearly meeting the adult age requirement.",no,The study does not examine participants transitioning from sedentary to active lifestyles. It only measures current activity levels and their association with wellbeing.,yes,"The study examines the general population from the MRC National Survey of Health and Development, not exclusively elite athletes.",no,"This is not an intervention study, but rather examines physical activity patterns (both free-living and leisure time).",no,No intervention is present in this study.,no,"This is not an intervention study, but rather an observational study examining existing activity patterns. It doesn't examine sustained behavior change.",yes,"The study uses the Warwick-Edinburgh Mental Wellbeing Scale (WEMWBS), which is a validated instrument for measuring mental wellbeing.",no,"The study appears to be an observational cross-sectional analysis of data from the MRC National Survey of Health and Development, rather than an interventional or longitudinal study.",Exclude,"This cross-sectional observational study examining physical activity and mental wellbeing in older adults fails to meet key screening criteria related to intervention design, sustained behavior change, and activity transitions. While the research uses validated instruments and includes an appropriate adult population, its fundamental observational nature disqualifies it from meeting the required methodological standards for intervention-focused research.",0.5
Physical activity and life satisfaction among adolescents before and during the COVID-19 pandemic.,"František Chmelík, K. Frömel, D. Groffik, J. Mitáš",10.1016/j.actpsy.2023.104081,https://doi.org/10.1016/j.actpsy.2023.104081,Acta Psychologica,2,2023,no,"The study focuses on adolescents aged 15-19 years, not adults (18+).",maybe,"While the study examines changes in physical activity levels, it doesn't specifically measure baseline activity levels and transitions from sedentary to active. It only compares activity levels between two time periods.",yes,"The study examines the general adolescent population, not elite athletes.",no,This is not an intervention study - it's an observational study examining natural physical activity levels.,no,"No intervention is present, so this criterion is not applicable.",no,This is not an intervention study - it's an observational study examining natural changes in physical activity levels.,yes,"The study uses the Bern Subjective Well-Being Questionnaire to measure life satisfaction, which appears to be a validated instrument.",maybe,"The study appears to be an observational study comparing two time periods (before and during pandemic). While it's longitudinal in nature, it's not clearly interventional or quasi-experimental.",Exclude,"The study focuses on adolescents aged 15-19, which disqualifies it from meeting the adult population requirement. As an observational study without a physical activity intervention, it fails to satisfy key screening criteria related to intervention design, duration, and sustained behavior change. The research primarily examines natural variations in physical activity and life satisfaction during the COVID-19 pandemic, rather than testing a structured intervention.",0.5
Effects of physical activity and exercise on well-being in the context of the Covid-19 pandemic,"Juliana Marques de Abreu, Roberta Andrade de Souza, Livia Gomes Viana-Meireles, J. Landeira-Fernández, A. Filgueiras",10.1371/journal.pone.0260465,https://doi.org/10.1371/journal.pone.0260465,medRxiv,22,2020,yes,"The study explicitly includes participants ""over 18 years old.""",maybe,"While the study does look at changes in activity levels (e.g., increase in strength training from 5.2% to 13.9%), it doesn't explicitly measure baseline activity levels before the pandemic period.",yes,"The study appears to include the general population during COVID-19 isolation, not exclusively elite athletes.",yes,"The study examines physical activity, including strength training and exercise routines.",no,The study period is very short (March 31st-April 2nd) and doesn't examine a 4-week intervention period.,no,The study examines physical activity patterns during quarantine but doesn't appear to examine sustained behavior change over time. It looks at a snapshot of activity levels during isolation.,maybe,"The study uses the PANAS (Positive and Negative Affect Schedule) and a custom instrument (PAWEC) to measure well-being. While PANAS is a validated instrument, the PAWEC is described as ""created by these researchers"" and its validation status is unclear.",no,"The study appears to be a cross-sectional observational study conducted during a specific time period, rather than an interventional or longitudinal study design.",Exclude,"A cross-sectional study examining physical activity during COVID-19 isolation, which partially meets screening criteria related to population age, intervention type, and population activity level. However, the study fails to meet key methodological requirements including longitudinal design, sustained behavior change, and intervention duration, limiting its potential for systematic review inclusion.",1.3
AB1392 ASSOCIATION OF SEDENTARY BEHAVIOR AND PHYSICAL ACTIVITY LEVELS WITH 8 DIMENSIONS OF HEALTH-RELATED QUALITY OF LIFE IN INDIVIDUALS WITH NON-SPECIFIC CHRONIC LOW BACK PAIN: THE BACKFIT AND HEALTHYBACK PROJECTS,"G. Tsiarleston, M. D. López-Fernández, R. Pavón-Muñoz, V. Segura-Jiménez",10.1136/annrheumdis-2024-eular.2880,https://doi.org/10.1136/annrheumdis-2024-eular.2880,Scientific Abstracts,0,2024,yes,"The mean age of the participants was 51.3 ± 10.4 years, indicating an adult population.",no,The study measured current activity levels but did not examine transitions from a sedentary to more active lifestyle.,yes,"The study examined individuals with chronic low back pain from the general population, not elite athletes.",no,"This was not an intervention study, but rather an observational study examining associations between existing physical activity levels and quality of life.",no,"No intervention was conducted, so this criterion is not applicable.",no,"This was not an intervention study, but rather an observational study examining associations between activity levels and quality of life.",yes,"The study used the SF-36 questionnaire, which is a validated instrument for measuring quality of life across multiple dimensions.",no,"The study design was a cross-sectional study, which does not meet the criterion of being an interventional (RCT, quasi-experimental) or longitudinal observational study.",Exclude,"A cross-sectional study examining associations between sedentary behavior and quality of life in individuals with chronic low back pain, which fails to meet key screening criteria related to intervention design, sustained behavior change, and activity transitions. While the study uses validated instruments and includes an appropriate adult population, its observational nature and lack of intervention fundamentally disqualify it from meeting the specified screening requirements.",0.5
Are international guidelines for physical activity sufficient to improve health status?,"H. Foulds, S. Bredin, S. Charlesworth, A. Ivey, D. Warburton",10.1096/fasebj.24.1_supplement.618.2,https://doi.org/10.1096/fasebj.24.1_supplement.618.2,-,0,2010,yes,"The abstract specifically mentions ""adults,"" meeting this criterion.",maybe,"The abstract mentions ""inactive adults"" and aims to examine changes in health status, suggesting a transition from sedentary to more active, but baseline activity levels are not explicitly mentioned.",yes,"The study specifically mentions ""inactive adults,"" meeting this criterion.",yes,"The study examines physical activity/exercise, meeting this criterion.",no,No information is provided about the intervention duration.,maybe,"The abstract suggests examining exercise volume and its relationship with health status, implying sustained behavior rather than acute effects, but this is not explicitly stated.",maybe,"The abstract mentions ""indicators of health status"" but does not specify if these include life satisfaction, wellbeing, or quality of life, or if validated instruments were used.",maybe,"The abstract does not explicitly state the study design, so it is unclear whether the study was interventional (RCT, quasi-experimental) or longitudinal observational.",Exclude,"The abstract addresses physical activity in inactive adults, meeting criteria for population age, intervention type, and population activity level. However, significant uncertainty exists regarding study design, outcome measures, intervention frequency, duration, and activity transition due to limited information. Multiple key screening criteria cannot be definitively confirmed from the provided text.",2.5
