Title,Authors,DOI,DOI link,Venue,Citation count,Year,Baseline Activity,"Reasoning for ""Baseline Activity""",Intervention Isolation,"Reasoning for ""Intervention Isolation""",Intervention Type,"Reasoning for ""Intervention Type""",Outcome Measurement,"Reasoning for ""Outcome Measurement""",Population Age,"Reasoning for ""Population Age""",Population Specificity,"Reasoning for ""Population Specificity""",Study Design,"Reasoning for ""Study Design""",Study Duration,"Reasoning for ""Study Duration""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Association between physical activity and life satisfaction among adults with multimorbidity in Canada,"R. Alonzo, Tasneem Lalva, R. Couper, P. Wilk",10.17269/s41997-022-00635-7,https://doi.org/10.17269/s41997-022-00635-7,Canadian journal of public health,5,2022,maybe,"The study categorizes participants into sedentary, somewhat active, moderately active, and active groups, but does not specify the exact baseline activity levels, so it cannot be confirmed if participants had less than 150 minutes of moderate activity per week.",no,"This is a cross-sectional study examining relationships between physical activity and life satisfaction, and it does not involve an intervention, so this criterion is not met.",no,"The study examines relationships between physical activity and life satisfaction but does not involve an intervention with measured baseline activity levels, so this criterion is not met.",maybe,"The study measures life satisfaction, but the abstract does not specify if validated assessment tools were used, creating some uncertainty about whether this criterion is met.",yes,"The study includes adults aged 20 years and older, meeting this criterion.",no,"The study focuses on adults with multimorbidity, which is a specific clinical population, rather than the general population, so this criterion is not met.",no,"The study is cross-sectional, not a randomized controlled trial or prospective cohort study, failing to meet this criterion.",no,"As a cross-sectional study, it does not have a follow-up period, failing to meet the minimum 4-week requirement.",Exclude,"The study fails to meet multiple screening criteria, including the requirement for a randomized controlled trial or prospective cohort design, and focuses on a specific clinical population with multimorbidity rather than the general population. Critical methodological limitations include the cross-sectional nature of the research, lack of intervention isolation, and absence of a follow-up period, which prevent the study from satisfying the predefined screening requirements.",0.5
Global physical activity levels - Need for intervention.,"C. Ozemek, C. Lavie, Ø. Rognmo",10.1016/j.pcad.2019.02.004,https://doi.org/10.1016/j.pcad.2019.02.004,Progress in cardiovascular diseases,171,2019,maybe,"While the abstract discusses physical inactivity, it doesn't specify baseline activity levels of study participants.",no,This appears to be an observational study looking at trends over time rather than an intervention study. No specific intervention is described.,no,This is not an intervention study - it appears to be an observational analysis of population trends.,no,The abstract does not mention measuring life satisfaction or any validated assessment tools. It focuses on physical inactivity and chronic diseases.,maybe,The abstract doesn't specify the age range of the population studied.,yes,"The study appears to look at the general US population, which meets this criterion.",no,"This appears to be neither a randomized controlled trial nor a prospective cohort study, but rather a population trend analysis or review.",maybe,"The study looks at trends over 5 decades, which would exceed the 4-week minimum, but this appears to be a trend analysis rather than a follow-up study.",Exclude,"The abstract fails to meet multiple critical screening criteria, including lack of life satisfaction measurement, absence of a specific intervention, and not being a randomized controlled trial or prospective cohort study. Population-level trend analysis of physical inactivity does not align with the required methodological and outcome specifications for inclusion.",0.5
Physical activity and quality of life in older adults: an 18-month panel analysis,"Siobhan M. Phillips, T. Wójcicki, E. McAuley",10.1007/s11136-012-0319-z,https://doi.org/10.1007/s11136-012-0319-z,Quality of Life Research,68,2013,maybe,The abstract does not specify baseline physical activity levels of participants. This is a significant missing piece of information.,yes,This appears to be an observational study examining relationships between variables rather than testing a specific intervention. The effects of physical activity are analyzed in isolation from other interventions.,no,"This is not an intervention study but rather an observational study examining relationships between variables. While physical activity is measured, it's not testing an intervention to increase activity.",maybe,"The study measures quality of life (QOL) and life satisfaction, but it's not explicitly stated whether validated assessment tools were used. However, the sophisticated statistical analysis and academic nature of the study suggests proper measurement tools were likely used.",yes,"The mean age is 63.8 years, indicating an adult population.",yes,"The study focuses on ""community-dwelling older adults"" which appears to be a general population sample rather than a clinical population.",yes,This appears to be a prospective cohort study with baseline and 18-month follow-up measurements.,yes,"The study has an 18-month follow-up period, which exceeds the minimum requirement of 4 weeks.",Exclude,"The study partially meets screening criteria with a general population sample of older adults and a robust 18-month follow-up design. However, critical limitations include the lack of a specific intervention, absence of baseline physical activity level details, and uncertainty about validated outcome measurement tools. These gaps prevent full alignment with the comprehensive screening requirements.",2.1
Self-reported life satisfaction and 20-year mortality in healthy Finnish adults.,"H. Koivumaa-Honkanen, R. Honkanen, H. Viinamäki, K. Heikkilä, J. Kaprio, M. Koskenvuo",10.1093/AJE/152.10.983,https://doi.org/10.1093/AJE/152.10.983,American Journal of Epidemiology,435,2000,no,"While physical activity is mentioned as a control variable, the abstract does not specify baseline activity levels of participants. This information is missing.",no,"This is not an intervention study. Physical activity is only mentioned as a control variable in the analysis, not as an intervention being studied.",no,This is not an intervention study examining increased physical activity. It's an observational study looking at life satisfaction and mortality.,maybe,"The study measures life satisfaction using a summary score (LS) with a scale range of 4-20, including components like interest in life, happiness, loneliness, and general ease of living. However, the abstract does not explicitly state if this is a validated assessment tool, creating some uncertainty.",yes,"The study includes adults aged 18-64 years, which meets the criterion of adult participants (18 or older).",yes,"The study uses a ""nationwide sample of healthy adults"" from the Finnish Twin Cohort, which meets the criterion of focusing on the general population rather than specific clinical populations or elite athletes.",yes,"The study is described as a ""prospective cohort study,"" which meets this criterion.",yes,"The study spans 1976-1995 (19 years), which far exceeds the minimum 4-week requirement.",Exclude,"The study fails to meet key screening criteria related to physical activity intervention, lacking a clear intervention design and baseline activity measurement. While the research is a robust prospective cohort study with appropriate population age and general population focus, it does not align with the specific requirements for examining physical activity's effects on life satisfaction. Critical gaps exist in intervention isolation, baseline activity levels, and intervention type.",0.5
Increasing physical activity: a quantitative synthesis.,"R. Dishman, J. Buckworth",10.1097/00005768-199606000-00010,https://doi.org/10.1097/00005768-199606000-00010,Medicine & Science in Sports & Exercise,678,1996,maybe,"The abstract doesn't specify baseline activity levels of participants, so this information is unclear.",yes,"The study specifically focuses on physical activity interventions and their isolated effects, meeting this criterion.",maybe,"The study examines physical activity interventions with measured outcomes, but baseline activity levels aren't explicitly mentioned.",no,"The abstract does not mention measuring life satisfaction, and instead focuses on measuring physical activity levels and intervention effectiveness. This is a critical failure of a core criterion.",maybe,"The abstract mentions ""combined ages"" but doesn't specify if participants are exclusively adults, creating uncertainty.",maybe,"The study includes ""apparently healthy people"" and various population segments, which aligns with the general population requirement. However, it's a meta-analysis of multiple studies, so there may be some included studies with specific populations.",no,"This is a meta-analysis of 127 studies, including ""pre or quasi-experimental design"" studies. While it includes relevant study types, it's not itself an RCT or prospective cohort study.",maybe,"The abstract mentions ""short duration"" interventions but doesn't specify the minimum duration, so this criterion is unclear.",Exclude,"The study fails to meet critical screening criteria, particularly the requirement to measure life satisfaction, as it focuses exclusively on physical activity interventions. Multiple other criteria remain ambiguous, including baseline activity levels, participant age range, and study duration. The meta-analysis design and lack of life satisfaction measurement render the study unsuitable for the systematic review.",0.5
"Are physical activity interventions for healthy inactive adults effective in promoting behavior change and maintenance, and which behavior change techniques are effective? A systematic review and meta-analysis","N. Howlett, D. Trivedi, N. Troop, A. Chater",10.1093/tbm/iby010,https://doi.org/10.1093/tbm/iby010,Translational Behavioral Medicine,308,2018,maybe,"The abstract mentions adults who ""struggle to regularly exercise,"" which suggests low baseline activity levels, though it doesn't specify the exact amount.",yes,"The abstract discusses physical activity interventions without mention of other concurrent interventions, suggesting the effects of physical activity can be isolated.",yes,"The abstract discusses interventions to increase physical activity and mentions measuring changes, suggesting baseline measurements were taken.",no,"The abstract does not mention measuring life satisfaction or any validated assessment tools, which is a critical missing element.",yes,"The abstract explicitly mentions ""healthy adults,"" meeting this criterion.",yes,"The abstract mentions ""healthy adults"" which aligns with the general population requirement, suggesting this criterion is met.",no,"The abstract doesn't specify whether this is a randomized controlled trial or prospective cohort study, which is a significant uncertainty.",yes,"The abstract mentions ""maintaining this change at least 6 months later,"" which exceeds the minimum 4-week requirement.",Exclude,"The abstract describes a physical activity intervention for healthy adults, meeting several screening criteria including population specificity, age, and study duration. However, critical gaps exist, particularly the absence of life satisfaction measurement and unclear study design, which prevent comprehensive alignment with the screening requirements.",0.9
The relationship between intensity and duration of physical activity and subjective well-being.,"P. Wicker, B. Frick",10.1093/eurpub/ckv131,https://doi.org/10.1093/eurpub/ckv131,European Journal of Public Health,108,2015,maybe,"The abstract doesn't provide information about participants' baseline activity levels, so it's unclear if they had low physical activity levels.",no,"This appears to be an observational study examining existing physical activity patterns rather than an intervention study, so the effects of physical activity are analyzed retrospectively.",no,The study examines existing physical activity patterns rather than an intervention with measured baseline activity levels.,maybe,"The study measures life satisfaction as part of subjective well-being (SWB), but there is some uncertainty about whether validated assessment tools were used.",maybe,"The abstract doesn't specify the age range of participants, so it's unclear if the study includes only adult participants (aged 18 or older).",yes,"The study uses survey data from 28 European countries with a large sample (n=22,971), suggesting a general population focus rather than specific clinical populations or athletes.",no,This is neither a randomized controlled trial nor a prospective cohort study. It appears to be a cross-sectional survey study using regression analysis.,no,"This appears to be a cross-sectional survey study rather than a longitudinal study with a follow-up period, as the data collection seems to be based on ""the week prior to the interview.""",Exclude,"The study fails to meet key screening criteria due to its cross-sectional survey design, lack of intervention, and absence of a follow-up period. While examining physical activity's impact on life satisfaction across European populations, the research does not align with requirements for a controlled intervention study with measured baseline activity levels. Critical methodological limitations prevent the study from satisfying the predefined screening criteria.",0.9
Impact of physical activity on life satisfaction among middle-aged and older adults in China: A longitudinal national study,Yiting Kang,10.1177/00912174241291716,https://doi.org/10.1177/00912174241291716,International Journal of Psychiatry in Medicine,0,2024,maybe,"The study categorizes participants into low (71%), moderate (25%), and high (4%) physical activity levels, suggesting many participants had low baseline activity. However, the exact threshold of 150 minutes is not specified, creating some uncertainty.",no,"This is an observational study examining the relationship between baseline physical activity levels and later life satisfaction, rather than an intervention study. Therefore, the effects of physical activity cannot be isolated from other interventions.",no,"This is an observational study examining existing physical activity levels, rather than an intervention study involving increased physical activity with measured baseline activity levels.",maybe,"The abstract mentions measuring life satisfaction, but it is unclear whether validated assessment tools were used. However, the use of a large-scale longitudinal study (CHARLS) suggests that standardized measures were likely used.",yes,"The study includes participants aged 45 or older, meeting the criterion of adult participants (18+).",yes,"The study focuses on middle-aged and older adults in China, which appears to be a general population sample rather than a clinical population or elite athletes.",yes,"This is a prospective cohort study using longitudinal data, which meets the criterion of being either a randomized controlled trial or a prospective cohort study.",yes,"The study has a 3-year follow-up period (2015-2018), which exceeds the minimum 4-week requirement.",Exclude,"A longitudinal study of middle-aged and older adults in China examining physical activity and life satisfaction, which meets several screening criteria including population age, study duration, and population specificity. However, the study lacks an intervention component and does not isolate physical activity effects, rendering it unsuitable for inclusion based on key methodological requirements. Uncertainty remains regarding the specific measurement tools and precise baseline activity levels.",0.9
"The effects of physical activity on sleep quality, job satisfaction, and quality of life in office workers","S. S. Arslan, I. Alemdaroğlu, A. Karaduman, Ö. Yılmaz",10.3233/WOR-192902,https://doi.org/10.3233/WOR-192902,Work,45,2019,no,"The abstract does not specify the baseline activity levels of participants, so it is unclear if they were below 150 minutes of moderate activity per week.",yes,"The study compares regular physical activity vs. no regular physical activity without mention of other interventions, so the effects of physical activity appear to be isolated.",maybe,"The study examines increased physical activity, but does not clearly specify measuring baseline activity levels, creating some uncertainty.",maybe,"The study uses the WHOQOL-BREF, which is a validated assessment tool for quality of life. However, it does not specifically measure life satisfaction as a distinct outcome.",maybe,"While the study involves office workers, suggesting adult participants, the abstract does not explicitly state the age range, creating some uncertainty.",yes,"The study focuses on office workers from university administrative staff, which is a general working population rather than a clinical or elite athlete population.",maybe,"The study appears to be a prospective cohort study with two groups, though the randomization process is not mentioned, creating some uncertainty.",yes,"The study mentions ""at least eight weeks"" for Group I, which exceeds the minimum 4-week requirement.",Include,"The study partially meets screening criteria with clear strengths in population specificity, intervention isolation, and study duration, but significant uncertainties exist regarding baseline activity levels, participant age range, and precise measurement of life satisfaction. While the research design shows promise, key methodological details are not fully addressed in the abstract, creating ambiguity about complete criterion alignment.",3
Stress and life dissatisfaction are inversely associated with jogging and other types of physical activity in leisure time—The Copenhagen City Heart Study,"P. Schnohr, T. Kristensen, E. Prescott, H. Scharling",10.1111/j.1600-0838.2004.00394.x,https://doi.org/10.1111/j.1600-0838.2004.00394.x,Scandinavian Journal of Medicine & Science in Sports,214,2005,maybe,"The study includes sedentary persons and various activity levels, but does not specify if participants had baseline low physical activity levels, creating uncertainty about whether this criterion is met.",no,"This appears to be an observational study examining associations between physical activity and outcomes, rather than an intervention study, so it fails to meet this criterion.",no,"This is not an intervention study but rather an observational study examining associations, so it fails to meet this criterion.",maybe,"The study measures life dissatisfaction, but the abstract does not specify if validated assessment tools were used, creating uncertainty about whether this criterion is met.",yes,"The study includes participants aged 20-79 years, meeting the adult population criterion.",yes,"The study uses a ""randomly selected"" sample of men and women from the general population, meeting this criterion.",no,"This appears to be a cross-sectional observational study, not a randomized controlled trial or prospective cohort study, so it fails to meet this criterion.",no,"The abstract does not mention any follow-up period, suggesting this is a cross-sectional study rather than a longitudinal one, so it fails to meet this criterion.",Exclude,"The study fails to meet key screening criteria due to its cross-sectional observational design, lacking a clear intervention and longitudinal follow-up. While examining physical activity and life satisfaction in a general population, the research does not isolate intervention effects or demonstrate a prospective study approach. Multiple methodological limitations prevent the study from satisfying the predefined screening requirements.",0.9
